,X600519.SH,X600104.SH,X000651.SZ,X000725.SZ,X002415.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X600031.SH,X000100.SZ,X600271.SH,X600372.SH,X000157.SZ,X000559.SZ,X600066.SH,X000338.SZ,X002241.SZ,X002292.SZ,X600089.SH,X002475.SZ,X002236.SZ,X600741.SH,X002129.SZ,X600839.SH,X600177.SH,X601877.SH,X000547.SZ,X300124.SZ,X000568.SZ,X002465.SZ,X600435.SH,X000016.SZ,X600582.SH,X300003.SZ,X000800.SZ,X002294.SZ,X002456.SZ,X600252.SH,X002074.SZ,X000977.SZ,X002008.SZ,X300032.SZ,X000550.SZ,X600198.SH,X002276.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.200121656304219,0,0,0,0.0617298333000656,0,0,0.129334028558661,0,0,0,0,0,0,0,0,0,0,0,0,0.0259787058885598,0,0,0.0775023472224807,0,0,0,0,0,0,0,0,0.0392429804701961,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0205643635015817,0,0,0.0162692267284285,0,0,0,0,0,0,0
X600104.SH,0.148786083957243,0,0,0,0,0.268017030840728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110798112165317,0,0,0.114465500455258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.0149043762252389,0.0350227160912157,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.159859901896238,0,0,0.127491519036487,0,0,0,0,0,0.180430616933449,0.0718996233606648,0,0,0,0.0229525890013134,0,0.112679925490305,0,0,0,0.0127936834741272,0,0,0,0,0,0,0,0.0162972822029778,0.218167831043945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00256824518032641,0.00347429047934633,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0.0489626116703165,0,0,0,0,0,0,0.0602866254965133,0.149943508040563,0.0468147098732205,0,0,0,0.207766129472821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0927878870590276,0,0,0,0,0,0,0,0,0,0,0,0,0.0399307237900062,0,0,0,0.0607913935002291,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226025684780681,0,0,0,0,0,0,0,0,0,0,0,0,0.211960818449421,0,0,0,0,0.179154672888331,0,0,0,0,0,0,0,0,0.0872634934409118,0.0693321099456175,0,0,0,0,0.020218888382635,0,-0.0398221139793605,0,0,0,0,0,0,0
X002304.SZ,0,0.346308529176065,0,0,0,0,0.261742936415834,0,0,0,0,0,0,0,-0.0459425271368528,0,0,0,0,0,0,0.0211072021028014,0,0,0,0,0,0,0,0,0,0,0.063118093174395,0,0,0,0,0,0,0,0,0,0,0.0413040904792207,0,0,0,0,0.166739948604587,0,0,0.0201877824460785,0.0413027280588877,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0784750925699166,0.175860274173431,0,0,0,0,0,0,0,0.0695333805858037,0,0,0,0.0748917550785573,0,0,0.172353375560228,0,0,0,0,0,0,0,0,0,0,0,0,0.352283311251643,0,0,0,-0.0527188102252962,-0.0710093471909176,0,0,0,0,0,0,0,0,0.0465161662628415,0,0,0,0,-0.00413203199164527,0,0,0,0,0,0
X600276.SH,0,0,0.03362950104595,0,0,0,0,0,0,0.0478412894909487,0,0.140811287485571,0,0,0,0,0.000246318707436731,0,-6.93889390390723e-18,0.0566974721224272,0,0,0,0.0938684551756799,0,0,0.180516700137558,0,0,0.166712291856452,0,0,0,0.00444768814434531,0,0,0,0,0,0,0.0676667489113029,0,0,0,0,0.0665721844081295,0,0,0,0,0,0,0.0306297328799849,0,0,0,0,0,0
X000063.SZ,0,0.0506370164457671,0,0,0,0,0,0,0,0,0,0.259890136223711,0,0,0,0,0,0,0,0,0,0.0927334177299802,0,0.225460417857405,0,0,0.0926843125902846,0,0,0,0,0,0.00525184232789425,0,0,0,0,0,0,0,0,0,0,0,0.00106785865776575,0,0,0,0,0,0,-0.00151440743001081,-0.0443909322386053,0,0,0,0,0,0
X000625.SZ,0,0,0.0959442777590031,0,0,0,0,0.0492675256603468,0,0,0.0966126961825514,0,0,0,0.00351681225066424,6.93889390390723e-18,0,0,0.0149049912908082,0.121311489645094,0,0,0,0.0543102033408319,0,0,0.129275624083324,0,0,0.00485078800752815,0,0,0,0.13594907221688,0,0.00665134476105211,0,0,0,0.0956458301855845,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0
