,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002304.SZ,X000651.SZ,X002475.SZ,X600690.SH,X600031.SH,X600104.SH,X000725.SZ,X300014.SZ,X000661.SZ,X300124.SZ,X000338.SZ,X000063.SZ,X003816.SZ,X600703.SH,X002241.SZ,X000625.SZ,X000596.SZ,X002371.SZ,X000100.SZ,X300142.SZ,X002129.SZ,X002179.SZ,X002049.SZ,X000157.SZ,X600741.SH,X000799.SZ,X600702.SH,X002007.SZ,X601877.SH,X002236.SZ,X600584.SH,X002414.SZ,X600779.SH,X300146.SZ,X600460.SH,X601799.SH,X300003.SZ,X600183.SH,X000800.SZ,X002074.SZ,X000066.SZ,X000977.SZ,X600089.SH,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.00568497006971898,0,0.0596321224320925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498955967890167,0,0.0666691036054726,0,0,0,0,0,0,0.0530253920221929,0,0,0,0,0,0,0.0753911443321081,0,0,0,0,0,0,0.0939180993779665,0,0,0,-0.136602670499102,0,0,0,0,0,0,0.000516992122742415,0,0
X000858.SZ,0,0,0,0.175958616579322,0,0.341172318087196,0,0,0,0,0,0,0,0.00674202998949784,0,0,0,0,0,0,0.0716056420977271,0,0,0,0,0,0,0.0458182857683236,0,0,0,0.0494609286691329,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117728993079522,0,0,0,0,0,0,0,0,0,0,-0.00501173113318973,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0023640239134131,0,0,0,0,0,0.0472625715002419,0,0,0,0,0,0.165456557950678,0,0.0302853735827041,0,0,0,0,0.0335318035125737,0,0,0.0715218166369259,0,0,0.0830845001844638,0,0,0,0,0,0.0812566418871439,0.0384104647669103,0,0,0,0,0,0,0,0,0,-0.015006579646047,0,0,0,0,0.00535257458377342,0,0
X600276.SH,0,0,0,0,0,0,0.105753479230726,0,0.0844329222004399,0,0,0,-0.114378271957189,-0.0476558314087936,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.0317655906870988,0,0,0.0501797575639925,0,0,0,0,0,0.101102761471262,0.0517419655517418,0,0,0,0,0.0279355598511493,0,0,0,0,0.0804514709539116,0,0,0,-0.0472354406131483,0,0.146085771904705,0,0,0,0,0.0235741946421565,0,0
X600809.SH,0,0,0,0,0,0.0825484680704434,0,-0.100860502259569,0,0,0,0,0,0.0102924500225894,0.00439629570751847,0.153970011042436,0,0,0,0,0,0.0492825986494795,0,0,0,0,0.0518063784895993,0.046304793566009,0.1078783151831,0,0,0.505383705721358,0.0495133285512468,0,0,0,0,0,0,0,0,0.0148918011701487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0326364372195383,0,0
X000568.SZ,0,0.471791524610966,0,0,0.267621917840457,0,0.184252151626406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115038055931361,0.0886891723665304,0.0799947384187947,0.0358831143134134,0.0143891796583768,0,0,0,0,0,-0.0651366248307066,0,0,0,0,0,0,0,0,-0.0172251916495588,0,0,0,0,0.244473735353461,0,0,0,0,0,0.0164275171440902,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.220561646108972,0.117948908907941,0,0,0,0,0,0,0,0,0,0,-0.0343161359252911,0,0,0.284700896478108,0,0,0,0,0,0.0433380053644985,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0479714479295374,0.146204190557013,0,0,0,0,0,0,0,0,0,0,0,-0.0323544730041559,-0.138184315795702,0,0,0,0.0146649787877083,0,0
X000651.SZ,0,0,0,0,0,-0.0137696224476656,0.0128595949113011,0,0,0.0945598429352558,0,0,0,0,0.0631517964507097,0,0,0,0,0,0,0,0,0,0.2139277441991,-0.0449818451915623,0,0,0,0.122308338583927,0.0380817058011672,0,0.0446829334545733,0,0,0,-0.0178758517837248,0,0.058729712585526,0,-0.0301675060526338,-0.070937535549209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0115973352528451,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.0281157648709204,0,0,0,0.0308606379725979,0,0,0.146071163242903,0,0.197677321680617,0.0326473736971342,-0.140171297179942,0,0,0.229347350673109,0,0.131080760137965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268174758673814,0.0868607287671707,0,0,0,0,0,0,0,0,0,0.0406067240859031,0,0,0,0,-0.0594125778905458,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.073099510286455,0,0,0,0.21611221345774,0,0,0.0370973839659751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0828417239735981,4.33680868994202e-19,0,0.243155260938759,0.070020403816177,0,0,0,0,0.0117445142972498,0.0744481879404169,0,0,0,0.0507529491833912,-0.0694646811889265,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.0288666421303104,0,0
