,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002304.SZ,X002475.SZ,X000725.SZ,X000568.SZ,X000063.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000596.SZ,X000661.SZ,X002236.SZ,X600183.SH,X600703.SH,X601877.SH,X000100.SZ,X002007.SZ,X300003.SZ,X300142.SZ,X000157.SZ,X002241.SZ,X600271.SH,X000625.SZ,X002179.SZ,X300124.SZ,X600867.SH,X600498.SH,X002008.SZ,X002463.SZ,X002129.SZ,X300136.SZ,X000977.SZ,X300146.SZ,X600177.SH,X300014.SZ,X002506.SZ,X002049.SZ,X000050.SZ,X600066.SH,X600487.SH,X000066.SZ,X002371.SZ,X002456.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.471311192277488,0,0,0.0887379760815131,0,0,0.108793561836076,0,0,0,0,0,0,-0.0534837248730441,0,0,0.0722838753724414,0.00484687132932934,-0.103659799563313,0.0794926148881252,0,0,0,0,0,0,0,0,0,0,-0.0130030576518467,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0279672440897906,0,0,0,0,0,0,0,-0.00703870574302477,0.000761598079928623,0,0,0,0,0,0
X000858.SZ,0.0654604362631502,0,0,0,0,0,0,0.136822708409418,0,0.303872321794174,0,0,0,0.055448004959048,0,0.0379217935402309,0.1689314051888,0,0,0,0,0,0,0,0,0,0,0,0,-0.00836643871575521,0,0,0,0,0,-0.0691137669957357,0.0257106713079155,0,0,0,0,0,0,0,0,0,0,0,0.075790258830147,0,0,-0.0241640794601013,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0355952108032809,0,0,0.13633318710799,0,0.0393978088325249,0,0,0,0,0,0,0,0.153678306276749,0,0,0,0,0,0,0.149213968573835,0.176267881961667,0,-0.125571220847615,0,0,0,0,0.16516802729841,0,0,-0.0135479403653896,0,0,0,0.0614114503977478,0,0.0256524677331397,0,0.13098626688797,0,0,0,-0.125460719426027,0,0,0,-0.0147210355742001,0,0,0,0,0,0,0
X000651.SZ,0,0.0390089853581809,0,0,0,0,0.166320276468331,0.195790418534717,0,0,0,0,0,0,0.0740866343427447,0.130291812616343,0,0,0,-0.0228958526335974,0,0,0,0.00215076435999605,0,0.0529506821214668,0,0,0,0,0,0,0,0,0,0,0,0,-0.0437484009285788,0,0,0,0,0,0,0.136983300579513,0,0.0108558035451069,0,0,0,0.00244493070939324,-0.00132078150260992,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.161245156154798,0,0,0,0,0,0,0,0,0.0283739010974994,0,0.248522218613169,0.0296640558840887,0,0,0,0,0,0,0,0.127374744061646,0,0,2.64554433790365e-07,0,0,0,0,0.0710141979553594,0,0,0,0,0,0,0,0,0,0,0,0.103127113262828,0.0342487818120484,0,0,0,0.00225617540547188,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.114291622352351,0,0,0,0,0,0,0.0175337621591933,0,0.0700328123328844,0,0,-0.0348145550858585,1.73472347597681e-18,0,0,0.0466502345493015,0.0411519187261228,0,0,0,0,0.213317963854482,0,0,0,0,0,0,0,0,0.0182134486605118,0,0,0.0453066803426011,0,-0.0106085213532992,0,0,0,0,0,-0.0112485809270053,0,0,-0.0219461145595599,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.0083312283567385,0,0,0,0,0.281602578338847,0,0,0,0,0.125206518289233,0.222314797724314,0.0312749980076325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365908521007716,0,0.0295592688211483,0.0820160695786428,-0.017601484585976,0,0,0,0,0,0,0,0,0,0,-0.0405404826980363,0,0,0.0775056482663366,-0.0331713522919356,0.0717517918279368,0,0,0,0,0,0
X002475.SZ,0.103278187851747,0.0561446835947706,0,0.464598259570765,0.301115090988723,0,0,0,0,0,0.0166865473257033,0,0,0,0.122689812400935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109435920459308,0,0,0,0,-0.0621108613645991,0,0,0,0.161293946416909,0,0,0,0,0.0777348196334214,0,0,0,-0.0167702938487348,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0570938044136218,0,0,0,0,0,0,0,0,0.13957392216054,0,0.115301179010905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134092170723513,0,0,0,0,0,-0.0246724062523254,0,0,0.292172767367681,0,0,0.0130005159129941,0,0,0,-0.0140323813733023,0.0594656794311067,0,0,0,0,0,0
X000568.SZ,0,0.622549766651522,0,0,0,0,0.0681178319932238,0,0,0,0,0.146322485185632,0,0,0,0,0.132332220683047,0,0,0.0754441577905765,-0.0115100522200562,0,0,0,0,0,0,-0.162269845616882,0,0,0,0,0,0,0.0607360153184188,-0.00765929465077259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
