,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X003816.SZ,X600690.SH,X600809.SH,X000651.SZ,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X000625.SZ,X600031.SH,X000063.SZ,X300124.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X002179.SZ,X300014.SZ,X000100.SZ,X002241.SZ,X600089.SH,X600372.SH,X002463.SZ,X600703.SH,X000157.SZ,X600584.SH,X002028.SZ,X000977.SZ,X600741.SH,X600522.SH,X002236.SZ,X600066.SH,X600183.SH,X600418.SH,X002049.SZ,X601877.SH,X000921.SZ,X000661.SZ,X000800.SZ,X002223.SZ,X601799.SH,X002180.SZ,X600487.SH,X600460.SH,X002074.SZ,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.359323369819614,0,0,0,0,0,0.106020715226345,0,0,0,0,0,0,0,0,0,0,0.0333564660136946,0.128255077278217,-0.00614427276132994,0,0,0,0,0,-0.0347786064485745,0,0,0,0,0,0,0,0,0,0.0400458370895665,-0.0228116407639822,0,0,0,0,0,-0.0349088531086289,0,0,-0.0826613244717629,-0.0341358353651835,0,0,0,0,-0.0731593310392515,0,0,0,0.00730687007497097,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0.410216183378008,0,0,0,0,0,0,0,0,0,0.0769217549555953,0,0.0172930708025739,0,0,0,0,-0.0568635093217808,0,0,0,0,0,0.0567295013242931,0,0,0,0,0,0,0,0.020554454853689,0,0,0.0749772546156937,0,0,0,0,0.036858402683716,0,0,-0.0295261634617244,0,0,0,0,0.036558954646773,0,0
X600276.SH,0,0,0,0,0,-0.0103147405866372,0,0,0,0,0,0,0,0.153988338917815,0,0,0,0.146895876612484,0,0,0,0.0242835768241404,0.013533383201232,0.0202107020139036,0,0,-0.0611782925094915,0,-0.150674610974838,0,0,0,0,0,0,0,0,0,0,0,0.089572977286905,0,0,0,0,0,0,0.0947139281102476,0.0681198994368596,0,0,-0.00608299939716446,-0.019233795809991,-0.103207193983881,0,0,0.00022556179595165,0,0
X002415.SZ,0,0,0,0,-0.0398985141804744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0553196289656523,0,0.321247453325747,0,0,0,0,0,0,0,0,0,0,0,0.0588196506574751,0,0,0.019103332464668,0.113889950120282,0.119532087242536,0,0,0,0,0,0,0,0,-0.12169898302595,0,0,0,-0.037723873201413,0,0,0,0.00160939276397923,0,0
X002475.SZ,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151220921690341,0,0,0,-0.0711274421389934,0.0255526010872886,0,0.525792704085316,0,0,0.047521377526224,0,0,0.231113983738627,0.15116702003397,0.070639260275559,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0119440415407754,-0.000896309534018491,0,0,0,-0.0343298393587594,0,0
X003816.SZ,0,0,0,0,0,0,0,-0.0673092081843885,0,0,0,0,-0.188565839364697,0,0,0,-0.13433631613708,0,0,0,0,0,0,0,0,0,-0.0861612571350887,0,0,0,0,0,-0.00580403736222195,0.046256123118784,0,0.0251252392610278,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.340614334007667,-0.0150125157086595,0,0,0,0,0,-0.0127332164624498,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0822117186487781,0,0,0,0,0,0.200117535506132,0,0,-0.112893411606735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0620509109493727,0,0,0,0.324546264658864,-0.179859920591021,0,0,0,0,0,0,0,0.0828240047542991,0,0,-0.0164602840557452,-0.126446290481917,0,0,-0.0192376210344501,0,0
X600809.SH,0.181641221101794,0,0,0,0,0.0656674614160013,0,0,0,0,0.0779219770628025,0,0,0,0,0,0,0,0.0226508063420004,0.453058621103202,0,0,0,0,0,0,0,0,0,0,0.0301893307017844,0,0,0,0,0,0,0,0,0,0,0,0,0.160350212806833,0,0,0,0,0,0,0,0.0555194898960448,0,0.103578194315624,0,0,0,0,0
X000651.SZ,0,0,0,0,0,-0.0287442387332085,-6.93889390390723e-18,0.0827404173640287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129413004787061,-0.00720812921775859,0,-0.107212499526336,0,0,0,0,0,0.0149417939805872,0,0,0.183138156068133,0,0,0,0,0,0,0,0,0.0655946481982438,0,0,0,0.0127148249567948,0,0,-0.0244955417808947,0,0
X000568.SZ,0.501647683347844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261795842649272,0,0,0,0,0,0,0,0,0,0,0,0.0285478581748718,0,0,0,0.0339963661424299,-0.0378021745493432,0,0,0,0,0.075261227311198,0,0,0,0,-0.023649594459484,-0.0476163127033097,0,-0.0410897760531652,0,0,-0.0126050012199973,-0.028415617293969,0,0,-0.00579224089793179,0,0
