,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X002304.SZ,X000858.SZ,X000625.SZ,X600031.SH,X000063.SZ,X600690.SH,X600276.SH,X000338.SZ,X000157.SZ,X600372.SH,X600089.SH,X600741.SH,X002241.SZ,X000100.SZ,X600118.SH,X600703.SH,X601877.SH,X000568.SZ,X000581.SZ,X600271.SH,X000623.SZ,X000550.SZ,X600066.SH,X002236.SZ,X000800.SZ,X300124.SZ,X000869.SZ,X002475.SZ,X600177.SH,X000559.SZ,X002294.SZ,X002129.SZ,X600839.SH,X000050.SZ,X000400.SZ,X002456.SZ,X600809.SH,X002465.SZ,X002007.SZ,X000977.SZ,X600252.SH,X002292.SZ,X300003.SZ,X600312.SH,X600435.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0,0,0.230035200009049,0.109434991263784,0,0,0,0,0,0,0,0.424323567535306,0,0,0,0,0,0,0,-0.171412590732781,0.0494835202284946,0,0,0,0,0,0.0347069772094577,0,0,0,0,-0.00228873063592419,0.00358740984022241,-0.0971998710440581,0,0,0,0,0,0,0,0,0,0.1289795502479,0.0214147003158928,0,-0.0371894728626176,-0.00569834937950794,-0.026127805565652,0,0,0,0,0
X600519.SH,0,0,0.0979093479275461,0,0,0.228549543759983,0,-1.73472347597681e-18,0,0,0.327231059853228,0,0,0,0,0,0.0678184666434324,0,0,0,0,0,0,0,0,0,0,0,0.042018619789992,0,0,0,0,0,0,0,0,-0.108164486770309,-0.077534369528627,0,0,0,0,-0.0320750873971079,0,-0.0599780708499305,0,0,0,0,0,0,-0.00304634244353592,0,0,0,0,0,0
X000725.SZ,0,0.159075389399499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451579962083481,0.0440487168997192,0,0,0,0,0.176841925603801,0.115947740538795,0,0,0,0,0,0,0,0.188062793490012,0,0,0,0,0,0,0,0,0,0.0140762434107656,0,-0.0169180752404996,0,0,0,0,0,-0.0540052488312057,-0.0058542563027594,-0.00212439065640536,0,0,0,0,0
X000651.SZ,0.0963461767507901,0,0.187067055918163,0,0,0,0,0,-0.0891960263916179,0,0.184301666771611,0,0,0,-0.0180894649426447,0,0,0.317887498074928,0,0,0,0.260756213785604,0,0,0,0,0,0,0,0,0,0,0,0.0588935702167401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0513357320274101,-0.000387509928219441,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0739829143363374,0,0,0,0,0,0,0,0,0,0,0,0.0210095811964371,0,0,0,0,0,-0.0409535348854372,0,0.188282523211707,0.180853930398062,0,0,0.13712681236261,0,0,0,0,0,0,0.20252572013011,0,0,0,0,0,0,0,0,0,0,0,0,-0.0334520248729226,0,-0.00784116996469623,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.243572874883422,0,0.0191092335088329,0,0,0,0,0,0.039393486669765,0,0,0,0.291896324578918,0,-0.001652644264399,0,0,0,0,-0.13194593776042,0,0,-0.209490287192939,0,0,0,0,0,0,0,0,0,0,0,0,0.438011428897705,0,0,0,0,0,0.0598470634622447,0,0,0,0.00422106495086193,0.00398283650451425,0.0597786796354574,0,0,0,0,0
X000858.SZ,0,0.0658475083551078,0,0.0876341636586248,0,0.0153893409330459,0,0,0,0,0,0,0.0286597263084898,0,0,0.00253929540740741,0.159450585846955,0,0.061482742063945,0,0,0,0.0685947685253039,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357307168825582,0,0,0,0,0,0,0,-0.0547451045994734,0,0.00826413874099394,-0.00542894069613495,0,0,0,0,0,0
X000625.SZ,0.380551966273604,0,0,0,4.33680868994202e-19,0,0,0,0,0.0556963216832775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.104506948335675,0.0263213327631622,0,0.158000619477945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101276541732997,0,0,0.000856969311784957,0,0,0,0,-0.0272352563056631,-0.0059636912758641,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0.025148819798634,0.244385502421103,0,0,0.905321508497078,0,0,0,0,0,0,0,0.0155877360684581,0,0.0573681464952541,0,0.031346517011098,0,0,0,0,0,0,0,0,0,0.0213158178958546,0,0,0,0,0,0,0,0,-0.0911433929074988,0,0,0,0,0,0,-0.0147664018191119,0.0113681318690204,0,0,0,0,0,0
X000063.SZ,0.181333331150376,0,0,0,0,0.0327229324833798,0,0,0.0183167421570181,0,0,0,0,0.00550104096210856,0,0,0,0,0,0,0.164338038722685,0,0,0,0,0,0,0,0,0,0,0,0,0.157528783605439,0.0550943416736733,0,0,0.0251375311554096,0,0,0,0,0,0.0393776798907371,0,0,0,0.0503850260259534,0,0,0,0,0.00081267425177715,0,-0.020296001284994,0,0,0,0
X600690.SH,0,0.131383083532856,0,0.379384747962567,0,0,0,0,0,0,0,0,0.188370430611944,0,0,0.0494572686184405,0,0,0,0.0602842705703193,0,0,0,0,-0.0156158263461914,0,0,0,0,0,0,0,-0.201021934340357,0,0.0385741411867532,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142346015719119,0,0,0.015149702110206,0.0212254014788299,0,0,0,0,0,0
X600276.SH,0,0,0.0259332630958552,0,0,0.104290177003874,0,0,0.0364056149499047,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126767437360419,0,0,0,0,0,0,0,0,0.133107246417961,0.0188501975028495,0,0,0,0,0,0,0,0.167161194683816,0,0,0.0343246265657085,0,0,0.0248288095047947,0,-0.0433302810784187,0.00202525948140316,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.289369041616418,0,0,0,0,0,0,0,0,0,0,0,0,-0.0051209518657435,0,0,0,-0.0297774142246709,0,0,0,0,0,0,0,0.0657598223838298,0,0,0.0102848790779696,0.0834996472217694,0,0.373582331888216,0.151561581961171,0,-0.0764110935279458,0,-0.0797550766635347,0,0,-0.0141134458872628,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0.149266068925529,0,0,0,0.241219574498168,0,0.00437268057322443,0.256048166426898,0,0,0,0.0921275682386928,0,0,0,0,0.0215458087418391,0.0161674524477265,0,0,0,0,0.0655768394625268,0,0,0.0268818327142201,0,0,0,0.128407630603546,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.0319099279266959,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0.194224205582866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21508175880086,0,0,-0.0298078934384365,0,0,-0.0702802679726238,0,0,0,0,0.0635575634084389,0,-0.0662979617863108,0,0,0,0.194740595499581,-0.0953627440190312,0,0,0,0,0,0.238796117725818,0,-0.00577783137541406,0.02693692752701,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0.0398539321875222,0,0,0.0575410924156914,0,0,0.104876643711957,0,0,0.010141684880995,0,0,0,0,0,0,0,0,0.149054092751915,0,0,0,0,0,0,0,0,0,0,0,0.055624435892428,0.080902500911056,0,0,0.101968606282539,0,0,0,0.156621548098692,-0.0168794851984885,0,0.00156089660597202,-0.0262756068817962,0,0,0,0,0,0
