,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600276.SH,X600031.SH,X600690.SH,X000338.SZ,X600372.SH,X000157.SZ,X002241.SZ,X600741.SH,X600703.SH,X600089.SH,X600066.SH,X600271.SH,X000100.SZ,X600118.SH,X000550.SZ,X601877.SH,X002236.SZ,X000581.SZ,X002475.SZ,X600582.SH,X000800.SZ,X000623.SZ,X600177.SH,X000568.SZ,X300124.SZ,X600839.SH,X002294.SZ,X002129.SZ,X000559.SZ,X000400.SZ,X000050.SZ,X000869.SZ,X002456.SZ,X002292.SZ,X000977.SZ,X002465.SZ,X002007.SZ,X600312.SH,X600060.SH,X300003.SZ,X600435.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.170471088144344,0,0,0,0,0.087170272250011,0,0,0,0,0,0.596542211916826,0,0,0.0441355018307995,0,0,0,0,0,0,0,0,0,0.0334919476673985,0.0306293269489508,0,0,0,0.118242847472059,0,-0.0358297638649947,0,0,0,0,0,0,0,0,0,0.142739933624318,0,-0.0762077064020888,0,0,0,0.0032828888306085,-0.10572346849039,0,0,0,0,0
X600519.SH,0,0,0,0,0.0542692784420127,0,0.209615727324799,0,-0.00348223806144435,0,0.161540356795234,0.247350602054743,0,0,0,0,0,0,0,0,0,0,0,0,0.0288447547463395,0.0915074222567077,0,0,0,0,0,0,0.180811367824515,0,0,0,0,0.0215235291818472,0,0,0,0,0,0,0,0,-0.0517000210781858,0,0,-0.0835318791222108,0,0.0118379337856885,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.204817121617412,0.0500513394161695,0,0,0,0,0,0.0318563986093942,0,0,0,0,0.00355866892091491,0,0,0,0.0460999112958961,0,0,0,0,0,0,0,0.0128882530095499,0.125435991548621,0,0,0,0.0245058766565831,0,0,0,0,0,0,0,0,0,0,0.0192267256170034,0.192142273050167,0,0,0,0,0,-0.0467077059653318,-0.0289534923542165,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.215721383292325,0.0836232944558837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417078270728002,0,0.295645154055929,0,0,0,0,0,0,0,0,0.0468314949965103,0.0187563161839095,0,0,0.0763941168191907,0,0,0,0,0,0,0,0,0.0148812085040152,0,0,0,0,-0.000237494450786442,0,0,0,0,0,0
X000725.SZ,0,0.136980840936552,0.181584307717346,0,0,0.00813303545596299,0,0,0,0,0,0,0,0,0.246652274089945,0,0,0,0,0,0,0.0374455456841376,0.0781639332899122,0,0,0,0,0,0,0,0.0441905320573273,0.134085632912641,0.0550741063019495,0,0,0,0,0,0,0,0,0,0,0,0.153946842113018,0,0,0,0,0,0,0,0.0154401687320007,0,0,0,0,0,0
X000625.SZ,0.293286225751737,0,0.0342245014747171,0,0,0,0.0871871154935839,0,0.246486676879623,0,0,0,0,0,0,0,0.191238408768611,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071283322791004,0,0,0,0,0,0,-0.0283994622816905,0,0,0,0,0,0,0,0.084216913101715,0,0,0,0.0122261133691346,0,0,0,0,0.184876722171163,0,0,0,0
X002304.SZ,0.127645478528216,0,0,0,0,0,0,0.148917758007045,0,0.131498322017615,0,0,0,0,0,0,0,0,0,0.0491310632614544,0,0,0,0,0,0,0.155750122404331,0,0,0,-0.0122697580605613,0,0,0,0,0,0,0,0,0,0.220549509363761,0,0,0,0,0,0,0,0,-0.0246350416202432,0,0,-0.00692517748050963,0,0,0,0,0,0
X000858.SZ,0.0616024712567158,0.114355496687085,0.0835163420663703,0,0,0,0.0888821954146479,0,0.117438982346884,0,0,0,0.216828493939184,0,0,0,0,0,0,0,0,0.03317506560507,0,0,0,0,0,0,0,0,0,0,0.0930782247113696,0,0.0126574103489794,0,0,0,0,0.0150517253919736,0.00566854350940645,0,0,0,0,0,0,0,0,0,0,-0.0148902587389869,-0.0155434554023383,0,0,0,0,0,0
X000063.SZ,0.00647835371764689,0,0,0,0,0,0,0,0,0,0.0796960809074337,0,0.113231489461528,0,0.0776237758706501,0,0,0.10661774181403,0,0,0,0,0,0,0,0,0,0,0,0.0224170042883617,0,0.254122921443968,0,0.0539558742113235,0,0,0,0,0,0,0,0,0,0,0.0487586015579209,0,0,0,0,0,0,-0.0299278322803242,-0.0180712726967628,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0486956498445414,0,0,0,0,0,0,0,0,0,0,0.213051075498763,0,0.2546897441925,0,0,0.0184710319128291,0,0,-1.73472347597681e-18,0,0,0.00820013446939408,0,-0.0654670490561392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182635451089748,0,-0.0375791415571564,0.0054342709107353,0,0,0,0,0,0
