,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600066.SH,X600703.SH,X002241.SZ,X000568.SZ,X002236.SZ,X600271.SH,X000100.SZ,X600031.SH,X600118.SH,X600177.SH,X002475.SZ,X002292.SZ,X002456.SZ,X000559.SZ,X600372.SH,X002007.SZ,X000338.SZ,X300003.SZ,X000157.SZ,X600867.SH,X002506.SZ,X002074.SZ,X002180.SZ,X600522.SH,X300124.SZ,X002085.SZ,X002294.SZ,X600089.SH,X002426.SZ,X601877.SH,X002508.SZ,X000050.SZ,X002465.SZ,X002249.SZ,X000869.SZ,X600498.SH,X000981.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.443139456094987,0.0302521801285968,0,-0.0288559633559268,0,0,0,0,0,0,0,0,0,0,0,0.0623762466036081,0,0,0,0,0,0,0,0,0,0,0.0501605310876944,0,0,0,0,0,0.127503639518629,0.02756286932142,0,0,0.104837166249213,0,0,-0.0997659227732533,0,-0.123155726740657,0,0,-0.0700983274665781,0,0,0,0,0,0,0.00436052726823953,0,0,0,0.136925685806782,0,0
X600104.SH,0.165153384339119,0,0.0710416646971082,0,0,0,0,0,0.44587247836108,0,0,0,0,0,0.0472738192939792,0,0,0,0,0,0,0,0,0,-0.0877098102699033,0,0,-0.0225544826163324,0,0,0,0,-7.89205896832299e-05,0,0.0547869567255516,0.0112877355311562,0,-0.0852485218631831,0,0,-0.0121944634333301,0,0,0,0,0,0,0.0764527228502553,0.0222235669230519,0,0,0,-0.034103265351889,0,0,0,-0.270356941883049,0,0
X002415.SZ,0,0,0,0,0,0.0110322682438075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213203902668176,0,0,0,0.0427464922861831,0,0.0441109708675267,0,0,0,0,0,0.074024841495903,0,6.93889390390723e-18,0,0,0.339259693825741,0,0,0.021259226165653,0,0,0,0,4.33680868994202e-19,0,0.136209328429865,0,0,0.0236253596919406,-0.0836596339093395,0,0,0,0,0,0
X000858.SZ,0.0602083120397276,0,0,0,0,0.099369408214311,0.12402681488612,0,0,0.179229362215417,0,0.0496981166141755,0,0,-0.0128458774026369,0.457392905293627,0,0,0,0,0,0,0,0,0,0,0,0.0423951380942177,0,0,0,0,0,0.0197748662321962,0.0306000530090882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229700153554246,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0156504080676934,0,0,0,0,0,0,0,-0.0098385827359396,-0.00618124067229174,0,0,0,0,0,0,0,0,0,0,0.000226963655525561,0,0,0.00821654021972977,0,-0.00944280176257541,0,0,0,0.00387426627621815,-0.00462970824424325,-0.0115308310547648,0,0,0,0,0,0,0,-0.00382286425394764,0.0102516546043718,0,0,0,0,0,0
X600276.SH,0.113559681847137,0,0.19963974916883,0,0,0,0,0,0,0,0.0984949841193593,0,0.0360901838405914,0,0,0,0,0,0,0,0,0,0,0,0,0.0236893641070515,0,0,0,0,0,0,0,0.00236419308345654,0.0582230796590668,0,0,0,0,0,0,0.0823482627270865,0,-0.0614756114258645,0,0,0,0,0.00333290057492858,-0.114978869688578,0,-0.00696826820429323,-0.0509397406549456,0,0.0793844149482033,0,0,0,0
X002304.SZ,0,0,0,0.718385934657949,0,0,0,0,0,0,0,0,0,0,0.0415152586127816,0,0,0,0,0,0,0,0,0,0,0,0.0638571488478423,0,0,0,0,0,0.0109544669360761,0,0.0321684056208659,0.00920943774287552,0,0,0,0,-0.0222276211627011,0.0176252848316336,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,-0.00881470081023264,0,0,0.15615056301515,0,0.049200776012387,0,0,0,0.17561840226914,0,0,0,0,0,0,0.0949085661992897,-0.0308499387347502,0.0239878731925511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150213463833084,0,0,-0.0779526313603608,0,-0.0226970038155904,0,0,0,0,0
X000625.SZ,0,0.152964820474093,0,0,0,0,0,0,0,0.138783020256418,0.0106612539939435,0.104328814051525,0.0974437201328249,0,0,0,3.28899271011394e-05,0,0,0,0,0,-0.0700758308819995,0,0,0,0.054023698755086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,-0.000153981812544496,0,0,0,0.0683274498156515,0,-0.042360578367154,0,0,0,0,0,0,0
X600690.SH,0,0,0.111780152723231,0.0762103249378813,0,0,0,0,0,0,0,0,0.0804566455961646,0,0,0.0283572248573561,0,0,0,0,0,0,0,0,0,0,0,0.0820900148636708,0,0,0,0,0,0,0.0430075587918661,0.044614131183038,0,0,0,0,0,0,0.0140562825988989,0,0,0,0,0,0,0.0827581223872288,0,0,0.0973366657430309,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0806080190743394,0,0,0.0723927291258939,0,0,0,0,0,0,0,0.0487931466160744,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0.181919418495653,-8.67361737988404e-19,0,0,0.0722924088336107,0,0,0,0,0,0.0177243651865224,0,0,0,0,0,0,0.0708412030722548,0,0,0,-0.0385134185864919,0,0.0445560990947194,0,0.109273850147055,0,-0.00116125016487977,0,0,0,0,0,0,0
X600741.SH,0,0.323569179546844,0,0.161931045909591,0,0,0,0,0,0.153648316953157,0,0,0,0,0,0,-0.0822773124214153,3.46944695195361e-18,0,0,0,0.0579798985303897,0,0,0.120109175744893,0.0370544115615384,0,0,0,0.00874458528037118,0,0,0,0.0245252166783627,0.0970774377085502,0,0,0,0,0,0,0,0,0,0,0.0366392269415955,0,-3.46944695195361e-18,0,0,0,-0.0206321657964491,0,0,0,0,0,0,0
