,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X003816.SZ,X002304.SZ,X000568.SZ,X002475.SZ,X000725.SZ,X000063.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X600183.SH,X000596.SZ,X000661.SZ,X002236.SZ,X601877.SH,X002241.SZ,X300003.SZ,X600703.SH,X002007.SZ,X000157.SZ,X002463.SZ,X000100.SZ,X002179.SZ,X300142.SZ,X600271.SH,X300014.SZ,X000625.SZ,X300124.SZ,X600867.SH,X000066.SZ,X002049.SZ,X002008.SZ,X000977.SZ,X300136.SZ,X002129.SZ,X300146.SZ,X002371.SZ,X600498.SH,X600177.SH,X600066.SH,X002506.SZ,X000050.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.405590582650299,0,0.0141548614588855,0.0511128450076654,0,0,0,0,0.152481169189674,0,0,0,0,0,-0.173018452225187,0,-0.067747276437925,0,0.0381544681151295,0,0,0,0,0.0808148026625089,0,0,-0.00721953426163764,0,-0.0400694647789905,0,0,0.0358600675681224,0,0,0.0640269959215435,0,0.00696950423371596,0.0241540798623871,0,0,0,0,0.00682536594295749,0,0,0,0,0,0,0,0,0.00352765688332781,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.285799360866035,0.237858451752975,0.0299571911031758,0,0,0,0,0,-0.0249425422798542,0.307714001162354,-0.0015406894172657,0,0,-6.93889390390723e-18,0,-0.00531885964717903,0,0,0,0,-0.0696139406700569,0,0,0,0,0,0,0,0,0.025430164532444,0,0,0,0,0.0873885006455429,0,0.0737202179292025,0,0,0,0,0,0,0,-0.0102361756302938,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.176198645783854,0,0.0882037285320982,0,0,0,0,0,0.121898519555986,0.119102966965225,-0.0845162236143774,0.0846676156884148,0,0,0,0,0.00256715118524337,0,0.117494715352473,0,0,0,0,0,0,0,0,0,0,0.0610765111356416,0,0,0,0,0,0,0.02557897395,0,0,0.0632864869892462,0,0,0,0,0.0196693796359255,-0.0405934121063224,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.152591808724325,0.143845588122727,0,0,0.0701351107485307,0,0,0.0483846640981539,0,0,0,0.125507045199793,0,0.0123196131013681,0,0,0.0111632718101241,0,0,-0.00770173925980169,0,0,0,0,0,0,0,0.10641949564179,-0.0793628719298399,0,0,0,0,0,0,-0.0237126793271903,0,0,0,0,0,0,0.20104319666891,-0.0510064735588594,0.0610391585902007,0,0,0,0,0,0
X002415.SZ,0,0.0799002759994829,0,0,0,0,0,0,0,0.15129068520503,0,0,0,0,0,0,0,0,0,0.119649201908585,0.240083784396039,-3.46944695195361e-18,0.232755024326319,0,0,0,0,0.00451783853605437,0,0,0,0,0,0,0,-0.012833157421275,0,0,0,0,0,0,0,0.0235071802211185,0,0,0,0,0,0,0,0,0.0137920115893351,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461394023653525,0.106751516284857,0,-0.0708549742932896,0,0,0,0.068145278631606,0,0,0,0,0.00547118461811918,0,0,0,0.0503058285486918,0,0,0.176397282974129,0,0,0,0,0,0.0571576231175026,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.00730370005432772,0.00607483319857075,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0243643749559595,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,-0.0490887183053859,-0.0243433581390323,0,-0.0327055539422932,-0.0344283672840296,0,0,0,0.387814492726088,0,0
X002304.SZ,0,0.241504372040227,0,0.0479574853725407,0.00721927843629274,0,0.0817409203581985,0,0.220854126057609,0,0,0,0,0,0,0.112307177882548,0,0,0.0805161283141795,0,0,0,0.0582327850201368,0,0,0,0,0,0,0,0,0,0,0,0,0.0575095371188584,-0.0236243493114601,0,0,0,0,-0.0796666141162354,0,0,0,0,0,0,0,0,0.162630236870109,-0.0154523732612898,0.0452400709104744,0,0,0,0,0,0
X000568.SZ,0,0.6758015425686,0,0,0,0,0,0.00663558142791834,0,0,0,0,0,0,0,0.191850761919352,0,0,0.0585071031992573,0.0161644783815586,0,0,-0.111297592731283,0,0,0,0,0,0,0,0.0314134561018807,0,0,-0.0888346644558417,0,0,0,0,0.0735431927263598,0,-0.0527965656556343,0,0,0,0,0,0,0,0,0,0,-0.0213406485161887,0.0200717477325927,0,0,0,0,0,0
X002475.SZ,0.0755788978149939,0.296541340698594,0.170959297048147,0,0.0877933206569615,0,0,0,0,0,0,0,0.0684854306474155,0,0,0.0429552781172807,0,0,0,0,0.22538259061937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533836300491931,0.0510955484504799,0.00876200550817745,0.0796095776032234,0,0.0974988241761784,0,0,0.0838096592740877,0,0,0,0,0,0,0,0.0629122541810731,-0.0549234323254159,0,0,0,0,0,0
