,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000625.SZ,X000651.SZ,X600104.SH,X002304.SZ,X300124.SZ,X000725.SZ,X003816.SZ,X000596.SZ,X000338.SZ,X002371.SZ,X000063.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X002129.SZ,X600703.SH,X600089.SH,X002236.SZ,X600372.SH,X002049.SZ,X000661.SZ,X002241.SZ,X000157.SZ,X600741.SH,X600584.SH,X000977.SZ,X601877.SH,X600522.SH,X000800.SZ,X002007.SZ,X601799.SH,X002180.SZ,X600183.SH,X600418.SH,X002074.SZ,X002463.SZ,X002028.SZ,X300142.SZ,X002294.SZ,X000066.SZ,X000733.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.513248741846194,0,0,0,0.0243300436289901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109164628722525,0,0,0,0,0,0,0,0,0,0,0.199366845539963,0,0,0.110588292233599,0,0,0.216345378807489,0.020350907577048,0,0,0,-0.0381703028229081,0,0.00467144911572916,0.0242918439705887,0,0,0.100694540692896,0,0
X000858.SZ,0.407793899323273,0,0,0,0,0,-0.0042116586775246,0,0,0,-0.0508145344877171,0,-0.0783849275340774,0,0,0,0,0,-0.0640100526400119,0,0,0,0,0,0,0,0,0,0,0.00329705190584968,0,0,0,0,0.0309008190317995,0,0,0,0,-0.102492456859462,0.0485849966761534,0,0,0,-0.0285580556453548,0,0.188887120570132,0.038350264314617,0,0,0,0,0,0,0,0,-0.0124935465402701,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599910409398777,0,0.119712448534076,0,0,0.105964771583162,0,0,0,0,0,0.00520707868614069,0,-0.0192435496066092,0,0.169036289917946,0,0,0,0.106271571981042,0,0,0,0,-0.121157572554114,0,0,0,0,0,0,0,0,0,-0.160623045303744,-3.46944695195361e-18,0.000231189298953127,0,0,0,0,0,0,0
X000568.SZ,0.21053381065054,0,0,0,0,0.301636040564223,0,0,0,0,0,0,0.074218224569801,0,0,0.287894367642436,0,-0.016851300666043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.051082565375668,0,0,0,0,1.0842021724855e-19,0,0,0,0.041304530778085,0,0
X600276.SH,0,0,0,0.088601925819945,0,0,0.088746124852534,0,0.00858356499269731,0,0,0,0,0,0,0,0,0,0,-0.0600432636775614,0,-6.93889390390723e-18,0,0,0,0,0.0407266348332268,0,0,0.230038852575802,0,0,0,0,-0.0346530590758816,0,0,0.0147406934076421,0,0.000410366850366026,0,0,0,0,0,0,0,0.217434527571098,-0.0400269222981012,0,0,0.00541408291041719,0,0,0,0,0,0,0
X600809.SH,0.303643230183648,0,0,0.250042638148486,0.0859495334999535,0,0.00802157889377126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186054484861867,0,0,0,0,0,0,-0.0189990087309355,0,0,0,0,0,-0.0567736413329219,0.0216725805085413,0,0,0,0,0.171883083081585,0,0.0242996689916778,-0.0491103560290132,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0.333349113347404,0,0,0,0,0,0,-0.0932276936006636,0,0,0,0,0,0.185575967427903,0,0,0,0,0,0,0,0.0482238292629717,0,0,0,0,0,0,0,-0.118661579551827,0,0,0.0113325170435448,0,0,0,0,0.0569133957090807,0,0.380662284903214,0,0,0.143987729851351,0.171413610232356,0,0,-0.079100640326032,0.106374675610182,0,0,0,-0.186886003244574,0,0
X600690.SH,0,0.0710511710845628,0,0.0540822490973687,0,0,0,0,0,0.0955956390175183,0,0,0,0,0,0,0.128809245483995,0,0,0,0.079139037507604,0,0,0,0,0,0,0,0,0.0644313236570414,0,0,0,0,0,0,0.101107206647352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0150147130001819,0.0261802721369095,0,0,0,-0.0480357244821189,0,0
X000625.SZ,0,0,0,0,0.10458678656157,0,0,0,0,0,0,0.0263594526139423,0,-0.167731607991211,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223184876241732,-0.0327618055034556,0,0.543866013934422,0,0,0,0,0,0,0.418617576681144,0,0,0,0,0,0,0,0,-0.00905490911003911,0,-0.210384292158565,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0205847076854216,0.297713659160158,0.0236103853400309,0,0,0,0,0,0,0,0,0,0,0,0,-0.127323778763092,0,0,-0.0556735398458774,0,0,0,-0.0889642542686769,0,0,0,0,0,0,0,0.0349948952012336,0,0,0,0,0,0,0,0.016185150418202,0,0.133453586523465,0.0177611571610578,0,0,0,0.0805377784823096,-0.161221432651413,0,0,0,0,0,0
