,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X000063.SZ,X002371.SZ,X300124.SZ,X003816.SZ,X600104.SH,X000725.SZ,X000596.SZ,X300014.SZ,X600031.SH,X002129.SZ,X000625.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X002049.SZ,X000100.SZ,X600372.SH,X002236.SZ,X000661.SZ,X002241.SZ,X000977.SZ,X002180.SZ,X601877.SH,X600584.SH,X600741.SH,X000157.SZ,X600702.SH,X600522.SH,X000733.SZ,X002074.SZ,X300003.SZ,X300142.SZ,X600460.SH,X002007.SZ,X002294.SZ,X300146.SZ,X000800.SZ,X002156.SZ,X002028.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.129681837892835,0,0,0,0.0975080017409975,0,0,0,0,-0.0535635668929192,0.0213902110455662,0,0,0,0,0.0137997825214668,0.060755286059799,0,-0.0201259074789612,0.0404068302292473,0,0,0,0,0,0,0,0,0,-0.0893850931165662,-2.16840434497101e-19,0,0,0,0,0,0.152641881618586,0.00320203883328576,0,0,0,0,0,0,0,0.0737059782054317,0,0.00458476608182884,0.0111019102599676,0,-0.0073849996610395,-0.0137929440010646,0,0,0,0,0,0
X000858.SZ,0,0,0,0.167085946995486,0,0.0868424782078596,0,0,0,0,0,0,0,0,0,0,0.0853005262274674,0,0.071205383684133,0,0,0,0,0,0,0.0270714985454711,0,0,0,0,0,-0.0122376728622528,0,0,2.16840434497101e-19,0,0,0.0495126153853299,0,0,0,0,0,-2.16840434497101e-19,0,0,0.00906853789811266,0,-0.00854097013373919,0.0140997839714862,0,-0.0384653809657463,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,-0.0301760659736983,0,0,0,-0.102828076071901,0,0,0,0,0,0.144450176457864,0,0,0,0,0,0,0,0,0,0,0.139064403676967,0,0.063291289572566,-0.0319084867383775,0.313493986629757,0,0,0,0,0,0,0,0,0,0.00369904990884058,0,0.331041399026017,0,0,0.144004245743181,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.468309461752804,0,0,0,0,0.0375904920669106,0,0,0,-0.0097872907475098,0,0,0,0,0,0,0,0,0,0,0,0,-0.0611645186795559,0,0,0,0,0.0647969429088377,0,0,-0.000782975521727374,0,0,0,0,0,0.214391096722152,-0.016930198901803,0,0.112007633989577,0,0,0,0,0,0,0,0,0,0,0,-0.0377805853473842,0,0,0,0,0,0
X600276.SH,0,0,0.148893965572743,0,0,0.0683850020379069,0,0.0331107999348991,-0.0138629017140099,0,0,0.00277769943444492,0,0,0,0,-0.0550380859107099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262473572131787,0,-0.00223304638468833,0.326753709457317,0,0,0,0,0.115738479963926,0,0.0466616771629873,-0.0473256704468307,0,0,0,0,0,0
X600809.SH,0,0,-0.0286035945864316,0,0,0,0.0577069940593366,0,0,0.110470557327274,0,0,0,0,0,0,0,0,0,-0.054364124440441,0,0,0,0.32391667586127,0.0220345826034128,0,0,0,0,0.00760403957851711,0,-3.46944695195361e-18,-0.159906926094778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0975867535928656,0.349992475587945,-0.0665674412956724,0,0,0,0,0,0,0
X002304.SZ,0,0,-0.0363004501948576,0.0462182202436114,0,0.0836674451668497,0,0.101856298908533,0,0,-0.0323915092049454,0,0,0,0,0,0,0,0,0,-0.0180045335035707,-0.0982978886358765,0,0,0,0,0,0,-0.0304981516074425,0.0428512061450631,0,-0.00594394530051729,0,0,0,0,0,0.121991716068317,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0237743376265038,-0.0119802435120411,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0.179806477464709,-0.161323699236719,0,0.0233434286352476,0,0,0.17810151570756,-0.552333608729413,0,0.0987225196128606,0.0510230085450421,0,0,0,-0.0211878231373997,0,0,0,0.0419750071681267,-0.0536003582796907,0,0,0,0,0,0,0,0,0,0,0,0,0.296721855446591,0,0,0,0,0,0,-0.0251936555764002,0,0.0408954811733969,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,-0.0392517218570423,0,0,0,0,0,0.0067767389617677,0,0,0,0,0,0,0,0.266331413619571,0,0,0,0.0133455066661223,0,0,0,0,0.0624436403631986,0,0.0836142194810973,0.0670929579857871,0,0,0.102228632249538,0,0,0,0,0,0,0,0,0,0.0732987214160432,0,-0.172444449013942,0,0.0596421328343729,0,0,-0.0510095463781923,0.0768105114944998,0,0,0,0,0,0
X000651.SZ,0,0,0.041390213608027,0.154360522490304,0,0,0,0,0.0546235312861461,0,0.145527656704008,0.0440520827318256,0.0250038218392131,0,0.0510333593710865,0,-0.106904367048488,0,0,0,0.282860802274244,-0.611159601538406,0,0,0,0,0,0.141572980500052,0,0,0,0.0430609711045223,0,-0.120625270457518,0,0,0,0.00294637545969381,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00986852221723542,-0.0104373443560677,0,0,0,0,0,0
