,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X000338.SZ,X600031.SH,X300003.SZ,X000063.SZ,X002236.SZ,X600809.SH,X002008.SZ,X600867.SH,X300124.SZ,X601877.SH,X600271.SH,X002456.SZ,X000596.SZ,X000625.SZ,X000661.SZ,X600487.SH,X600566.SH,X600066.SH,X000100.SZ,X002294.SZ,X002179.SZ,X000977.SZ,X002007.SZ,X002241.SZ,X000157.SZ,X300136.SZ,X300142.SZ,X000981.SZ,X002180.SZ,X000050.SZ,X600498.SH,X002049.SZ,X000869.SZ,X002508.SZ,X600779.SH,X600522.SH,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.167468660572617,0.0539961816274093,0,0,0,0,0,0,0,0,0.0105721755048058,0,0,0,0,0.0402778629670602,0,0,0,0,0,0,0,0,0,0.0510484311328438,0,0,0,0,0,0,0,0,0,0,0.0382336607482986,0,0,0,0.0366368063497993,0,0.121493192305848,0,0,0,0,0,0.014159994217304,0.0117412191194417,0,0,0,0,0,0
X600104.SH,0.0830281292959657,0,0.0304506478407468,0.0518716411921335,0,0,0,0,0.0595340284983479,0.0362098176224068,0,0.393088374140409,0.0129328140226978,0,0,0,0,0,0,0.0858936647352548,-0.100823883636274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129260501065615,0,0,-0.0954579915405052,0,0,0,0,0,0,0.0274564883585233,-0.00983076254451797,0,0,0,0.123841333911075,0,0
X002415.SZ,0,0,0,0,0,0,0.0438604821574635,0,0,0,0,0,0.0394747552211331,0,0,0,-0.0647653380637109,0.299598951204042,0,0,0,0.110115375031051,0,0,0,0,0,0,0.0554331055805216,0.207899343890622,0,0,0,0,8.67361737988404e-19,0,0.0641976019805931,0,0,0,0,0,0,0,0,0,0.165026829360682,0,0,0,0,0.00669599201353082,-0.0364270669541253,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0190982616171784,0,0.25811669286943,0,0.164830582173392,0,0,0,0,0,0,0,0,0.250869198161977,0,0,0,0,0,0,0,0.00792032064727423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019754037182537,0.0443655626374681,0,0,0,0,0.025779285177296,0,0,0,0,0,0
X000651.SZ,0,0,0,0.2238121065486,0,0,0,0,0.0771067223052347,0,0,0,0.158978774899321,0,0,0,0,0,0,0,0,0,0,0,0.129583766360325,0,0,0,0,0,0,0,0,0,-0.0832353550144334,-0.0372212257487185,0,0,0,0,0,-0.0701935902648144,0.0205051428360249,0,0.0378986910937715,0,0,0.0990608363894588,0.137144995056494,0,0,-0.0853838707241938,0.122569744614996,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0312746194008508,0.277666448539219,0,0,0,-0.116088156415235,0.115085071121154,0.0383468347486428,-0.0563219097419245,0,0,0,0.0823458084517179,0,-0.146496686946505,0,0,0,0,0.188623828636764,0,0.125770303941153,0,0,0.20435867245709,0,-0.0184785377056731,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.140971677973395,0,0,0,-0.0187699934408929,0.019818212270864,0,0,0,0.0752826300831506,0,0
X002304.SZ,0,0,0.149609423940105,0,0,0,0,0,0.324498524857426,0,0,0,0,0,0,0,-0.0949088844505864,0,0.303784304055915,0,0,0,0,0.0126338284177125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0146648514590364,0,0,0,0,0,0,0,0.0271770124737507,0,0,0,0.0399197728274522,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0754000705833989,0,0,0,0,0.0421953353721372,0,0,-0.211083488082567,0,0,0,0,0,0,0.0503001445886599,0,0,0,0.149368174887095,0,0.0559534205937175,-0.132511477720393,0.198690709437027,0.207733553935783,0,0,0,0,0.125494912722511,0,-0.123953132661589,-0.00682742701164996,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.446457189832307,0,0,0.255457696289685,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0024998712226776,0,0,0,0,0.0292112528230617,0.0912326702286193,1.73472347597681e-18,0,0,0,0.0320241114242472,0,0,0,0,-0.119809051890864,0,0,0,0,0,0,0,0,0,0,0,0.00625170074157127,0,0,0,0,0.00495810521374478,0.00943896873013423,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0.130912799194761,0,0,0.175542944138008,0,0,0,0,0.0485977163489497,0,0,0,0,0,0,0,0,0,0,0,0.148257653266311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0694595449597494,0,0,0.104336521798374,0.0602129023222581,0,0,0.0214658614005875,0.0186795806415535,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.311785942524495,0,0,-0.0261186732701958,0,0,0,0,0,0,8.67361737988404e-19,0.0287859245467178,0.461197189455163,0,0,0,0,0,0,0,0,0,0.0200401472075321,0,0,0,0,0,0,0,0.107217304171602,0,0,0,0.0197107289165898,0.237974552984451,0.128832048377827,0,0,1.0842021724855e-19,-0.00126507580074375,0,0,0,0,0,0
X600741.SH,0,0.297686776208202,0,3.46944695195361e-18,0,0,0,0,0.16192007535046,0.00482111643754089,0,0,0,0,0,0,0,0.00773883112793,0.0415079480206941,0,0.0309501257932075,0,0,0,0.0796484592169768,0.0374786804526176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12504523005384,0,0,0.119482580001898,0,0,0.0171130805695443,0,0,0,0.0171554361424781,-0.00246207685318401,0,0,0,0,0,0
X002475.SZ,0,0.255708139372027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0583597196689484,0,0,0.0554265082749738,0,0,0,0.573174393133118,-0.0269942114917573,0,0,0,0,0,0,0,0,0,0.15538498245348,0,0,0.142062289667844,0,0,-0.0237244348478352,-0.0268334210202168,0,0,0,0,0,0,0,0,-0.00604463699238112,0.022522507539487,0,0,0,0,0,0
