,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002304.SZ,X002475.SZ,X600690.SH,X600104.SH,X000651.SZ,X600031.SH,X300014.SZ,X000725.SZ,X002371.SZ,X000063.SZ,X300124.SZ,X002129.SZ,X600703.SH,X003816.SZ,X000338.SZ,X000625.SZ,X002241.SZ,X000596.SZ,X000661.SZ,X002049.SZ,X601877.SH,X002179.SZ,X300142.SZ,X000100.SZ,X600089.SH,X000799.SZ,X600460.SH,X600741.SH,X002236.SZ,X600702.SH,X600779.SH,X000157.SZ,X601799.SH,X002074.SZ,X600884.SH,X600584.SH,X002007.SZ,X002414.SZ,X000733.SZ,X600183.SH,X000800.SZ,X300003.SZ,X000977.SZ,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.425447143511665,0,0,0.0369278309754755,0,0,0,0,0,0,0,0,0,0,0.0372363090633902,0.00557422182230228,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.0352597782031801,0,0.0142091346407112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128743592371232,0,0,0,0,0,0,0,0.0634250423216172,0,0
X000858.SZ,0.0740454042188506,0,0,0.0574057858388101,0.209946887653345,0.109610394313942,0,0,0,0,0,0,0.0616973382790792,0,-0.00315299709049361,0,0,0,0,0,0,-0.0278228686388396,-0.0341012693025455,0,0.112197223262865,0,0.0058196480420972,0,0,0,0,0.0240926603160838,0,0,0,0,0.189574347315421,0.0564751319551045,0,0,0,0,0,0,-0.0231101589972248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0.159722889068342,0,0,0,0,0,0,0.195056664605095,0,0,0,0,0,0,0,0,0,0.165097612192443,0,0,0,0,0,0,0,-0.0642219169484966,0,0.0089966504187985,0,-0.000977215977358899,0,0,0,0.0897685513911072,0,0,0,0.132024180208784,0.00629656064225579,0.071093585629975,0,0,0,0,-0.0548794954273453,0,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.244049427893185,0,0,0,0,0,0,0,-0.0234354843628851,0,0,0,0,0,0,0,0,0,0,0,-0.0281318105300873,0,-0.0138958857402721,0,0,0.440751036223954,0,0,0,0.161081159465599,0.0558036628404208,0,0,0,0,0,0,0,0.0434620957296059,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.0309773473974651,0,0
X000568.SZ,0,0.61133256391305,0,0.0373160687124408,0,0,0,0,0,0,0,0,0,0,0,0,0.0182117317199328,0,0,0,0,0,0,0.0430677531324281,0,0,-0.0511628436187547,0,0,0,0,0.0491752586449673,0,0,0,0.0285983897092493,0.0458162981355645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0.297747467041638,0,0,0,0,0,0,0.00642104838002167,0,0,0.0595214252872898,0.0595115342544659,0,0,0,0,0,0,0,0,0,0,0,0,-0.100831731538621,0,0,-0.0406112874828163,0,-0.0913639132377236,0.277361497587126,0,-0.0116066728996815,0,0,0,0,0,0,0,0,0,0,0,-0.0390384404893769,0,0.297450801631377,0,0,0,-0.0478042444795714,-0.0166107191124223,0,0,0,0,0,0
X002304.SZ,0,0,0,0.107320812308543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115749330707719,0,0.0113734391491558,0,0.196084864262795,0,-0.0805813167091223,0,0,0,0,0,0.155828654487541,-0.0490702209878579,0,0,0,0.04985854779644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.00124871846718223,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102452061159143,0.0572688134077237,0,0,0.0541119646562736,0,0,0,0.130764650672057,0,-0.00678631379353202,0,-0.0910144126054011,0,0,0,-0.261651450803005,0,0,0,0,0,0,0,0.137986956118812,0,0.0701795294360372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0.107143690597799,0,0,0.0531801962327388,0.0240001074785325,0,0,0,0,0,0.0164939291107699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0555374089890943,0,0.0675425719791281,0,-0.0111168808317223,0,0,0,0.168272550396625,0.0240068903144247,0,0,0,0,0,0,0,0,0,0,0,0,0.0793537334307043,0.00448229102368004,0,0,0,0,-0.0390807604590721,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.021527089813346,0,0,0,0,0,0,0,0.0185390958480238,0.198901876262268,0,0,-0.0560193406279497,0,3.46944695195361e-18,0,0.026570358918422,0,0,0.0928348908356428,0,0.183589881426742,0,0,0,0.0627961745348828,0.0129759097848303,0,0.0182388538962053,0,0,0,-0.0758958866836056,0,-0.0203337395279083,0,0,0,0,0,-0.02487838700413,0,0,0,0,0,0
