,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000568.SZ,X000063.SZ,X600741.SH,X600703.SH,X002475.SZ,X000338.SZ,X600031.SH,X002236.SZ,X300003.SZ,X002008.SZ,X600809.SH,X300124.SZ,X002456.SZ,X600867.SH,X601877.SH,X600066.SH,X600271.SH,X000625.SZ,X600487.SH,X000596.SZ,X002294.SZ,X000100.SZ,X600566.SH,X000981.SZ,X002241.SZ,X000661.SZ,X002508.SZ,X300142.SZ,X000050.SZ,X300136.SZ,X000157.SZ,X002179.SZ,X002038.SZ,X002180.SZ,X002007.SZ,X600522.SH,X000869.SZ,X002049.SZ,X600177.SH,X000977.SZ,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.290877179581985,0,0.0419618723382531,0,0,0.102274705508069,0.00131244696968597,0,0.0666660880072736,0,0,0,0,0,0,0,0.14079640912353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0234875871104431,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,-0.00706176974858343,0,0,0,0,0,0,0
X600104.SH,0,0,-1.73472347597681e-18,0.13135475797714,0,0,0.305015511714818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491056554434512,0,0.0725631570759548,0,0,0,0,0,0,0.0623423857006658,0,0,0,0.0345524565524676,0,-0.0675737265042228,-0.0768570874154574,0,0,1.73472347597681e-18,0,-0.0202890716625029,0,0,0,0,0,-0.0457098072511002,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.171119628913409,0,0,0,-0.0630712432197054,0,0,0,0,0,0.199423393971735,0,0,0,0,0,0,0.00213276676967632,0,0,0,0.103665550705649,0,0,0,0.267229398397964,-0.0457254054826921,0.12367391733301,-0.0599387674946908,0.221533346267368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0223240357296831,-0.0262669019699559,0,0,0,0,0,0
X000858.SZ,0.136528595202674,0,0,0,0.196836899566182,0,0,0,0.0969353691210315,0,0,0.114680919557444,0,0.0293956882608339,0,0,0.149011916888446,0,0,0.186948391480545,0,0,0,0,0,0,0,0,0,-0.0573013953574359,0,0,0,0,0,0,0,0,0,0,0,-0.0030594365660125,0,0,0,0,0,0,0,0,0,0.00138197790549472,-0.0180465718921508,0,0,0,0,0,0
X000651.SZ,0,0,0,0.698310149028087,0,0,0,0,0,0,0,0,0,0.196055973032774,0,0,0.158676893447935,-0.0390052506920881,0,0,0,0.0624633816897692,0,0,0,0,0,0,0,0,0,0,0,0,-0.0232522487972009,0.0481343818288777,0,0,0,0,0,0,-0.00647899081847373,-0.0864476134949452,0.037582401241139,0,0,0,-0.136702737553971,0,0,0,0.0770660081689336,0,0,0,0,0,0
X600276.SH,0,0,0,0.0277854396161105,0,0,0,0,0,0.13325725175993,0,0,0,0,0,0,0,0.2377015341013,0,0.107203467982815,0,0,0,0,0,-0.0627634540497188,0,0,-0.062863236997272,0.14122262526629,0,0.214601165517834,0,0,0.167277801725895,-0.0304957265201927,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,-0.0587108132256527,0.00243364901435756,0,0,0,0,0,0
X002304.SZ,0,0,0.167605112068562,0.294776661882045,1.38777878078145e-17,0,0,0,0.108229626297286,0,0,0.0170498640843272,0,0,0,0,0,0,0,0.193140982439862,0.0294327060423156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0659083601515431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285610852409216,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0.0745084568647149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0807548974444093,0,0,0.136382261743711,0,0,0.104027475391808,0,0,0,0,0,0,0,0,0,0,0.0440459528739176,0,0,0,-0.10987816009936,0,0,0,0,0,0,0.0573726842116676,0,-0.0150962061431212,0.0201824412933947,0,0,0,0,0,0
X600690.SH,0,0,0,0.42870865775493,0,0,0.0417290862276776,0,0,0,0,0.121781069594078,0,0,0,0,0,0,0,0.0931995890425444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0151788777913043,-0.0112455423138483,0,0,0,0,0,0
X000568.SZ,0,0,0,0.0749031504767559,0.056433166892023,0.212080882802759,0.0377223824675632,0,0.243762592795019,0,0,0,0,0.0435062241785411,0.189765542136586,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0683155686069343,0,0,0,0,0,0,0,0,0,0,0,0.0313209534385426,0,0,0,0,0,0,0,0,0.0571433732088732,0,0.0107217155420956,-0.0139207287662872,0,0,0,0,0,0
