,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X600031.SH,X002236.SZ,X000338.SZ,X000625.SZ,X002008.SZ,X002241.SZ,X600487.SH,X002456.SZ,X601877.SH,X000100.SZ,X600066.SH,X600809.SH,X002508.SZ,X300124.SZ,X300003.SZ,X300136.SZ,X002294.SZ,X600522.SH,X600271.SH,X600867.SH,X600089.SH,X000157.SZ,X000981.SZ,X002085.SZ,X000596.SZ,X600177.SH,X600566.SH,X600498.SH,X600699.SH,X300142.SZ,X000661.SZ,X002179.SZ,X600118.SH,X002049.SZ,X002129.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,-0.0723348113717581,0,0.556180735909377,0,0,0.209982728817277,0.10963080687971,0,0,0,0,0,0,0,-0.124927184303135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0928202984520855,0,-0.0235756920294704,0.0251012557364049,0,0,0,0,0,0
X600104.SH,0,0,-0.0037548602624768,0,0.14138584034568,0,0,0,0,0,0,0,0.234030690784091,0,0,0,0,0,0,0,0,0,0,0.138008578690665,0,0,0,-0.0239137171350772,0.0370907558881815,0,0,0,0,0.113753889278323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0479055691075212,0.0717289854642154,0,0,0,0,0,0
X002415.SZ,0,0.0515626453079609,0,0,0,0,0,0,0,0,0.104604766489373,0,0,0,0.0675955136210542,0.0341292389553619,0,0,0.253954674056123,0,0.27264880711801,0.00668682455519163,0.0999360461204125,0,0,0,0,0.0157361031945851,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0582329788694011,0,0,0,0,0,0,-0.00401769130811232,-0.0100504030202094,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0168108053154424,0,0,0.137259839044937,0,0,0,0.279219527450211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278080788823585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117809389397647,0,0.00115617650901782,0.00502784153728182,0,0,0,0,0,0
X000651.SZ,0,0,0,0.258631226709093,0,0.00189601321995015,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240760347105023,0,0.241356347040008,0,0,0,0,0,0,0,0,0,0.00886845569794711,0,0,0,0,0,0,0,-0.0072055432169845,0.0386904759521613,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.48247359515608,0.0584146772216075,-0.0212233849354065,-0.179352175479807,0.049159021328071,0,-8.67361737988404e-19,0,0.0707323908638846,0,0,0,0,0,1.38777878078145e-17,0,0,0.214746597327812,0,0.234558207110882,0.0859941475670697,0,0,0.138519041896669,0,0,0,0,0,0,0.188042339651346,0,0,0,0,0,0,-0.0343999067241043,0,0,0,0.120913736596516,0,-0.0504704045357099,0.112937385381267,0,0,0,0,0,0
X600276.SH,0.0356612896793622,0,0,0,0,0,0,0.0334305962358179,0,0.0776059138056319,0.306422498219923,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,-0.0525980293339155,0,0,0,0.0127078459700752,0,0.138181551543676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667362004930291,0,0,0,-0.125525173618945,0,0,0,-0.0190683774522253,0.0527479528587318,0,0,0,0,0,0
X002304.SZ,0.285587004007653,0,0,0.157111375419857,0,0.0119187830090096,0,0,0,0,0,0.1219032016091,0.0313660148067772,0,0,0,0,0,0,-0.0559772635744507,0,0,0,0,0,0,0.0648324589421283,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0845802209127679,0,0,0.11198638212501,0,0,0,0,0,0,0,-0.0157431348057803,0.0296907516144084,0,0,0,0,0,0
X000063.SZ,0,0,0,-0.0735040534611648,0,0.336341254768084,0,0,0,0,0,0,0,0,0,0.226561034592868,0,0,0.0350033131704256,0,0,-0.0294445226764452,0,-0.061588234986552,0,0,0,0,0,0,-0.0860917517882272,0.238489512244261,0.119942674332043,0,0,0,0,0,0,0,0,0.319913606518652,0,0,0,0,0,0.221522368773794,0,0,0,-0.0203107461842566,0.0440576112934031,0,0,0,0,0,0
X600690.SH,0,0.459624381324618,0,0,0.075199774652778,0,0.0791752867067878,0.0172148291980375,0,0,0,0.124110544975447,0.105896521204758,0,-0.0715603509743269,0,0,0,0.029675486460675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656909739852238,0,0,0,0,0.0749335551323098,0,0,0,0,0,0,0.0393309776949241,0,-0.0237170666696771,0,0,0,-0.00703675309734803,0,0,0,0,0,0,0
