,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X002236.SZ,X600741.SH,X000625.SZ,X000568.SZ,X002475.SZ,X600031.SH,X002241.SZ,X000338.SZ,X600066.SH,X002456.SZ,X000100.SZ,X601877.SH,X002508.SZ,X300124.SZ,X002008.SZ,X300003.SZ,X002085.SZ,X300136.SZ,X600177.SH,X600089.SH,X002294.SZ,X000157.SZ,X600271.SH,X600522.SH,X600487.SH,X600118.SH,X000981.SZ,X600566.SH,X600867.SH,X600699.SH,X600809.SH,X300115.SZ,X002074.SZ,X000050.SZ,X000559.SZ,X600372.SH,X000623.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0471876754511555,0,0,-0.0329350187469915,0.023704919403334,0,0,0,0,0,0,0.218179122855742,0,0,0,-0.0703549707869873,0,0,0,0,0,0,0,0,0.113464813756027,0,0,0.139618421682966,0,0,-0.0962255013369402,0,0.0721994618549658,0,0,0,0,0,0.290759482109597,0.0769449849123453,0,0,0,0,0,0,0,0.00218118306886306,-0.0272623507652662,0,0,0,0,0,0
X600104.SH,0,0,0,0.2669950780097,-0.085166925505528,0,0,0.0262929914627223,0,0.0383998380122345,0,0,0.409470746578112,0.0958144195483809,0,0,0,-0.00118846768040138,0,0,0,0,0.0462775284797971,0,0,0,0,0,-0.113857625123056,0,0,0,0,-0.0943215433412687,0,-0.0256063560649146,0,0,0,0,0,0,-0.0894786387747286,0,0,0,0,0,0,-0.153950033062915,0.0347110827846825,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0369716645980679,0,0.002040622610949,0,0,0.442996366755682,0.0949256594483046,0,0.0366909683013617,0,0,0,0,0,0,0,0,0.317829996356008,0,0,0,0,0.0811702662860743,0,0,0,0,0,0,0,0,0,0,0,-0.137159029465259,0,0,0,0,0,-0.0577214778424726,0,0,0,-0.0248462541916953,0.0456513574792146,0,0,0,0,0,0
X000651.SZ,0.0230961343798815,0.0547937894008508,0,0,0.178450460183134,0,0.0267009432880291,0,0,0.138417777478294,0,0,0,0.123264249821795,0,-0.0578994912755602,0,0,0,0.0816599374561876,0,0,0,0.0869197631651046,0.211037026845541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248972480760331,0,0,0,0,0,0.0029182430668626,-0.0099570272312496,0,0,0,0,0,0
X000858.SZ,0,0,0.0505827765856333,0.116404153907724,0,0,1.35525271560688e-20,0,0,0,0,0,0,0,0.710398494302627,0,0,0,0.0368379390406616,0,0,0,0.00669126437668235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0737460550085938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0.103214393516515,0.0578852536384191,0,0.0357698654633175,0,0,0,-0.0185249637497772,0,0,0,0.0821036900597383,0,0,0,0,0,-0.104195456407329,0,0,0,0,0,0,0,0.111488105885325,0,0,0,0,0,0,-0.0754292525884174,0,0,0,0,0,0,0,0,0,0,-0.0238540650604813,-0.165227587991795,-0.0834789841268645,0,0,0,0.00793373449881865,-0.00189825611363567,0,0,0,0,0,0
X000725.SZ,0,0,0.230863423641276,0,0,0,0,0,0.137158326745272,0,0,-0.147361988455761,0,0,0.0579404297532967,0,0,0,0,0,0,0,0,0,0,0,0,0.309821673247329,0,0,0.194155387836468,0,0,0.592529333455472,0,0,0,0,0,0,0,0,0,-0.00813361500082822,0.106275339199177,0,0,0,0,0,0.0036555197998984,0.0128224769870042,0,0,0,0,0,0
X002304.SZ,0.276641842790678,0.455435887195599,0,0,0.164555284764658,0.0972055083462385,0,0,0,0.392740280035384,0,0,0,0,0,-0.441510263746334,0,0,0,0,0,0,0,0,0,0,0.0782205387033806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033081822280948,-0.236330458040874,0,0.0669954675163483,0,0,0,-0.202721336694778,0,-0.0313814656566545,-0.053542830781844,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.191692057684519,0,0,0,0.120990856511699,0,0,0.0345311021457104,0,0,0.160018755582309,0,0,0,0.18872639923108,0.141819838662773,0,0,0.051585266961472,0,0,0,0,0,0,0.0787376570088429,0,0,0,0,0,0,0,0,0,0,0.0331030532969062,0,0,0,-0.0249184339850724,0,0,0,0,-0.0877445447310771,0,0
X600690.SH,0,0.22977314747395,0,0.366014344912107,0,0,0,0.0289686669599712,0,0,0,0.0667604676215439,0.149565713350939,0,0,0,0,0,0,0,0,0,0,0,-0.0990534357228202,0,-0.00672795495769096,0.0869419887494754,-0.0749915751127527,0,0,0.312719370782155,0,0,0,0,0,0,0,0,0,0,-0.017942465415764,-0.010732109134686,0,0,0,0,0.0654751611669579,0,0.0209402981073514,-0.0196415471424466,0,0,0,0,0,0
