,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X002304.SZ,X000661.SZ,X600031.SH,X000063.SZ,X000568.SZ,X000725.SZ,X600809.SH,X003816.SZ,X600690.SH,X000338.SZ,X002241.SZ,X300142.SZ,X002007.SZ,X600703.SH,X300014.SZ,X000596.SZ,X002371.SZ,X300124.SZ,X000100.SZ,X300003.SZ,X002049.SZ,X600584.SH,X002129.SZ,X600741.SH,X601877.SH,X000157.SZ,X600183.SH,X002414.SZ,X002236.SZ,X000800.SZ,X000066.SZ,X300136.SZ,X002456.SZ,X000977.SZ,X000625.SZ,X002179.SZ,X002008.SZ,X002185.SZ,X600118.SH,X002463.SZ,X601799.SH,X002180.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.407800573296743,0,0,0,0,0,0.00203579755562016,0,0,0,0,0,0,0,0,0,0,0.0715132266714305,0,0,0,0.0882270443954574,0.0215094721946432,0,0,0,0.0431027108975173,0.000527181631433915,0,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0,0.010314389764589,-0.00599539596934652,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.0696045388672751,0,0,0,0.217149787855489,0,0.433212346224397,0,0,0,0.0731980663478411,-2.16840434497101e-19,0,0.0488530238263995,0,0.0139405253495204,0,0,0,0,0,0,0.0334229928531871,0,0,0,0,0,0,0,0,0,0,0,0.0137696887522491,0,0,0,0,0,0,0,0.0501940372344279,0,-0.00363755865268849,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.171156671703045,0.268548687290207,0,0,0,0,0.0412497496510501,0,0,0,0,0,0,0,0.0359017769051967,0,0.0351716857081041,0,0,0,0.00013703190451427,0.0575570172453525,0,0,0,0,0,0,0,-0.0226760719626156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0168681172365589,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852131360693817,0,0.29358193209673,0,0.0458975375406667,0,0,0.0753924531333494,0,0,0,0,0.0389881334413789,0.0651125479783565,1.73472347597681e-18,0,0,0,0.077489603954918,1.73472347597681e-18,0,0,0.0238448794511834,0,0.0612020590143149,0,0,0,0,0,0,0,0,0,0.00783972152473399,0,-0.00907914331445777,-0.0290298894719434,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0291388362033416,0,0,0,0,0,0,0,0,0.0973196968138047,0,-0.00994125447565285,0,0,0,0,0,0.33318989919698,0,0,0,0,0.209081971965943,0,0,0.135086116585779,0,0.0270200742092723,0,0,0,0,0,-0.0431566265948089,-0.00973176085648059,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,-0.0190915093964077,0.0512134950680425,0,0.103021353860245,0,0,0,0.0940285015104812,0.0677893784004603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0586216498539754,0,0,0.0621834804981624,0,0,0,0.0335420828438785,0,0,0,0,0,-0.00252420019491772,0,0.0130300088788561,-0.0182820090140161,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,-0.0380773725361194,0,0,0,0,0,0,0.0634317329306249,0,0,0,0,0,-0.116425832219791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173398872435201,0.0564200996251418,0,0,0.0702538775308438,0,0.142280131436211,0,0.0953004277876617,0.0131129653385215,0,0,0,0,0,-0.0440409043580992,-0.0167084721137463,0.0137095072837232,0,0,0,0,0,0
X002304.SZ,0,0.27987794756426,0,0,0,0,0,0,0,0,0,0.325336692021932,0,0,0,0,0,0,0.042650520525084,0,0,0,0.164498035165557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106717459739893,0,0,0,0,0,0,0,0,0,0,0,-0.00750142299682607,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0.163298135266457,0,0,0,-0.0947556908822191,0,0,0,0,0,0,0,0,0,0.0309954727374025,0,0.338575212209932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123674501463021,-0.0345473531436347,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,-0.14353702236407,0,0,0,0,0,0,0,0.267107902853767,0,0.0050949210653444,0,0,0,0.192607690450814,0,0,0,0,0.101158901583113,-0.105249226299296,0,0,0,0.160765314641815,0,0,0,0,0,0.0975593178726228,0,0,0,0,0,0,0,0.137054307171481,0,0,0,0,-0.0108465538897049,-0.0193467597863602,0,0,0,0,0,0
