,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X000568.SZ,X600104.SH,X003816.SZ,X300124.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002241.SZ,X600418.SH,X002179.SZ,X002463.SZ,X000977.SZ,X600584.SH,X600089.SH,X600703.SH,X000157.SZ,X600372.SH,X002028.SZ,X002049.SZ,X002236.SZ,X600183.SH,X600741.SH,X000066.SZ,X600522.SH,X600066.SH,X600839.SH,X601877.SH,X600460.SH,X002456.SZ,X002156.SZ,X600487.SH,X000800.SZ,X000661.SZ,X002085.SZ,X000921.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0,0,0,0,0.101283760719014,0,0.258229520883273,0,0,0,0,0,0,0,0,0,0,0,0.218823921534392,0,-0.186400498542085,0,0,0,0,0,0,0,-0.211657684933311,0,0,1.21152813081753,-0.231971233441988,0,0,0,0,-0.0283841184470681,-0.046131458306925,0,0,0,0.0830361671531609,0,0,-0.245795263046421,0,0.159164222999502,0,0,0,0.0673372858901978,0,0
X003816.SZ,0,0,0,0,-0.0773293896065741,0,0,0,0,0,0,0,0.240397469068465,0,0,0,0,0,0.302923522725748,0.128532001645273,-0.215789846326157,0.0160786893332213,0.12468214393956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548629820387952,-0.100305438035574,0,0.0167480549753117,0,0,0,0,0,0,0,0,0,0,-0.00437968870641552,0,0,0,0,-0.056620746820249,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0.0811516355451668,0,0,0,0,0,0.0512299017334548,0,0.0652404497651254,0.122512158155076,0,0,0.422312000090835,0,0,0,0.122228468300375,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0527475601809216,0,0,0,0,0,0.0424848806358369,0,0,0,0,0.00733825004097198,0,0,-0.0860821251781533,0.128058189969249,0,0,0,-0.000764763968286168,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0174729001681953,0,0.0187867878820337,0.0332231115119332,0,0,0,0,0,0,0.00757019298468142,-1.73472347597681e-18,0.39798121337099,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.199966869741251,0,0,0,0,0,0.0792482834081977,0,0.0602881334463905,0,-0.0443049945121678,0,0,0,0,0,0,-0.0354325264731344,0,0,0,0,0.0150092738396675,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.0996697595528571,0,0.0346237106536589,0,0,0,0,0,0,0,0,0,0,0.0225409059567625,0,0,0.183823323078877,0.136045246512097,0,0,0,0,0,0.351610757884385,0.176038227433357,0,0,0.137438803685313,0,0,-0.0380979667226815,0,-0.160697772301243,0,-0.0702021323734231,0,0,0,0,0,0,-0.0208636408637753,0,0,0,0,-0.0231920115549999,0,0
X600031.SH,0,0,0,0,0.167760632379717,0.176184391443787,0.194191724535192,0,0,0.0168629654416268,0,0,0,0,0.0689343894614534,0,0.0666977394302676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549416186250954,0,0,0,0,0,0,-5.42101086242752e-20,-0.0471908768307563,0,-8.67361737988404e-19,0,0,0,0,-0.00567484382266974,0,0,0,0,0,0,0,0,0,0,-0.119018973525333,0,0
X000625.SZ,0,0.0688479501655774,0,0,0,0,0.00423383323896477,0,0,0,0.0342878027624152,0,0.149384675613635,0,0,0,0,0,0.370853574383898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0529952141540933,0,0,0.0685547171000642,0,0,0.0132050416502656,0,0,0,0,-0.109003304734812,0,0,0,0,0.0133476369393578,0,0
X002304.SZ,0,0.568238766451086,0,0.0307343183182599,0,0,0,1.73472347597681e-18,0,0,0.0152879439435723,0,0.0431409549715756,0,0,0,0.0976198941808661,0,0,0,0,-0.149175421887144,0.0216900617619972,-0.104419781939974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457788407077055,0,0,0,0.0830417043445889,0,-0.082846985485544,0,0,0,0,0,0,0
X000338.SZ,0,0.284873107126712,0,0,0,0,0,0,0,0.183952984682615,0.0515444208367153,0.0936465862727731,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0260139795889409,0,0,0,0,0,0,0.0283103807612721,0,0.029436846410133,0,0,0,0,0,0,0.0893101698203824,0,0,0.087801412053137,0,0,0,0,0,0,-0.00265841639153716,0,0
X000596.SZ,0,0,0,0,0,0,0.368760104350095,0,0,0.275103499803315,0,0.250342261712453,0,0,0,0,0,0,0,0,0,-0.0160891167440011,0,0,0,0,0,0,0,0,0,0,-0.0547102147330116,0.0576823688328262,0,0.017574535534587,0,0,-0.0166787107554963,0,0,0,0,0,0,0,0,0.101564930972706,0,0,0,0,0,0.0534934333711166,0,0,-0.0253015047729087,0,0
