,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X002475.SZ,X600741.SH,X000596.SZ,X000661.SZ,X600809.SH,X601877.SH,X600703.SH,X000157.SZ,X000100.SZ,X600271.SH,X002236.SZ,X300142.SZ,X002007.SZ,X300124.SZ,X300003.SZ,X002008.SZ,X002179.SZ,X600498.SH,X002506.SZ,X000977.SZ,X600487.SH,X600177.SH,X000625.SZ,X600183.SH,X002371.SZ,X600776.SH,X600522.SH,X600066.SH,X600867.SH,X300146.SZ,X000050.SZ,X000066.SZ,X002129.SZ,X002049.SZ,X600089.SH,X600118.SH,X002241.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0804158614048008,0,0,0,0,0,0,0,0.135605360236569,0,0,0,0,0,0,0,0,0,0.0416941158425538,0,0,0,0.151978982949518,0.110986560667092,0,0,0,-0.0385764883849389,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,-0.0171311479239472,0.0121360518715386,0,0,0,0,0,0.0386624715903468,0,-0.0318390796553526,-0.0133670105192538,0,0.0395914174829823,0,-0.0122980257771488,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.135789369808335,0.0632396564013534,0,0,0,0.295119448362142,0,0,0,0,0,0,0.0360624799316756,0,0,0,0,0,0,0,0,0,0,0,0,0.130191284426702,0,0,0,0,0,0,0,0,0,0,0,0.110018536132629,0,-0.0674416715280062,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.106826464646162,0.018682333017745,0,0,0.313721363387457,0,0,0.269222773261305,0.154924226845699,0,0.140760372847983,0,0,0,0,0,-0.0377518683782454,0,0,0,0,0,0,0,0,0.0322153884630509,0,0,0,0,0,0,0,0,0,0,0.00871141610327276,-0.0855455621774086,-0.0645927084778491,0,0,0,0,0,0,-0.0258182710583635,0,0,0,0,-0.0153077435836608,0,0
X600104.SH,0,0,0.161535515156746,0,0,0.00779209331701828,0,0,0,0.0575458699466968,0,0,0.0218305777813209,0.0146254921347235,0.0988921852371767,0,0,0,0,0,0,-0.0364932328820882,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227181919851115,0,0,0,0,0.00418432391727688,0,0,0.0655836384239035,0.0594655563327302,0,0,0,0,0,0,0,0,0,0,0,0.00242812860519275,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.0261533874217234,0,0,0.15235967130019,0.00195996783035976,0,0.0663337878303431,0,0,0,0,0,0,0,0.267012659442912,0,0,0.221632699058604,0,0,0,0,0,0,0,0,0.0482478716458023,-0.0302939976336064,0,0,0,0,0.0275943545856065,-0.0342039961132576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0592696708550496,0,0.233995288602209,0,0,0,0,0.0159271409466988,0,0,0,0,0.577254497738785,-0.0713032415252185,0.0940495146045009,0,0,0,-0.0106577489735318,0,0,-0.127037454016579,0.175817315216371,0,0,0,0,0.0079560338501454,0,0,0,0,0,0,0,0,0,-0.0596358759565721,0,0,-0.00561431197756874,0,0,0,0,-0.00848557671322058,0,0
X002304.SZ,0,0.202002510377705,0.228807182725239,0,0,0,0,0,0,0,0.083514387070909,0,0,0,-0.0260118224074546,0.112535636789072,0,0.106400054991407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664592674118814,0,0,0,0.0713153680214533,-0.0400456023195002,0,0,0,0,0,0,0,0,0,0,0,0,-0.0137663630741686,-0.0192491814356294,0,0,0,0.0188597696031051,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225860527476845,0,0,0,0,0,0,0,0,0,0,0,0,0.0695042208246509,0,0,0,0,0.16485043417833,0,0,0,0,0.253111748117165,0,0.270999343367725,0,0,0,0,1.0842021724855e-19,0,0,0.0734818008933723,0,0,-0.104214023124682,0,0.0100943872012296,0,0,0,0,-0.00693832387829154,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122629210047408,0,0.226492286941016,0,0,0,-0.0116664269105753,0,0,0,0,0,0,0.083519616737961,0.0665611888427848,0,0,0,0,0,0,0.0270178084040194,0,0,0.315249103672757,0,0.0414321024312916,0.0926834216981573,0,0.030784521460676,0.0191244468107596,0,0,0,0,0,0,0.025112587960406,0,0
X000568.SZ,0,0.28214852506533,0,0,0,0,0,0,0,0,0,0,0,0.0282895790105424,0,0.00676707196212127,0,0.125018821914229,0,0.0790535896070338,0,0,0,0.048735441340259,0.00634469745847065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.165513250522128,0,-0.0335157467501439,0,0,0,0,0,0,0
X600031.SH,0,0,0.280695807018519,0,0.0421908298165215,0,0,0,0,0,0,0,0.292637976853601,0,0,0,0,0,0,0,0.1113508446046,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0.090348646269897,0.0557987591986042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0682243804589221,0,0,0,0,0.0105093085693392,0,0
X600690.SH,0,0,0,0,0,0.175878936994835,0,0,0,0,0.0558199571110639,0,0.0785327931607804,0,0.0413164666936175,0.0981139817745663,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.123307245861396,0,0,0,0,0,0,0,0.0108023737454908,0,0,0,0,0,0,0,0,0,0,0,0,0.0564212421259521,0,0,0,0,0,0,0.0266743394102116,0,0
