,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X000651.SZ,X600690.SH,X002304.SZ,X600031.SH,X002475.SZ,X600104.SH,X000725.SZ,X000661.SZ,X300014.SZ,X300124.SZ,X003816.SZ,X000338.SZ,X000063.SZ,X000625.SZ,X002241.SZ,X000100.SZ,X600703.SH,X000596.SZ,X300142.SZ,X000157.SZ,X002371.SZ,X002179.SZ,X002129.SZ,X002049.SZ,X600741.SH,X000799.SZ,X002007.SZ,X002236.SZ,X601877.SH,X600584.SH,X300146.SZ,X002414.SZ,X300003.SZ,X600183.SH,X000800.SZ,X601799.SH,X600779.SH,X600702.SH,X600460.SH,X600089.SH,X000066.SZ,X600707.SH,X002074.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.321672447787733,0,0,-0.00213821148534469,0,0,0,0,0,0,0,0,0.359078393251206,0,-0.0914486330528047,0,0,0,0,0,0.0121972053176172,0,0,0,0,0,0,0,0,0,0,0.0332492380936767,0,0,-0.0708019346159114,0,0,0,0,0,0.0762637046883458,0,0,0,0,0,0,0,0,0,0,-0.0280043153878618,0,0,0,0,0,0
X000858.SZ,0,0,0,0.156705926456449,0.107716793360401,0.287199458199652,0,0.0116396455240399,0.0257113677344531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115409789592448,0,0,0,0.20063856653179,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0246976202872558,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0707286021086483,0,0,0,0,0.108654706650686,0,0,0,0,0,0,0,0.0306901522547504,0,0,0.0625900257401359,0,0,0,0,0,0.13130251655681,0.317401393441442,0,0,0,0,0,0,0,0,0,0,0.112131931399464,0,0,0,-0.0141227931239346,0.0545929853690145,0,0,0,0,0,0,0,-0.0102557957078423,0,0
X600276.SH,0,0.19861025023656,0,0,0,0.207305099974778,0,0,0,0,0,0,-0.0318360002316464,0,0,-0.131953921489675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0636650912072691,0,0,-0.150714187953034,0,0,0,0,0.0188165729330022,0,0,0,0,0,0,0,0,0,0.0246557503740326,0,0,0,0,0.0295986087459301,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0943944632799786,0,0,0,0,0,0,0,0,0,0,0,0.135943027392591,0,0,0.178163981167922,0,0.404596560196996,0,0,0,0,0,0,0,0,0,0.0770194970803767,-2.16840434497101e-19,0,0.0169886513770831,0,0,0,0,0,0,0,-0.10435701101789,0,0,0,-0.028386748103205,0,0
X000568.SZ,0,0.740701466208369,0,0,0.0138951233066456,0,0,0,0.0125252670452401,0,0.0705687118356447,0,0,0,0,0.0167806204824441,0,0,0,-0.0402168300309984,0,0,0,0,0.00494227133517979,0,0,0,0,0,0,-3.46944695195361e-18,0.307585841045835,0,0,0,0,0,0,0,0,0,0.0385993676006227,0,0,0,0,0,0,0,0.0874181866380334,-0.016588361627249,-0.0303010963360798,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0406400483835493,0.0674764114261052,0,0.0403383877907578,0,0,0,0,0.0129951067184973,0,0,0,0,0,0.219666912013408,0,0,0,0.0488630994742389,0,0,0,0,0.0522661028723877,0,0,0,0,0,0,0,0,0,0,0,0,0.0550065026927688,-0.0549150691376774,0.0105581539009852,0,0,0,0,0,0,0,0,0,0,-0.0116186704255731,0,0
X600690.SH,0,0.00343539548640561,0,0,0,0,0.0724283004181976,0,0.135328090333879,0,0,0,0,0.0661943131192634,0.122896876683501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463277372496103,0,0,0,0,0,0,0,0.0804155751855696,0,0,0.0123598240325864,0.143193948071153,0.0304775382301023,0.0913643014307172,0,0,0,0,0,0,0,0,0,0,0,0.0157145483278229,0,0
X002304.SZ,0,0,0,0,0,0.257569371752052,0.032640945032721,0.153935647271054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0791887702666937,1.38777878078145e-17,0.0248303188022669,0,0.0528709010607056,0,0,0,0,0,0,0,0,0,0,0,0.184328358710743,0,0,0,0.0238319093647794,0,0,0,0,0,0,0,0,-0.0575390916017532,0,0,0,0,-0.00846853609332326,0,0
X600031.SH,0,0,0,0,0,0,0,-0.285226180632757,0,0,0,0,0,0,0,0.335116865346603,0,0.255747700553119,0,0,0,0,0.0183716056030981,0,0.0229920723227596,0,0,0.374208762789619,0,0.0688208195675116,0,0,0,0,0,0,0,0,0,0,0,0.154668726960143,0,0,0,0,0,0.0741819326497495,0,0,0,-0.0588813538598255,0,0,0,0,0.00786881820478054,0,0
