,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X300014.SZ,X600104.SH,X600031.SH,X000596.SZ,X003816.SZ,X000725.SZ,X000625.SZ,X002371.SZ,X002129.SZ,X000063.SZ,X002049.SZ,X002179.SZ,X000338.SZ,X600703.SH,X600089.SH,X002180.SZ,X000661.SZ,X300142.SZ,X601877.SH,X002241.SZ,X000733.SZ,X002074.SZ,X600741.SH,X000100.SZ,X600702.SH,X600522.SH,X600460.SH,X000157.SZ,X300003.SZ,X000799.SZ,X600584.SH,X600884.SH,X002007.SZ,X000800.SZ,X002414.SZ,X600487.SH,X002236.SZ,X300146.SZ,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.299239135206829,0,0,0.334280738051717,0,0,0.0480032061728863,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.187864949849253,0,0.222022960484739,0,0,0,0,0,0,0,-0.0212914370696041,0,0,0.0932762366783456,0,0,0,0,0,0,0,0,0,0,0,0.0297200056805333,0,0.0208784414858388,0,0,-0.00784272702266589,0.0203375476545159,0,0,0,0,0,0
X000858.SZ,0.0366311029540947,0,0.0126878216569726,0.0175872895614402,0.571313924909144,0,0,0,0,0.177227604510448,0,-0.105296558391981,0,0,0.0429849852550068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0254622570951167,0,0,0,0,-0.0146144337408776,0,0,0.0476530626121012,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0192811008357189,0,0,0,0,0,0
X600809.SH,0.342584449222001,0,0,0,0.524602804039425,0,0,0,0,0,0,0.0111789529908588,0,0.0468029886095763,0,0,0,0,-0.0126774085266283,0,0,-0.123274904354062,0,0,0,0,0,0,0,0,2.16840434497101e-19,-0.0129353177425277,0,0,0,0.0221107021606913,0,-0.0125059862952174,0,0,0.0792947435435555,0,0,0,-0.0537253806753406,0,0,0,0,0,0,0,0,-0.0570316148281923,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0268676522104877,0.0315478748474231,0,0.102756140404304,0,0,0,0,0,0,0,0,0,0.03728159023122,0,0,0.0614927363260014,0,-0.063304531137991,0,0,0,0,0,0,0,0.174094616124644,0,0,0,-0.00820145201474292,0,0,3.46944695195361e-18,0,0,0,0,0,0.182334630969597,0,0,0,0.106516068224405,0.0990134870762745,0,0,-0.000841099818306702,0.00814305773216019,0,0,0,0,0,0
X000568.SZ,0.435877193684762,0.355048818519521,0.427938953061466,0,0,0,0,0.0302748065297785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423044413261115,0.0340911977225075,0,0.0464380172038156,0,0,0,0,0,0,0.0959145281761462,0,0,-0.098244196438523,0,0,0,0,0,0,0,0,0,0,0,-0.013892206063972,0.0451105865626036,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10461675863873,0,0,0,0,0,0.144010440506089,0,-0.155972418025679,0,0.00865540823664768,0,0.110319818033615,0,0,-0.18717015653932,0.122215101736076,0,0,0,0,0,0,0,0,0,0.0281030855030183,0,0,0,0.0104158128155372,0,0,0,0,0,0,0
X002304.SZ,0.0893234934322825,0,0,0.0808527031082237,0.358044487916822,0,0,0,0.150544379466624,0,0,0,0,0,0.0326881291558023,0,0,0.028813109998952,0,0,0,0,0,0,0,0,-0.02201529938091,0,0,0,0,0,0,0,0,0,-0.0268869175616351,0,0,0,0,0,0,0,0,0,0,0,0,0.0307555760929648,0,-0.0113925059423272,0,0,0,0,0,0,0
X600690.SH,0.0713781224996715,0,0,0,0.269539106431642,0,0,0,0,0.261456673353024,0,-0.0105613421294741,0,0.0162337645380448,0,0,0,0,0,0,0,0,0,0,0.0251422924686039,0,-0.0419559174961942,0,0.0141404225680736,0,0.053966699459709,0,0,0,0,0,0.0241146489171771,0,0,0,0,0,0,0,0,0,0,0,0,0.0590798100991656,-0.100115048319189,0,-0.0782429783740488,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0.0619847823233975,0,0,0,0,0,0.14778509626045,0,0,0,0,0,0,0.0291872433261221,0.0906783174812643,0,0,0,0,0,0,0,0,0,0,0.222419003195948,0,0,0,0,0,0,0,0,0.0306911188704315,0,0,0,0,-0.0324035401685135,0.129229090021112,0,0,0,0,0,-0.00949194727021991,0,0,0,0,0,0,0
X000651.SZ,0,0.0603132175112937,-0.0571231079515515,0,0,0,0,0.40746941720136,0,0,0,-0.0713489144482452,0,0.247561293809794,0,0,0,0,0,0,0,0.0688753274574445,0,0,0,0,0,0,0,0,0,-0.136734658729582,0,0,0,1.38777878078145e-17,0,0,0,0.0456171295559677,0,0,0,0.128247577084407,0,-0.0802910442299966,0,0,0,0,0,0,0.0193014695396486,0,0,0,0,0,0
