,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600271.SH,X600031.SH,X600703.SH,X000100.SZ,X000559.SZ,X600066.SH,X600118.SH,X002236.SZ,X000157.SZ,X002292.SZ,X002475.SZ,X600372.SH,X600741.SH,X600089.SH,X000338.SZ,X002241.SZ,X000568.SZ,X300124.SZ,X600177.SH,X600839.SH,X002465.SZ,X002294.SZ,X600867.SH,X002074.SZ,X002085.SZ,X000869.SZ,X000977.SZ,X300003.SZ,X000800.SZ,X600525.SH,X002129.SZ,X600582.SH,X600498.SH,X000550.SZ,X000581.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.235888645849551,0,0,0,0,0.093406357611649,0,0,0,0,0,0,0,0,0,0.189588980519166,0,0,0,0.0873588362166348,0,0,0,0.136701766589823,0,0,0,0,0,0,0,0,0,-0.00554509244057468,0,0,0,0,0,0,0,0,0,0,0,0,0.010182056605708,0,0.106655520722919,0,0,0,0,0
X600104.SH,0,0,0,0,-0.0537059360393415,-0.0285925226089774,0,0.189295697482273,0,0.117992457145366,0,0,0,0,0,0,0.506502437761899,-0.0763655356905793,0,0,0,0.109801521386916,0,0,0,0,0,0,0,0,0,0,0,0.101549507269827,0,0.111731139979092,0,0,0,0,-0.116743252642355,0,0,0,0,0.0500630234151925,0,0,0.0161281008094356,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0675848956659242,0,0,0,0,0,0,0,0.0213633796106533,0,0,0,0,0.316053872884899,0.0631631464580473,0,0,0,0.0237326199334007,0,0,0,0.186406233478059,-0.144698229789711,0,0,-0.0264407045874001,0,0,0,0,0.0290996521145038,0,0.0436940725565414,0,-0.0117073154038575,-0.0452187489956726,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199057150247114,0,0.189040941504235,0,0,0,0.170165723938239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211828984174246,0,0.0674942836063702,0,0,0,0,0,0,0,0.0516626743657308,0,-0.0160270261038452,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.0544105748692087,0.160404350545815,0.206724828919289,0,0,0,-0.0358907959283102,0,0,0,0,0,0,-0.116822783363772,0,0,0,0,0.194068144045939,0,0,0,0.0384752347555117,0,0,0,0,0,0,-0.08212800680814,0,3.46944695195361e-18,0,0,0.0527554640536402,0,0,0,0,0,0,0,-0.0602896428811926,-0.056372299055961,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0566868710815338,0,0,0,0,0,0,0,0,0,0.286580474695898,0,0,0,0,0,0,0,0,0.000307531252571542,-0.0252636712596378,0,0,0.305819059611851,0,0,0.0284846710135502,-0.0056869693308851,0,0,1.35525271560688e-20,0.104820922394035,0,0.044486181667347,0,0.0126178796420915,0,0,0,0,0,0,0,-0.0309485620484314,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0128813127771831,0.106623858973881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381014577533907,0.21632940981824,0,-0.206707998857898,0,0,0,0,0,0,0,-0.00548253937537126,0,0,0,0,0,0,-0.0108593646512608,0,0,0.179570953006082,0,0,0.0248818244312729,0,0,0,0,0,0,0
X002304.SZ,0,0.294923927315888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0816680730735884,0,0,0,6.93889390390723e-18,0,0,0,0.435781410674658,-0.110202294032579,0,0,0,0,0,0,0,0,-0.0230231473290281,-0.0642703007460263,0.0387179833928668,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0226766930037114,0,0,0,0.198582549310481,0.0637046015686101,0.0984361448740099,0,0,0.10329501437926,0,0,0,0.308057022705079,0,0,0,-0.0144486608676258,0,0,0.0799778689509142,0,0.0461203688792549,0,0.0343232815263605,0,0,0,0,0,0,0,0,0,0.0591675694429076,-0.102370885754537,0,-0.0348057705044052,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0.0118520966184229,0,0,0.0482237280039757,0,0,0.115173215457889,0,0,0,0,0,0,0,0.01625398510858,0.216920333050709,0,0.174150707767978,0,0.107743728916313,0,0,0,0,0,0,0,0,0,0,0,0.0469779676894318,0,0,0,0,0,0,0,0.00946809865242918,0,0,0,0,0,0,0
X600690.SH,0,0.0307897480812188,0,0,0,0,0,0.0567594357206035,0,0.0810852430396509,0,0,0,0,0.0405169826373844,0,0,0,0,0.0811009806786101,0,-4.33680868994202e-19,0,0.204045972563146,0,0,0,0,0.115523892111141,0,0,-8.67361737988404e-19,0,0,0,0,0,0,-1.73472347597681e-18,0.0611453473729033,0,0,0,0,0,0.0736325281558839,0,-0.0375197326763173,0.0638416007903853,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0.216657578277145,0,0,0,0,0,0,0.0217670379476653,0,0.0611800154734839,0,0,0,-0.0340579716243853,0.177469848659208,0,0.191424282287697,0.0485181281936975,0,0,0,0,0.00525020476752262,-1.38777878078145e-17,0,0,0,0.0738071604751185,0,0.0993947445913818,0,0,0,0.178061905983525,0,0,0,0,0,0,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134027559340872,0,0.184513231089384,0,0.350580859263064,0,0,0,0,0,0,0,0,0.00586814438669018,0,0,0,0,0,0,0,0,0,0,0.0260046658402779,0,0.0491987602703508,0,0,0,0,0,0,-0.0121924548601635,0,0,0,0,0,0
X600703.SH,0,0,0,0.366955039238631,0,0,0,0,0,0,0,0,0.0792056307545658,0,0,0.01761774008925,0,0,0.161695921764662,0,0,0.0507236899863074,0,0.0280666441664139,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0362619634022406,0,0,0.0805616535364959,0,0,0.0593877988131141,0,0,0,0.0657232452446255,0,0,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0.0695392042308419,0.237630280553094,0,0,0.0712022560023033,0,0,0,0,0,0.204964448555496,0,0,0.0635515770363092,0.136951061137093,4.25473059457217e-05,0,0,0,0,0,0,0,0,0.0864248596850399,0,0,0,0,0.156377054978499,0,0,-0.00416159533739011,0,-0.0397883815324492,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18720224821078,0,0,0,0,0.0355938982979013,0,0,0.0149206918750614,0,0,0.0104740540467453,0,0,0,0,0,0.0139037145164167,0,0,0.0277934280208228,0,0.00289200813559246,0,0,0,0.00265528150862391,0,0,0,0,0,0,0,0,0,0,0
