,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000651.SZ,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X600031.SH,X600104.SH,X300124.SZ,X300014.SZ,X000725.SZ,X000063.SZ,X600703.SH,X002371.SZ,X000338.SZ,X300142.SZ,X002129.SZ,X000625.SZ,X002241.SZ,X003816.SZ,X000661.SZ,X002049.SZ,X000100.SZ,X000596.SZ,X601877.SH,X002179.SZ,X600460.SH,X000157.SZ,X002007.SZ,X000799.SZ,X600741.SH,X002074.SZ,X600183.SH,X600584.SH,X002414.SZ,X002236.SZ,X600702.SH,X601799.SH,X600089.SH,X000800.SZ,X300146.SZ,X000066.SZ,X600779.SH,X300003.SZ,X000977.SZ,X000733.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.226087083754518,0,0.0265333196100141,0,0,0.0822354616084996,0.0653127907901951,0.0516063665473069,0.106693565553674,0.0450231561176224,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0367738162947766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0984317373410102,0,0,0,0.013152778783958,0,0.0112504101352221,0,0,0,0,0,0.0250487549344043,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.20671637589502,0,0.395770037088851,0,0,0,0.104214828769323,0,0,0.0364103368611314,0,0,0,0,0,0,0,0,0,0,0.0179236039402678,0,0,0,0,0,0,0,0,0,0,0,0,-0.0716946750056733,-0.120722354776519,0,0.0238009219860738,0.254243060366864,0,0,0.0437380323189719,0,0.0713292623857284,0,0,0,0,0,-0.0186398392521468,0,0,0,0,0,0
X002415.SZ,0,0,0,0.110399325099714,0.199380772041111,0,0.0475790302014439,-4.33680868994202e-19,0,0.0981656611585728,0,0,0,0.0884545066555051,0,0,0.0706962767522628,0,0,0,0.0741251541943233,0,0,0,0,0,0,0,0,0,0.0151432472740942,0,0,0.0175638116179039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0903480049665481,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.20619572460431,0,0.172359306917646,-0.0707173688795308,0,0,0,-0.0316958835441331,0,0,0,0,0,0,-0.0906172202593769,0,0,0,0,0,0,0,0,0,0,0,0,0.516016690349616,0,0,0,0,0,0,0.0243949353427431,0,0,0,0,-0.105340629102244,0,0,0,0,0,0,0.0904985033177224,0,0,0,0,0,0
X600276.SH,0,0,0,-0.013554210093489,0,0,0,-0.10213208072164,0.144424845136753,0,0.0426671569179925,0,0.1777504415389,0,0,0,0,0,0,0.0505830089973635,0,0,0,0,0,0,0,0,0,0,-0.0294911063855222,0.293920149589994,0,0,0,0,-0.418305218311623,0,0.146743270234945,0,0.0455195933403315,0,0,0,0,0,-0.0417600539216728,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.127857058049312,0,0,0,0,0,0.19591397087018,0,0,0,-0.0385102795019965,0,0.0166130697328197,0,0,0.041287253434146,0,0,-0.0825716612080373,0,0,-0.0487265734167711,0,0,0,0,0,0,0,0,0,0.0976003357688643,-0.0304176236105903,0,0,-0.0423223439116021,-0.0075151456002445,0,0,0,0,0,0,0.0981816684728162,0,0,0,0,0,0
X000568.SZ,0,0.629673846871842,0,0.0624817749630194,0,0,0,0,0.16814728544825,0,0,-0.214369270902589,0,0,0,0.05137243454532,0,0,0,-0.0390865499941829,0,-0.00805255034179535,0.0329996069130298,0,0,0,0,0.147891979512676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00643678500151377,0,0,0,0,-0.0626397278237575,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,-0.0314597133722745,0,0,0,0.0377425212856527,0,0,0,0,0,-0.00994399986820643,0,0,0.0548079351345679,0,0,0.135816050207909,0,-0.0515269087053355,0,0,0.0189998336764935,0,0,0,0,-0.0256713859977013,0,0,0,0,0,0.243186552791486,-0.0395425138009514,0,0,0,0,0,0,0.107962727835802,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.380585017625983,0,0,0.1884781924388,0,0,0,0.163386564797813,0,0,-0.212658216724742,0,0,0.146115244769466,0,0,-0.0283330348367215,0,0,0,0,0,0,0,0.109932967371792,0,0,0,0,0,0,0,0.0477094635167144,0,0,0,0,0,0,0,0,0,0.161260162715923,0,0,0.0564635474803513,0.208101643581238,0,-0.0516291194115424,0.0340702017721726,0,0,0,0,0,0
X600690.SH,0,0,0.15633500979153,0,0.149070670066739,0,0.213206833232189,0,0,0,0,0,0,0,0.275381428123257,0,0,0,0,-0.027925207148681,0,0,0,0,0,0,0.00422496330023879,0,0,0,0.00758867935211039,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0925698935467164,0,0,0,0,-0.0908059830724269,0,0,0,0,-0.0506089639105132,0,0
