,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000858.SZ,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X600031.SH,X600703.SH,X600741.SH,X000338.SZ,X000568.SZ,X600271.SH,X300003.SZ,X601877.SH,X002236.SZ,X600487.SH,X002008.SZ,X300124.SZ,X002456.SZ,X000661.SZ,X600809.SH,X000100.SZ,X000596.SZ,X000977.SZ,X600867.SH,X002179.SZ,X000625.SZ,X300142.SZ,X600066.SH,X300136.SZ,X600498.SH,X002007.SZ,X600566.SH,X002294.SZ,X000157.SZ,X002241.SZ,X002180.SZ,X600522.SH,X300146.SZ,X002049.SZ,X002371.SZ,X600177.SH,X600089.SH,X000869.SZ,X600372.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.393176875950804,0.0741356889155231,0,0,0,0,0,0,0,0,0,0,0,0.111056636958707,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.016942173063128,0,0,-1.38777878078145e-17,0.016525581628248,0,0,0,0,0,0,0.0636980981142814,0,0,0,0.0317069169070567,0,0,0,0,0,0,0.0034283101897277,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.039706436984372,0,0,0,0,0,0.0429445528035142,0,0,0.342991845241609,0.185964975844538,0.138269625820287,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158284416456581,0,0,-0.0414787968610546,0,0,-0.0642221952364068,0,0,0,0,0,0,0,0,0,0.10686955158697,0,0,0,0,0,0.00896430868387479,3.46944695195361e-18,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,-0.0200586470992013,0,0.0490246882768733,0,0,0,0.199005164239343,0,0,0,0.26828759403827,0.03952450834425,0.171887792028756,0,0,0,0,0,0,0.0659029522861907,0,0,0,0,0,0,0,-0.0280808514121002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0751556485699832,0.00666220760792075,0.0290278176827927,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,-0.0560356676414154,0,0,0,0,0,0,0,0.147510148018067,0,0,0,0,0,0,0.09805379520623,0,0,0,0,0,0,0,0,0,0,0,0.0752061074166191,0.136411284451995,0.455604772092245,0,0,0,0,0.150430442054559,0,0,0,0,0,0,0.0590084803229489,0.0282765938490947,0.0285785026713335,0,0,0,0,0,0
X000858.SZ,0.268237354352751,0.11746926598827,0,0,0,0.0179234709933512,0.199541531126648,0,0.10691532802754,-0.00804221482416203,0,0.00719434364515609,0,0,0,0.155080721238002,0,0,0.157674520847326,0,0,0,0,0,0,0,0,0.0832110701714384,0,0,0,0,0.0372005998900253,0,0,0,0,0,0.0477646309721541,0,0,0,0,0,0,0,0,0,0,0,0,0.00659105023435385,0.00405540090085176,0,0,0,0,0,0
X000651.SZ,0.333826995777544,0,0,0,0,0,0,0,0,0,0,0,0.0162745871418761,0.0100052868110012,0,0.254231045699956,0,0,0,0,0,0.172591256522563,0.0637635294213321,0,0,0,0,0,0,0.0393326086710102,0,0,0,0.0470103427927353,1.73472347597681e-18,0,-0.0445294325595531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00169827111918542,0.00228777616189375,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.408216356506252,0,0,0,0,0.0249188093102627,0.0134303964624385,0,0,0,0,0.409678301273696,0,0.117219950691251,0,0,0,0,0,0,0,0.198772172743721,0,0,0.0707183831500506,0,0,0,0,0,0,0,0,0,0,0,0,-0.162618388445413,0,0,0,0,0,0,0.027184181461568,-0.126535864788741,0,0,0.0152503370183629,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11725043208743,0.0411215815842392,0,0.114269730796713,0.00953622921941905,0,0,0,0,0.350472364791956,0,0.130285892775069,0,0,0,0,0,0,0.0531324508777765,0,0,0,0,0,0,0.274259590324663,0,0,0,0,0,0,0.076207885608003,0,0.00965064821502918,0.0355195563907669,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.411896923273872,0,0,0,0,-0.125001406539025,0.233238389621879,0,0,0,0,0,0,0,0,0.110481435249392,0,0,0,0.0344401495792432,0,0,0,0,0,0.132492104163391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157815288260424,0.00745405749321045,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.228989312106321,0,0,0,0,0,0.1229943305907,0,0,0,0,0.303702202022631,0,0,0,0,0,0.0364455836623141,0,0,0,0,0.147505172784209,0,0,0,0,0,0,0.253501188435364,0,0,0,0.116662924240199,0,0,0,-0.0883337862895787,0,0.0803171834692727,-0.0253607081266789,0,0,0,0,0,0
