,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X000651.SZ,X002475.SZ,X002304.SZ,X600104.SH,X000568.SZ,X600031.SH,X600809.SH,X000725.SZ,X600690.SH,X000661.SZ,X000063.SZ,X300124.SZ,X003816.SZ,X300014.SZ,X000625.SZ,X000596.SZ,X000338.SZ,X600703.SH,X002241.SZ,X000100.SZ,X600741.SH,X002007.SZ,X002371.SZ,X000157.SZ,X002129.SZ,X601877.SH,X002049.SZ,X002179.SZ,X600584.SH,X600183.SH,X002236.SZ,X002414.SZ,X000800.SZ,X300142.SZ,X601799.SH,X300003.SZ,X000066.SZ,X300146.SZ,X002074.SZ,X000977.SZ,X002008.SZ,X300136.SZ,X000799.SZ,X002456.SZ,X002508.SZ,X002185.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.318953047224239,0,-0.0295252617398936,0,0,0,0,0,-0.0036113359763333,0.22351205983124,0,0,-0.101370445419562,0,0,0,0,0,0,-0.00626047391650565,0,0,0,0,0,0,0,0,0,0.0897789961667837,0,0.0156553573189109,0,0,0,0,0,0,0,0,0,0,0,-0.0679009983178245,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.175661770559554,0,0,0,0,0,0.0658776102090402,0,0.333635515678876,0,0,0,0,0,0,0.0270843448390356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391065368177981,0,0,0,0,0,0,-0.00629647820135799,0,0,0,0,0,0,0,0,0.104339413002158,0,0,0,0,0,-0.0203693296590785,0,0,0,0.00167400003206484,0,0
X600276.SH,0.0414381331301864,0,0,0,0,0,0.0449335185479715,0,0,-0.0142052624781989,0.0205262574201748,0,0,0,0,0,0,0,-0.017344936971523,0.0505776914683797,-0.101708269217352,0.0726470033789784,0,0,0,0.149601269782212,0,0,0,0,0,0,0,0,0.0197844702003492,0,0,0.0578117801293778,0,0,0,0,0.142215859612741,0,0,3.46944695195361e-18,0.111116183736251,0,0,0,0,-0.0119337849930774,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.057462718228504,0,0.0545090671829315,0,0,0,0,-0.038502861882692,0,0,-0.0144329865001666,0,0,0,0,0.0303026038238547,0.0276837312000345,-0.0773204130274075,0,0,0,0,0,0,0.172622737015914,0,0,0,0,0,0,0,0.0715412206783702,0,0,0.0141309925198136,0.129732082940108,0,0,0,0,0.0200199154806612,-0.0185415184435466,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.087484193441386,0,0,0,0,0,0,0,0,0,-0.0505142722064827,0,0,0,0,0.172759694353038,0,0,0,0.193144395683125,0,0.014895986891662,0.0318942615114143,0,0,0.0714890174624784,0,0,0,0,0.0738982582826714,0,0,0,0,0,0,0,0,0.000736444537232011,0,0,0,0,-0.0244715085282397,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0155366600748085,0,-5.42101086242752e-20,0,0,0,-0.0410263190189584,0.0601974801317395,0,0,0.386137191546278,0,0,0,0,0,0.0147011441863907,0,-0.0389292303268458,0,0,0,0,0,0,0,0,0,0,0,0.0498244980475219,0,0.00373897429203114,0.191244556894116,0,0.197312455512613,0,0,0,0.0276399408261475,0,0,0,0,0.001492898447011,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0.335017594720858,0,0,0,0,0,0,0,-0.0156019628153235,0,0,0,0,0,0,0,0,0,0,0,0,0.158657281152193,0,0,0,0.0885398098281229,-0.0200365969675782,0,0.159903785583699,0.104678972611497,0,0,0,0,0,0,0.139593858737136,0,0,0,0,0.0194043197268335,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,-0.107639109871237,0,0,0,0.0245799671577018,0.0837376938563021,0,0,0.157393413357633,0,0.07838211003385,0,0,-0.0608424572705682,0.182405792779012,0,0.0318194497353046,0,0,0,0.0783910165647302,0,0,0,0,0,0,0.0142600453540739,0,0,0,0,0.0635683728492871,0,0.116937418135316,0,0,0,0,0,0,0.0194236186398383,0,0,0,0,-0.0182399219713608,0,0
X000568.SZ,0,0.255571503570971,0,0,0,0.0163991963790239,0,0,0,0.06481639783571,0.4008367637378,0,0,0.0272803399719675,0,0,0,0,0,3.46944695195361e-18,0,0,0.0318252918206354,0,0,0,0,0,0.0852204972003455,0,0,0,0,0,0,0,0,0,0,0,-0.0972969811547149,0,0,0,0,0.00489243609756852,0,0,0,0,0,0.0167640690421409,0,0,0,0,-0.00021510864326125,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0215483507990369,0.104019281528575,0,0,0,0.116723330076528,0,0,0.0574177407244383,0,0,0,0.0562672471287417,0,0.0358670638263973,0.318538771114297,0,0,0,0,0,0,0,0,0.0502768324414623,0,0.102598221453388,0,-0.267983677510741,0,0,0,0.00162612998548117,0,0.260904059549772,0,0,0,0,0.0139266169840631,0,0,0,0,0.00675915183164991,0,0
