,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002304.SZ,X600690.SH,X000651.SZ,X002475.SZ,X300124.SZ,X600104.SH,X000063.SZ,X000725.SZ,X002129.SZ,X600031.SH,X000596.SZ,X003816.SZ,X002371.SZ,X300014.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X002049.SZ,X600089.SH,X000661.SZ,X000100.SZ,X002180.SZ,X002241.SZ,X600702.SH,X300142.SZ,X601877.SH,X000157.SZ,X600741.SH,X000733.SZ,X002236.SZ,X600522.SH,X002074.SZ,X600584.SH,X000977.SZ,X000066.SZ,X600460.SH,X000799.SZ,X300003.SZ,X600183.SH,X002007.SZ,X000800.SZ,X600884.SH,X002414.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0443335300009339,-3.46944695195361e-18,0,0.186249646596694,0,0.183190473548145,0,0,0.119062525112226,0,0,0.0243348740668477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0891858098542665,-0.0340191057226716,-6.93889390390723e-18,0,0,0,0,-0.0160449214757177,0,0.100166021774094,0,0.0702745746897262,0,0,0,0,0,0.0064385808595631,0,0,0,0,0,0,0
X000858.SZ,0,0,0.00875780087579292,0,0.131459738379735,0,0.578237627447811,0,0.0592388720171819,0.0338251588037128,0,0,0,0,0,0.00398347219558151,0,0,0,0,0.0654225808166569,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.109580892053305,0,0,0,0,0.0632876199803946,0,0,0,-0.0183651613095918,0,0,0,-0.113606065157451,0,0,0,0,0,0,-0.0420174550829814,0.030969621093442,0,0,0,0,0,0
X002415.SZ,0,0.255748733296989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185233097077253,0.0543297339132821,0,0,0,0,0.0574992008566552,0,0,0,0.131007361329252,0,-0.0812462956322954,0,-0.0448008114145497,-0.059197587821415,0,0.0899727200094241,0.0729290360839145,-0.133041980838522,0,0,0.028205314183193,0,0,0,0,0,-0.0821475550465516,0,0,0,0,0,-0.0162364928156418,0,0,0,0,0,0
X000568.SZ,0,0.398976823074299,0.0809368272179141,0,0,0,0.409463296432069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.175314344958887,0,0,0,0,0,0,0,-0.0210514495337037,0,0,-0.071498732756843,0,-0.100057944778011,0,0,-0.0330207842403713,0,0,0,0,0.265124794071195,0,0.0377881229423302,-0.0447009699872184,0,0,0.0124765338077079,-0.0212906890447655,0,0,0,0,0,0
X600809.SH,0,0.0460402313903325,0.03526160925203,0.0588315563827857,0,0,0.217148057528902,0.124189733748938,0,0,0,0,0,0,0,0,0,0,0,0.0454794326179827,0,0,0,-0.0181723661041952,0,0,0,0,0,0,0,0,0.0346387795960784,0,0,0,0,-0.1089304630766,0,0,0,0,0,0.258418788938087,0,-0.0112907775611266,0,0,0,0,0,0.0153678583339267,-0.016847325488771,0,0,0,0,0,0
X600276.SH,0,0,0,0.27050739014257,0,0,0,0,0,-0.0718274947930223,0,0,0,0,0,0,0,0,0,0,0,0,0.0771287850155632,0,0,-0.110483408403483,0.161513108497623,0,0,0,0,0,-0.113917606506972,0,0.39403737746317,0.0835791703075599,0.0927056986344639,0,0,0.0702963341134339,0,0,0,0,0.0170969601908365,0.0296173127549815,0,0,0,0,0,-0.0298193050614837,0.0345453814474124,0,0,0,0,0,0
X002304.SZ,0,0.294807988835762,0,0.437297585628529,0,0,0,0,0,0,0,0,-0.0233011353960256,0,0,0.0787620144428123,0.19904762036838,0,0,0,0,0,0.0117656957812626,0,0,-0.0388201412709495,0,0,0,-0.0355813416350906,0,0,0,0,0,0.020951466185808,0,0,0,0,0,-0.0539191455566913,0,0,-0.0723444737660397,0,-0.045508671052761,0,0,0,-0.00776308955650769,-0.00122919128863496,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.0255669932409616,0.0414460243063492,0,0,0,0.220410542566482,0,0.0874755537098377,0,0,0,-0.0603793310815014,0.138792606279724,0,0,0,0,0.0105264489770768,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034232091816665,0,-0.0381028741061009,0,0,0,0.00136323383129977,0,0,0.0598717926119471,0.0567957391198827,0,0,0,0,0,0,0.0140772668017721,-0.00395789362166867,0,0,0,0,0,0
X000651.SZ,0,0.211277239550917,0,0,0,0,0.011048342707921,0.338977970563163,0,0,0,0,0,0,0,0,0,0,0,0,0.0751226480446752,0.0797390398966691,0,0,0,0,0,0,0,0,0,0.0119942025094485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100789924081867,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0.0733462622717563,0,0,0,0,0.278227627436045,0,-0.0598447009149256,0,0,0,0,0,0,0.133755237687876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189649425894096,0.254030943859759,0,0.20982721110467,0.297286828731583,0,-0.0392889911725963,0,0,0,0,0,0.0616993021547768,0,0,0,0.597282218441712,-0.0115290054424955,0,0,0,0,0,0,0
