,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X002292.SZ,X600703.SH,X000100.SZ,X600741.SH,X600066.SH,X600031.SH,X002506.SZ,X002475.SZ,X002241.SZ,X600118.SH,X002236.SZ,X000559.SZ,X000157.SZ,X600372.SH,X000568.SZ,X000338.SZ,X600177.SH,X002074.SZ,X300003.SZ,X002085.SZ,X300124.SZ,X002294.SZ,X600089.SH,X600867.SH,X002465.SZ,X002049.SZ,X600498.SH,X601877.SH,X600582.SH,X002007.SZ,X002180.SZ,X002456.SZ,X000869.SZ,X000050.SZ,X002249.SZ,X300001.SZ,X002426.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0692394676195092,0.115805922424193,0,0,0.289898011438338,0,0,0,0,0,-0.0203693544441677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0513280259380384,0,0.0593950099711245,0,0,0,0,1.38777878078145e-17,0.12349474321112,0,0,-0.00138231454529403,0,0,-0.0152335311613288,0,0,0,0,0,0,0
X600104.SH,0.0218123127592454,0,0.178085682219677,0.126418654729266,0,0,0,0,0,0,0,-0.0235620757871902,0,0,0.359286427638652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474465542291354,0,0,0,0,0,0,0,-0.00746625647073219,-0.0174038928072943,0,0,0,0,0,0
X002415.SZ,0,0.142884751432259,0,0,0,0,0,0,0,0,0,0,0,0.315385426706269,0.0115485625714298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274938025011679,0.132467267940233,0,0,0,0,0,0.0340252120707901,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.227384650166449,0,0,6.93889390390723e-18,0.0362625671690151,0,0,0,0,0.0228071509340307,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0760522979028447,-0.0951434668157323,0,0,0,0.109880714018077,0,0.214326076237233,0,0,0.011894766197853,0,0.116533328601761,0,0,0.00894962183798025,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0358500300278221,0,0,0,0,0,0.0402743734364872,0,0,0,0,0.00657778839483091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145022538531108,0,0.0699168786604882,0,0.0612405827286657,0.0152114079134377,0,0,0.101099208404509,0.0782080656400355,0,0,0,-0.00295592587321487,0,0,0,0,0,0
X002304.SZ,0,0.232846114743192,0.0292117172149457,0,0,0,0,0,0,0.151411821465735,0,0,0,0,0,0,0,0,0,0.0232591179868422,0,0,0,0,0,0,0,0.0884432458129095,0,0.091668438957709,0,0,0,0,0,0,0,0,0,0.0312719831177307,0,0.0919000453929222,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.013660554364073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255847809022098,0.0573041681607245,0,0,0,0,0,0,-0.000139719192175361,0,0.0573894672630931,0,0,0,0,0,0,0,0,0,0,0,-0.00921393832034647,0,0,0,0,0,0,0
X000725.SZ,0,0,0.065991146088034,0,0,0,0,0,0,0,0,0,0,0.127663192892757,0,0,0,0,0,0,0,0.0642125237063188,0.0492788423427706,0.103910210569073,0,0,0,0.150588266448948,0.0504479283798935,0,0.037406180793595,0,0,0.133612575968235,0,0,0,0.0435962457703508,0,0,0,0,0.0624333735395782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.222013444732913,0,0,0,0,0,0,0,0.0338890146444471,0,0.0196509128369194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144683484890991,0,0,0,0,0,0,0,0,0,0,0,0.0418269452356285,0.21570126651249,0,0.0367680107211012,0,0,0,0.109459879329513,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.00651130090724405,0,0,0.0956226020790126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0589686494309877,0,0,0,0.0963502128105635,0.189134236424013,0,0,0,0,0,0,0.0536712293807917,0,0,0,0,0,0.124714147059321,0.0829988961635699,0.0629798896039568,0,0,0,0.0735978576211503,0,0,-0.00263002675283462,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0776053220693981,0,0,0,0,0.432735686996897,0,0,0,0.270865175644065,0,0,0,0,0,0,0,0,0.0764742438381101,0,0,-0.181894791713011,0,-0.19711146664102,0.462903208384793,0,0,-0.469719005281304,0,0,-0.0357285080025482,0,0,0,0.0563455819497752,-8.67361737988404e-19,0,0,0.0382422646230654,-0.191959308802596,-0.0354389618519356,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196612262445055,-0.122534253578609,0,0,0,0,0.328093004345161,0,-0.311548732775709,0,0,0,0,0,0,0,0,0,0,0.0195611483346094,0.0982059614743251,0,0.482307922557766,0.202289681340633,0.332864001982651,0.0844651500423175,0,0.0474425541691164,-0.0867574661720794,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0847744356625355,0,0,0,0,0.107642502674164,0,0,0.112018094529321,0,0,0,0,0,0,0.0466593222106427,0.0520972230110528,0,0,0.0353661830779908,0.0854960420718772,0,0.118851736065729,0,0.1265340303764,0.00650872005815945,0,0,0,0,0,0,0,0,0
