,X600519.SH,X000858.SZ,X002415.SZ,X600104.SH,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600031.SH,X600690.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600741.SH,X600703.SH,X601877.SH,X000100.SZ,X600271.SH,X002236.SZ,X000661.SZ,X000596.SZ,X600809.SH,X300003.SZ,X002008.SZ,X300124.SZ,X000625.SZ,X600487.SH,X002007.SZ,X002456.SZ,X600867.SH,X600498.SH,X600776.SH,X000157.SZ,X002180.SZ,X300142.SZ,X000050.SZ,X300146.SZ,X002179.SZ,X002241.SZ,X600177.SH,X002371.SZ,X000977.SZ,X600089.SH,X600066.SH,X600522.SH,X600118.SH,X000066.SZ,X002294.SZ,X300136.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.29859273876083,0,0,0,0.113292196636119,0,0,0,0,0,0,0,0,0,-0.101412533147741,0,0,0,0,0.0219498453140531,0.0470055506146952,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0695196071659872,0,0,0,0,-0.00820268687134264,0,0,0,-0.0114061729589327,0,0,0,0,-0.0179057720642652,0.0296882080877347,0,0,0,-0.00329308007566258,0,0
X000858.SZ,0,0,0.121544955421525,0,0,0,0.141221143944189,0,0,0,0,0,0,0.318261661867254,0,0.0205306267555487,0,0,0,0,0,0.0295171405536287,0.10248001430359,0,0,0,0,0,0,0,0,0,-0.00481242625400053,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0685158121968608,0,0,0,0,-0.0159499606440998,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0215515119825048,0,0.0754114447086033,0,0.0671173934981704,0,0,0,0,0,0.310000155182072,0,0,0.0916003442513503,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0150052346316081,0,0.0956996813440349,0,0,0,0,0,0,0,0,0,0,0.000407937368871868,0,-0.0300916127996598,0.0508355138496935,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.05970053680529,0,0.0691270438143799,0.0559770298744593,0.349772536406549,0.00011655391116969,0,0,0,0.0695421514049574,0,0,0,0.0248827324060744,0,0,0,0,0.118553189706761,0,0,0,-0.032100686563382,0,0,0,0,0,0,0.0832773402697796,0,0,0.0383556741874177,0,0,0,0,0.141284023438828,0,0,0,0.00680879475221624,-0.115879383418926,0,0,0,0,0,0
X000651.SZ,0,0.16185664193017,0,0.0904314832947833,0,0.00308521720204929,0,0,0,0,0.271113617672318,0,0,0,0.0257694525079817,0,0,0,0,0.0750146338334108,0,0,0,0,0,0,0.0363942536192263,0,0,0,0,0,0.0276931942332676,0,0,0,-0.00824477849269161,0,0,0,0,0,0,0,0,0,0,0,0,0.0441088825228539,0,0.00497779035877902,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,-0.164283506096321,0,0,0,0.174614966859044,0,0,0,0,0.158740715773162,0.0728878633518052,0,0.606620217380278,0,0,0,0,0,0,0,0,0.080406639291101,0,-0.0477140220956131,0,0,0,0,0.00839456430109433,0,0,0,0,0,0,0,0,0,0,0,0.00957658145953001,0,0,0,0,0.181444724200408,0,0
X002304.SZ,0,0.104108259521101,0,8.67361737988404e-19,0,0,0,0,0,0.0444777634492996,0,0,0,0.286368716603841,0.0415882924898638,0,0,0,0,0,0,0.0669306821795128,-6.93889390390723e-18,0,0,0.131928437151937,0,0,0.0454192038873502,0,0,0,0.013104767814555,0,0,0,0,0.0348265946842593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172541860375886,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.00984287553404531,0,0,0,0,0,0,0,0.127842761771653,0,0.0175735706486226,0,0,0,0,0,0,0,0,0,0.198037711173102,0,0,0,0,0,0,0.1552619075244,0,0,0,0,0,0,0,0,0,0,0,0.229340004334914,0,0,-0.0389883814127021,0.025759687861964,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.060529189509256,0.233639163085778,0,0,0.0204654809208025,0,0.0139898810373376,0,0,0,0,0,0,0,0,0,0.158089773205373,0,0.0147443464872635,0,0.425509130791425,0.0222159538110989,0,0,0,0,0.0259687986938594,0,0,0,0,0.160554408666882,0,0,0,0,0.0723049329254414,0,0,0,-0.00987557448548715,0,0,0,0,0,0,0
X600031.SH,0,0,0.0785090771023884,0,0,0,0,0.0985977427200463,0,0,0,0,0.281136712482826,0,0.064272019321259,0,0,0,0,0,0,0,0,0,0.136082512100559,0,0,0,0.0611401139590139,0.00933698990727858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113013393676298,0,0,0,0,0,0.0229432131614089,0,0,0,0,0,0
