,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X600276.SH,X002304.SZ,X000858.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600703.SH,X600690.SH,X000100.SZ,X002292.SZ,X600066.SH,X600741.SH,X600031.SH,X002049.SZ,X002241.SZ,X002236.SZ,X002506.SZ,X002475.SZ,X600118.SH,X000559.SZ,X000157.SZ,X600372.SH,X000338.SZ,X002074.SZ,X000568.SZ,X002294.SZ,X300003.SZ,X002085.SZ,X600089.SH,X600867.SH,X300124.SZ,X600177.SH,X002180.SZ,X600582.SH,X002465.SZ,X002007.SZ,X600584.SH,X601877.SH,X600498.SH,X000869.SZ,X002512.SZ,X002426.SZ,X000550.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.272263371742462,0,0,0,0,0,0,0,0,0,0.365834308209402,0,0,0,0,0.00562647839265469,0,0,0,0,0,0,0,0,0,0,0.0186089544975288,0,0,0,0,-0.0194836563658664,0,0,-0.0597067252097334,0,0,0,0.0129816742297763,0,-0.0100587924966029,0,0,0.0710938498903009,-0.00859160210941298,0,0,0,0,0,0
X600104.SH,0,0,4.33680868994202e-19,0.140515524403594,0,0,0,0,0,0,0,0,0.0803465942572105,0,0,0.388557880212378,0,0,0,0,0,0,0,0,0,0,0,0.0452903912361868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492060340448017,0,0,0.0025317632396263,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.090338849023749,0,0,0,0.000370025868744673,-0.0347592963208526,0,0,0.0798676528169838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152212297325453,0,0.417193775833912,0,0,0,0.146927204539694,0,0.038979026250482,-0.000655668492575043,0,0,0,0,0,0,0.0326359315654557,0,0,0,0,0,0
X002415.SZ,0,0.066986032792249,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.408035030476478,0,0,0,0,0,0.041634145302973,0,0,0,0,0,0,0,0,0.0123503079113724,0,0,0,0.0912678213606638,0,0.0633144706241807,0.184013080124848,0,1.0842021724855e-19,0,0,0,0,0,0,0.173131001188015,0,-0.0523507346747285,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0.054986574366392,0,0,0,0,0,0.139742874561329,0,0,0,0,0.0119913030532304,0,0,0,0,0,0,0,0,0,0.0176562843394622,0,0,0,0.0437756610835899,0,0,0,0.0312352254385326,0,0,0,0,0,0.0425616633429436,0,0,0,0,0.0498866967862134,0,0,0,0,0,0.0129496254258145,0.0131002737949134,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.0311943289384679,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.141060855774047,0,0.246584473704645,0,0.0414219668042739,0.0815082767232226,0.0352796365338999,0,0,0,0,0.0219227813202223,0.137288933597239,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.160162265582328,0,0.00172250063509263,0,0,0.0786809214439512,0,0,0,0,0,0,0.0145086275978217,0,0,0,0,8.67361737988404e-19,0,0,0.0428756062703598,0,0,0.00842380363227741,0,0,0,0,0,0,0,0,0,0.0316567095821314,0.134491811215916,0.235073899260515,0,0,0,0,0.0127494921716101,-0.00718129968496161,0,0,0,0,0,0
X000725.SZ,0,0,0,0.120823230842524,0,0,0,0,0,0,0,0,0.119763470274789,0,0,0,0,0,0,0.0458363982703561,0,0,0,1.73472347597681e-18,0.0175717181440097,0,0,0.0309648140400421,0,0,0,0,0.25540372599527,0,0,0.258631411886067,0,0,0,0,0,0.029629854912643,0.0226719560528452,0,0,0,0,0,0,-0.014941429092405,0,0,0,0,0,0
X000625.SZ,0,0,0.123454667309127,0,0,0,0,0,0,0,0,0,0,0.0344830613249645,0,0,0,0,0.0819730151716836,0,0.11190111726836,0,0,0.0445741569095505,0,0,0,0,0,0,0,0,0,0,0,0.104083826943398,0.0252798089848698,0,0,0.192386307018611,0,0,0,0,0,0,0.119656570690183,0,0,-0.0112613868095326,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00587580505819791,0,0,0,0,0.012837752575706,0,0,0,0,0.380250416323158,0,0,0,0.112726044310034,0,0,0,0.0113884516646512,0,0.0268169434321416,0.0402977978177901,0.107310943660564,0.0300721166845667,0,0,0.0890142619280588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
