,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600276.SH,X600690.SH,X002304.SZ,X002475.SZ,X300124.SZ,X300014.SZ,X000651.SZ,X600104.SH,X002371.SZ,X003816.SZ,X002049.SZ,X000725.SZ,X002129.SZ,X600031.SH,X000625.SZ,X000596.SZ,X002179.SZ,X000063.SZ,X600522.SH,X002241.SZ,X600089.SH,X000338.SZ,X600703.SH,X002180.SZ,X000661.SZ,X000733.SZ,X300142.SZ,X601877.SH,X000100.SZ,X002074.SZ,X600487.SH,X600741.SH,X000157.SZ,X300003.SZ,X600460.SH,X600884.SH,X600702.SH,X002414.SZ,X600584.SH,X601799.SH,X600372.SH,X600563.SH,X002236.SZ,X002025.SZ,X000799.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.145383403831744,0.411609428044445,0,0,0,0.0311049250192595,0.0933852504926062,0,0,0.0336413878395119,0,0,0.0226723575350026,0,0,0,0.029257957665265,0,0,0,0,0,0,0,0,0,0,-0.0944405308214278,0,-0.126382246659649,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174051357850836,0,0,0,0,0,0
X000858.SZ,0,0,0.170121272057593,0,0.10983221339328,0,0.0607059835311253,0.0408318795750986,0,0,0,0,0,0.0790980842197928,0,0.0894292389240544,0,0,0,0,0.00327783120278692,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273534502526603,0,0,0,0,0,0,0.122050324457306,-0.117594835691732,0,0,0,0,0,0,0.146561553346508,0,0.0328884292179993,0.0114683223071238,0,0,0,0,0,0
X600809.SH,0.103854911607813,0,0,0,0.793693146468211,0,0,0,0,-0.13438719741553,0,0,0,0.0191115359702459,0,0,0,0,0,0,0,0,0,-0.0522828701759068,0,-0.0420370655526642,0,0,0,0.117700287990322,0,0,0,0,0,0,0,0,0.087654163093991,0,-0.105582053900748,0,0,0,0,0,0,0,0,0,0,0,0.01413269458345,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,-0.153912609376186,0,-0.0916869633339564,0,0,0,0,0,0,0,0,0,0,0,0,-0.102103406399614,0,-0.11796715131629,0,0.0886319459540167,-0.0153781665196944,0,0,0.0767847006670535,0.341375966803536,0,0,0,0,0,0.0370946824837249,0,0,0,0,0.275835093948153,0,0,-0.159872036273157,0.249855914382714,0,0,0,0,0.0088384058620828,0,0,0,0,0,0
X000568.SZ,0.421967524516133,0,0.462510983002836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429069949088275,0,0,0.0303628597980366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0959140058899937,0,0,0,0,-0.159989877219071,0.21369017846751,0,0,-0.0739565572950907,0.00147384817126433,0.00929865688724288,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,-0.11955973091173,0,0,0,0.0147386327058048,0,0,0,0,0,0,0,-0.0507772884740701,0.235408491433725,0,0,-0.0724985483949967,0,0.102312369006984,0,0,0.165697153503898,6.93889390390723e-18,0,0,0,-0.135304265219787,0,0,0.177499724258536,0,0,0,0,0,0,0,-0.119879112600544,0,-0.180972870468388,0,0,0.0833835843425887,-0.113913970752684,0,0,0,0,0,0
X600690.SH,-6.93889390390723e-18,0,0,0,0.391084658099009,0,0,0,-0.0766700165372367,0,0,0.338165278886858,0,0,0,0,0,0.0416453673707316,0,-0.0815644014651727,0,0,0,0.0942199706756687,0.165886635961198,0,0,0.0148643367421718,0,0,0,0,0,0.188978357333741,0,0,0,0,0,0,0,0,-0.0867575564841685,0,0,0,0,0,0,0,0,-0.0602629816163516,0.00163832585443176,0,0,0,0,0,0
X002304.SZ,0,0.292079738114748,0,0,0.173530835937494,0,0,0,0.148912621485521,0,-0.0634256149463014,0,0,0,0,0,0,0,0,0,0.0622509766570241,0,0,0,0,0,0,0,0.121539723208705,0,0,0,0,0.00857537540167666,0,0,0,0,0,0,0,0.0896530010382181,-0.122742751509741,0,0.0792494103724721,0,0,0,0,0,0,0,0.034721658037342,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.332165232695794,0.117140664446918,0,0,0,0,0,0,0,0,0,-0.0230867702380546,0,0,0,0,0,0,0,0,0,0,0.00833410145517345,0,0,0,-0.0108097747526804,0,0,0,0,0,0,0.0334261468858057,0,0,0,0,0.19668463190963,0,0,0,0,0.0232858137639672,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0.102832759593741,0,0,0,0,-0.0734996171103431,0,0,0,0,0,0.0703260667337161,0,0,0,0,0.0731484874659639,0,0,0,0,0,0,-0.0720985135724952,0,0,0.197154839960121,-0.180027968137828,0,0,0,0,0,0,-0.0727945817974833,0,0,0.0681585968717148,0,0,0.17740296841225,0,0,0,0.00514168151625905,0,0,0,0,0,0
