,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X002304.SZ,X600690.SH,X000651.SZ,X600104.SH,X000725.SZ,X600031.SH,X300124.SZ,X300014.SZ,X002371.SZ,X002241.SZ,X002129.SZ,X003816.SZ,X000063.SZ,X000338.SZ,X002049.SZ,X600703.SH,X000596.SZ,X601877.SH,X002179.SZ,X000625.SZ,X600460.SH,X600741.SH,X000100.SZ,X000661.SZ,X600089.SH,X300142.SZ,X002074.SZ,X002180.SZ,X600702.SH,X600884.SH,X000157.SZ,X600522.SH,X000733.SZ,X002236.SZ,X000799.SZ,X002414.SZ,X002008.SZ,X000977.SZ,X600584.SH,X600779.SH,X600563.SH,X002007.SZ,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.517672873905905,0,0,0,0,0,0.12041384752648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0893694626811531,0,0,0,0,0,0,0,0,0,0,0,0.070714744906978,0,0,0,0,0,0,0,0,0,0,0.010872429967172,-0.0165571767982208,0,0,0,0,-0.00833682111913985,0,0,0,0.0157336210135025,0,0
X000858.SZ,0.183593450002633,0,0,0,0.148394324624601,0.0251820577267539,0,0.0495355543332184,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.110988137553152,0,0,0,0,0,0,0,0,-0.0248287264342453,0,0,0.0328017803000324,0.108383959305231,0,0,-0.0125254523340695,0,0,0.0739247051928598,0,0,0,0,0,0,0,0,0,0.00539376620057918,0,0,0,0,0,0,0
X002415.SZ,0,0.00115608005403167,0,0,0,0,0,0,0,0,0,0,-0.0681438870286896,0,0,0.176623968197592,0,0,0,0,0,0,0.102756550466704,0,0,0,0,0,0,0,0,-0.0992322705217756,0,0,0,-0.111419175722202,0.0664665005646373,0,0,0.232254640645309,0.364135916740025,0,0,0,0.171912394607282,0,0,-0.0989985028591053,0,0,0,0,0.0121363702089885,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.126138095978493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.251011971227596,0.107493626858873,0,0,0,-0.144495516979597,0,0,0,0,0,0,-0.174842744369221,-0.0120637336278089,0,-1.38777878078145e-17,0,0,-0.011017501354324,0,0,0.293269460751915,0,0,0,0,0.0918254033839784,0,0,0,0.0678112164821225,0.00684402778699457,0,0,0,0,0,0,0
X000568.SZ,0.561989096050924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219992927725607,0,0,0,0,0,0,0.0599061608830276,-0.00878626925172288,0.0526584576737751,0,0,0,0,0,0,0,0,0,0,0,0.005865765029625,0,0,0.000424912876409014,0,0,0,0.0166280577643853,0.00788175763340131,0,0,0,0,0,0
X002475.SZ,0.0707490892635821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325569764198612,0.27569166421742,0,0,0,0,0,0.00489988888110626,0,0,0,0,0,0,0,-0.0712736896280043,0,0,-0.0269183694889065,0,0,-0.0258614561117259,-0.140442894903037,0,0,0,0,0.143279344064442,0,0,0,0,0,0,0,0,-0.0393784455010738,0,0,0,0,-0.0108971415896304,0,0
X600276.SH,0.0602394020106592,0,0.0251315382306771,0,0,0,0,0,0.244584845912681,0,0,0,0,0,-0.080011098459026,0,0,0,0,0.31055774563296,0,0,0,0,0,0,0,0,-0.0748380850617478,0,0.0184089552635988,0,0,0,0.088853187787373,1.38777878078145e-17,0,0,0.0401247516845868,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0237054317495826,0,0,0,-0.0337014549009698,0,0
X002304.SZ,0,0,0.103891963509771,0,0.0974634761684431,0,0,0,0,0,0,0,0,0,0,0.135184183669785,0,0,0,0,0,0.0384081671004037,0,0.114839530315195,0,0,0.0407065721717024,0,0,0,-0.0833685312530091,0,0.000753860260748929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658227600140671,0,0,0,0.0943464911656399,0,0
X600690.SH,0,0.0906664146456892,0,0,0,0,0.343596866363099,0,0,0,0,0,0.0424524876123294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59931285063978e-05,0,0.0305262919374086,0,0,0.0753127294825227,0,0,0,0,0,0,0,0.14291581379141,0,0,0,0,0.00657075253771067,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0180057823823363,0,0,0,0.0618608589010161,0,0,0,0.13080263171263,0.117513955448307,0,0,0,0,0,0,0,0,0,0.0657709074273416,-0.0381598850524735,0,0,0.0362107762668753,0,0,-1.0842021724855e-19,0,0,0,0,0,-0.0137347101588762,0,0,0,0,0,0,0,0.0667076588754516,0,0,0,0,0,0,0,-0.0175908761415971,0,0,0,0.00992368589907358,0,0
