,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X600031.SH,X600690.SH,X000568.SZ,X000338.SZ,X002475.SZ,X600741.SH,X000596.SZ,X600809.SH,X000661.SZ,X601877.SH,X000157.SZ,X600703.SH,X000100.SZ,X600271.SH,X300142.SZ,X002236.SZ,X002007.SZ,X300124.SZ,X300003.SZ,X002008.SZ,X002506.SZ,X600498.SH,X002179.SZ,X600177.SH,X000977.SZ,X000625.SZ,X600487.SH,X600183.SH,X600066.SH,X600522.SH,X002371.SZ,X600776.SH,X000050.SZ,X600867.SH,X000066.SZ,X600089.SH,X002129.SZ,X300146.SZ,X600118.SH,X002049.SZ,X002241.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0.208696590309676,0,0,0,0.0178144892494093,0,0,0,0,0.0428075515614114,0,0,0.202229465844741,0.00883095593302621,0,0,0,-0.0495727100984008,0,0,0,0,0,0,0,0,0,0,0,0.0896594687168654,0,0,0,0,0,0,0,0,0,0,0,-0.0640149782036814,0,0,0,-0.0153185522422161,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0.131554829077655,0,0.278169012240515,0,0,0.0389898587409792,0.159320927889551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770406190375789,0,0,0,0,0,0.107400326330361,0,0,0,0,0,0,0,0,0,0.131929727154999,0,-0.0540652901055041,0,0,0,0,0.00811457113286082,0,0
X000651.SZ,0,0,0,0,0,0,0.0461724916036311,0,0,0.299345274381175,0,0,0,0.238602047084616,0.147790108159963,0,0,0.136307698631616,0,0,0,0,-0.0623973236741991,0,0,0,0,0,0,0.0532123453727874,0,0,0,0,0,0,0,0,0,0,-0.0304138321969209,-0.0651920417762509,0,-0.0252730549107416,0,0,0,0,0,0,0,-0.0347873499005271,0,0,0,0,-0.0243504706609761,0,0
X600104.SH,0.0216192522903052,0,0.152061300041342,0,0,0,0,0,0,0.0249677618143954,0,0.0511969076555137,0.0113063425280971,0.0261704991477421,0.0816246313178915,0,0,0,0,0,0,-0.0168403210117853,0,0,0,0,0,0,0,0,0,0,0,0,0.210845796525771,0,0,0,0,0,0,0.0686743398569859,0,0.0604503914960945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138112413803296,0.0375985858416288,0,0,0.089323980612008,0,0,-4.33680868994202e-19,0,0,0.261056760681612,0,0,0,0.23668062938338,0,-0.0280791324189609,0,0,0,0,0,0,0.0900061266498135,0,0,-0.0503371688808968,0,-0.0608070887080292,0,0,0,0,0.00376108290637671,-0.0256016627948646,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.163931387538069,0.027085847719147,0,0.101634325820406,0.0408736306534888,0,0,0,0,0,0,0,0,-0.0556705367217484,0.470310661437982,0,0,0,0,0,0,0,0,-0.03585627574165,0,0.225725640123383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375395851259773,0,0,0,0,-0.0467186228720011,0,0
X002304.SZ,0,0.220178589718282,0.144161693443612,0,0,0,0,0,0,0.0657035697750386,0,0,0,0.0565981361123272,0,0.197025878849315,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.119676862718094,0,0,0,0,0,0,0,0,0,0.0352652966959836,0,0,0,0,-0.0625591541206754,0,0,0,0,0,0,0,0,0,0,-0.0238976797350691,-0.0146453069053872,0,0,0,0.0113971507732754,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156796184733403,0,0,0,0,0,0,0.0285189966832824,0,0,-0.0183569915765466,0,0,0.124418943800877,0,0,0.166512344095669,0,0,0,0,0,0,0.261139289794139,0,0,0,0.243262295259188,-0.00644390800692699,0,0,0,0,0,0,0.121746738925867,-0.138128742457748,0,0.0135421129674622,0,0,0,0,-0.00445385319723983,0,0
X000725.SZ,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177653911485933,0,0,0,0,0,0,0,0,0,0,0,0.0342090857066012,0,0.0576129254772387,0,0,0,0.0649220477535113,0.13241620973307,0.0761459194281158,0,0.0929920615887727,0,0,0,0,0.0598951703097613,0,0,-0.00510603966280817,-0.0896812276963997,0,0,0,0,0,0
X600031.SH,0,0,0.21873448381636,0.122745003203906,0.199997448538022,0,0,0,0,0,0,0,0.29759944970511,0,0,9.99727122980394e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0420109507160169,-0.0387472330428419,0,0,0,0,0,0,0.011612839178115,0,0,0,0,0,0,0.117974519066395,0,0,0,0,0,0,0,-0.0835519717950746,0,0,0,0,0,0,0
