,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600031.SH,X000568.SZ,X600066.SH,X002475.SZ,X000338.SZ,X002241.SZ,X000100.SZ,X600118.SH,X600271.SH,X002236.SZ,X601877.SH,X600372.SH,X002085.SZ,X000157.SZ,X600177.SH,X002456.SZ,X002007.SZ,X300124.SZ,X002294.SZ,X600699.SH,X300003.SZ,X000559.SZ,X600089.SH,X600867.SH,X002292.SZ,X002180.SZ,X600522.SH,X002508.SZ,X002426.SZ,X002074.SZ,X600498.SH,X002506.SZ,X002465.SZ,X000623.SZ,X000536.SZ,X000550.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.121951356760347,0.0309492380203827,0,0,0.0097976155459461,0.113693205180338,0,0,0,0,0.127670112225504,0,0.145195376648672,0.00256318623347649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376125105284016,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,-0.094585988853472,0,0.94161343980594,0,0,0,0,0,0,0,0,0,0,0,0,-0.0509808766788774,0,0,0,-0.0166773350675318,-0.195578833406387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0487341445798075,0.133852972296275,0,1.73472347597681e-18,-0.00625283058158824,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115771207751471,-0.0404615017264101,0,0,0,0.0760424411308003,0,0,0,0,0.0563806701986598,0.0173393669715162,0,0,0,0,0,0,0,0,0.0802943550375796,0,0,0,0.176099212270902,0,0.00951162230724003,0,0,0,0,0,0,0,0,0,0,-0.0224133071736461,0.0122702298683093,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.355557901368331,1.56456752679362,0,0,0,0,0,-0.062050763641964,0,0,0,0,0,0,0,0,-0.0307830110784367,0,0,4.33680868994202e-19,0,0,0,-0.0204988338249611,0,0,0,0,0,0.158619427586445,0,0,0,0,0,0,0,0.150973266202663,0,-0.0357322293757397,0,0.0369081188558806,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.263229607214156,0,0,0,0.0734187416551336,0.0666913995074111,0.35641919851477,0.0314245260617516,0,0,0,0,0,0,0,0.0610415970464188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395607039778801,0,0,0,0,0,0,0,0.0239139984394692,0,0,-0.0067649923720566,0.0109627323460383,0,0,0,0,0,0
X000725.SZ,0,0,0,0.0680078877028352,0,0,0,0,0,0.0697762295192325,0,0,0,0.0418481611975168,0,0,0,0.100852085595308,0.126110111200266,0,0,0,0,0,0,0.154405021107358,0,0,-0.159130118973769,0,0,0,-0.0341606478266231,0,0,0,0,0,0,0,0,0,0.098472596222648,0,0.029668620970083,0.180256885418751,0.0567894524792166,0,0,0,0,-0.00170338362622974,0,0,0,0,0,0
X600276.SH,0,0,0.0697289489421328,0,0.0494523382334624,0,0,0,0,0,0,0.13760006876787,0,-0.0612511263601812,0.100809676381062,0,0.0270787649545607,-8.67361737988404e-19,-0.067555570687395,0,0,0.0713633350751842,0,0,0,0,0,0,0,0,0,0.0566584016230085,0,0,0,0,0,0,0,0,0,0.0767728475671904,0,0,0,0,6.93889390390723e-18,0,-0.101988031405664,0,0.00779817717454507,0.00502002388242618,0.0197761111378802,0,0,0,0,0
X002304.SZ,0,0.0798064995035324,0,0,0,0,0,0,0,0,0,0,0.319888920308688,0,0.0852796576207028,0,0,0.0333212290041582,0,0,0,0,0,0,0,0,0,0,0.0328255851057658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451232456313459,-0.0419431051118065,0.00527543781626373,0.0021756017636795,0,0,0,0,0,0
X000625.SZ,0,0.181930279292849,0,0.124984820641834,0.136805937289306,0.0431027224691674,0,0.06254560836724,0,0,0,0.00150069911774423,0,0.119013933167848,0,0,0,0,0,0,0,0,0,0.0744065512086632,0,0,0,0,-0.00407043730823353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135217464680078,0,0,0,0,0,0
X000063.SZ,0,0.0905828507279812,-0.056495813045467,0.211710727734998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360048219921969,0,0,-0.0266243859829573,0,0,0.0392336503150276,0,0,0,0,0,0,0,0.0613662091883428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336334609129363,-0.102920066216341,-0.092071791989625,0,0.0839696906456473,-0.0790525397270535,0,0,0,0,0,0
