,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X000568.SZ,X600741.SH,X600703.SH,X002475.SZ,X000338.SZ,X002236.SZ,X600031.SH,X300003.SZ,X002008.SZ,X600809.SH,X300124.SZ,X601877.SH,X002456.SZ,X600867.SH,X600271.SH,X600066.SH,X000625.SZ,X600487.SH,X000596.SZ,X002294.SZ,X000100.SZ,X600566.SH,X000981.SZ,X002241.SZ,X000661.SZ,X002508.SZ,X300142.SZ,X300136.SZ,X000050.SZ,X000157.SZ,X002180.SZ,X002179.SZ,X002038.SZ,X002007.SZ,X000977.SZ,X600522.SH,X000869.SZ,X600177.SH,X600498.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0527852214571662,0.268910536633668,0.0808089641662711,0.118136316683797,0,0,0.0646802284726788,0,0,0.0444477356770299,0,0,0,0,0,0,0,0.0979548127594066,0,0,0,-0.0194845718283634,0,0,0,0,0,0,0,0.00469155424786329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035320477089875,0,0,-0.0097748088085938,0,0,0,0,0,0,0
X600104.SH,0.00827731162593628,0,0,0.129130837923762,0,0,0.304360302249585,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,-4.33680868994202e-19,0,0,0,0,0,0.0470035423530663,0,0,0.0699776563981232,0,0,0,0,0,0,0.0611574607245452,0,0,0.0375461762161871,0,0,0,-0.065762769308047,-0.0759861098624006,0,0,1.73472347597681e-18,0,0,0,-0.0203313214669539,0,0,-0.0462035441627213,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.147692409252494,0,0,0,0,0,0,0,0,0.218662179917658,0,0,0,0,0,0,0,-0.0394625944642294,0,0,0,0.0915558306876454,0,0.0325043154056181,0,0.235896741467754,0,0.10993400807449,0,0.19674153230803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158201604209484,-0.0241090404236962,0,0,0,0,0,0
X000858.SZ,0.203076722343237,0,0,0,0.164032691718143,0,0.0157789864152062,0,0,0,0.12287444638086,0.129078331945483,0,0.0677718856860877,0,0.0876864624202541,0,0,0,0.145057543861344,0,0,0,0,0,0,0,0,0.000159709470375715,-0.082595275676428,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145689743791743,0,0,0,0,0,0,0,0,0,-0.0109227016165892,0,0,0,0,0,0
X000651.SZ,0,0,0,0.494837625163408,0,0,0,0,0.288116125461965,0,0,0,0.0708615759372083,3.46944695195361e-18,0,0,0,0,0,0.0153567298611791,0,0,0.138747523877021,0,0,0.171221589071763,0,0,0,0,0,0,0,0,0,0,0,0,0.26669447857861,0,6.93889390390723e-18,0,0,-0.053236297017304,-0.0994253177804066,0.000423188625565923,0,0,0,0,0,0,0.0650917098458207,0,0,0,0,0,0
X600276.SH,0,0,0,0.0277854396161102,0,0,0,0,0,0,0.13325725175993,0,0,0,0,0,0,0.2377015341013,0,0.107203467982815,0,0,0,0,-0.0627634540497191,0,0,0,-0.0628632369972719,0.14122262526629,0,0.214601165517834,0,0,0.167277801725894,-0.0304957265201924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0587108132256527,0.00243364901435757,0,0,0,0,0,0
X002304.SZ,0,0,0.167605112068562,0.294776661882047,1.38777878078145e-17,0,0,0,0.108229626297285,0,0,0.0170498640843269,0,0,0,0,0,0,0,0.193140982439862,0.0294327060423162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0659083601515434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285610852409214,-4.33680868994202e-19,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0.05968943160246,0,0,0,0.0144178634053558,0,0,0,0,0,0,0,0,0,0,0,0.0611043242300134,0,0,0.153785937008675,0,0.127766209383079,0,0,0,0,0,0,0,0,0,0.041168450027438,0,0,-0.0973839895324132,0,0,0,0,0,0,0,0.0563513108381817,0,0,-0.0158708644512663,0.0217558297482532,0,0,0,0,0,0
X600690.SH,0,0,0,0.449378726023551,0.028470551520029,0,0.0444022296562811,0,0,0,0,0.0430925227193233,0,0,-0.0226461004570221,0.0175121494554378,0,0.000443598214590571,0,0.140591919861034,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0414914757752193,-0.0476621412739223,0.0153232462247059,0,0,0,0.0357267958557104,0,0,-0.10333146868209,0,0,0,0,0,0,0,-0.0135569403754275,-0.0238536028557656,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.572013800084049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322471030090827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00912660080207282,0.0938562961214902,0.414017315022295,-3.46944695195361e-18,0,0,0,0,0,0,0.0792028417211754,0.0179180932583876,0,0,0,-0.383122975063635,0,0
