,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X002475.SZ,X003816.SZ,X300124.SZ,X600104.SH,X000625.SZ,X002304.SZ,X002371.SZ,X000725.SZ,X000338.SZ,X000063.SZ,X000596.SZ,X600031.SH,X000100.SZ,X300014.SZ,X600089.SH,X002179.SZ,X000157.SZ,X600703.SH,X002236.SZ,X002241.SZ,X002049.SZ,X000977.SZ,X002463.SZ,X600372.SH,X600741.SH,X002129.SZ,X000661.SZ,X600522.SH,X600584.SH,X002028.SZ,X601877.SH,X601799.SH,X600183.SH,X600066.SH,X000800.SZ,X000921.SZ,X002156.SZ,X002007.SZ,X002180.SZ,X600418.SH,X002074.SZ,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.116846654528153,0.0678189101572781,0.0559020088105505,0,0,0.157639912451496,0,0,0,0,0.39280737330485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0633015005615465,0,0,0,0,0,0,0,0,0,0.083000178963789,0,0,0,0,0,0,-0.00785894583033193,0,0,0,0,-0.0118311436591395,0.0179093212344166,0,0,0,0,0,0
X000858.SZ,0.0764049859984829,0,0.00710473797732915,0.128785095609569,0.0594100157205151,0.395864243785854,0,0,0,0,0,0,0,0.0187799053300141,0.00110315506605253,0,0,0,0,0,0,0.00475540096101505,0,0,0,0,0,0,0,0,0.00687632140033891,0,0,0.0914028379524576,0,0,0,0,0,0,0,-0.0409612168701977,0,-0.0126652908946638,0.051561055683332,0,0,0,0,0,0.0195308348660981,-0.024490280803118,0.0281644726930227,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0761613479741567,0,0,0,0,0.120210686454047,0,0.111182117338881,0,0,0,0,0,0,0,0,0,-0.0406119904229098,0.106204747530154,0,0,0.122830711313107,0,0,0,0,0,0,0,0,0,0.0317440192937722,0,0,0,0,-0.0160380607029409,0.0392302796513329,0,0,0,0.0750021593205579,0,0,0,0,-0.0155757665215243,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,-0.0269099932965074,0.392812224627599,0,0,0,0.0530286256497288,0.0727021326315403,0,0,0.0554134827251019,0,0,0,0,0.193374980357337,0,0,0.132463719833082,0,0,0,0,0,0,0,0,0,0.157670845149759,0,0,0,0,0,0,0,0,-0.022358876460989,0,0,0,-0.134280905947241,0,0,-0.0721736387272468,0,0,0,-0.0130480975113374,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275167726517949,0,0.114819507325266,0,0,0,0,0,-2.16840434497101e-19,-0.0106278340374484,0,0,0,0.513984448382531,0.067248783329397,0.175804715362477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7762635780344e-21,0,0,0,0,0,0
X000568.SZ,0,0.796398958166864,0,0,0,0,0,0,0,-0.0254541581392769,0,0,0,0.110592945337476,0,0,0,0,0,0,0.103335061433728,0,0,-0.065359293366931,0,0,0,0,0,0,0,0,0,0.0210060050249367,0,0,0,0,0,0,0,0,0,-0.0293147819552247,0,0,0,0,0,0,0,0,0.0164747886827947,0,0,0,0,0,0
X600690.SH,0,0,0,0.104675019000576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000330781397275892,0,0,0,0,0,0,0,0,0,0,0,0.0253879616340066,0,0,0,0,0,0.128383709602547,-0.0909956464337759,0,0,0.067543192449571,0.0141884435148668,0,0,0,0,0,0,0.0126163075336737,0.0109230746046592,-0.0257945121799605,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.214458922664824,0,0,0,0,0,0,0,0.104457489939034,0,0,0,0,0,0,0,0.0987277565216914,0,-0.338132374786551,0.27377243860177,0,0,0.289028781809644,0,0,0,0,0,0,0.0159513311443309,0.0159283208872956,0,0,0.208938408862976,-0.173921540846512,0,0.219568549025392,-0.145858876434973,0,-0.0287475458499579,0,0.0841668059897564,0,0,0,0,0,0,0
X002475.SZ,0,0,-0.0127462005953211,0.15945383624912,0.00295694000636055,0.0337402162629066,0.223672275181817,0,0,-0.110606055754238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0826091325351615,0,0,0.594954222887102,0,-0.111344326329346,-0.0758466981977608,0,0,0,0,0,0.125273555414342,0,0,0,0,0,0,0,0.110804488621689,0,0,0,0,0,0,-0.0290058333654524,0,-0.129468239643891,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143317787639933,0,0.142110066472011,0,0,0,-0.27050768300924,0,0,0,0,0,0,0,0,0,0,0,0,-0.0328339679479465,0,0.296161119659797,0,0.240890048336422,0,0,0.0205292034145176,-0.151189573844515,0.029206201841564,0,0.0173815460172988,-0.0483384966415144,0,0,0,0,0,0,0
