,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600703.SH,X600066.SH,X002236.SZ,X000568.SZ,X002241.SZ,X600271.SH,X000100.SZ,X600031.SH,X600118.SH,X600177.SH,X002292.SZ,X002456.SZ,X002475.SZ,X002007.SZ,X600372.SH,X000338.SZ,X000559.SZ,X000157.SZ,X002180.SZ,X300003.SZ,X002506.SZ,X000981.SZ,X002074.SZ,X600867.SH,X600522.SH,X300124.SZ,X002294.SZ,X002085.SZ,X002426.SZ,X600089.SH,X000869.SZ,X002508.SZ,X601877.SH,X600498.SH,X002249.SZ,X002465.SZ,X000050.SZ,X002179.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.298692785954293,0,0,0.209343506502506,0,0,0,0.244305502181622,0,0,0,0,0.0464516124047146,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.124385077027807,0,0,0,0,0.171957041385036,-0.15286666345345,0,0,-0.306696214296623,0,0,0,0,0,0,0,0.0108389361895672,0.0193519751289468,0,0,0,0,0,0
X600104.SH,0.189543147156924,0,0.0597433540969874,0,0,0,0,0.236558033274985,0.0727665558618027,0,0.140902922869859,0,0,0,0,-0.00904076480136802,0,0,0,0,0,-0.0118576420348211,0,0,0,0,0,0,0,0.0157445440846818,0,0,0,0,0,0,0,0,-0.0748333261880158,-0.0137067906452451,0,0,0,0,0,0,0,0,0,0,0.0494737280723187,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0968277747379715,0,0,0,0,0,0,0,0,0,0,0.0429976919171713,0,0,0,0.105608770384057,0.102927169113587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13234943014269,0.0808270533239702,0,0.126541327553188,0,0,0,0,0,0.0274152788133124,0,0,0,0,0,0,0
X000858.SZ,0.16888787458725,0,0,0,0.126277855377873,0.094803565331087,0,0,0.15872502967899,0,0.0962919437108344,0,0,0,0.384024150553708,-0.00046827015804087,0,0,0,0,0,0,0,0,0.0348716636178962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00695875998613784,0,0,0,-0.00312607166610619,0,0,0,0,0,0
X002304.SZ,0,0,0,0.721534224699954,0,0,0,0,0,0,0,0,0,0,0,0.0396619549333355,0,0,0,0,0,0,0,0,0,0.0590395304268181,0,0,0,0.0442609949589834,0,0.0207001649372185,0,0,0,0.00372636565137386,0,0,0,-0.0238343898931396,0,0,0,0.0140374880363565,0,0,0,0,0,0,0.00314476181374561,0,0,0,0,0,0,0
X600276.SH,0.0460829364997306,0,0,0.0835011796322354,0,0,0,0,0.0765659445305312,0,0,0,0,0.0323306944456833,0.0532721054180169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0311978697784112,0,0,-0.0279861964397846,0.0607921469251225,0,0,0,0,0,0.0389893353569985,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,-0.0028539697877198,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0785201742037333,0,0,0.0273046811591279,0,0,0,0,0,0.149605345555895,0,0,0,0,0,0,0,0,0.144867776838848,0,0,0.0281975433480084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195174902825181,0,0,-0.0163039853875403,0.037614554970656,0,0,0,0,0,0
X000625.SZ,0,0.193021663146493,0,0,0,0,0,0,0.0988762958583734,0,0.169050758757868,0,0.0483157845194282,0.080285766620602,0,0,0.0916522759641355,0,0,0,0,0,0,-0.0633603992507947,0,0,0,-0.0453992679752347,0,0,0,0.0166316855595479,0,0,0,0.0316469100507131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00937965963341587,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.0633429850487085,0,0,0,0,0,0,0.0728309463793736,0,0,0,0.0617045709289477,0,0,0,0,0,0,0,0,0,0.178733933171077,0,0,0.00946087637615299,0,0.00179569360703549,0,0,0.0333885538541264,0,0,0.0402334365907796,0,0,0,0,0,0,0,0,0,0,0,0.0262011402920408,0,0,0,0.0678609786918767,0,0,0,0,0,0
X000063.SZ,0.0553379870033523,0,0,0.118898483821202,0.0293638023394485,0,0,0.0121894141175501,0,0,0,0,0,0,0,0.027818080589051,0,0,0,0,0,0,0.0820767464722771,0,0,0,0.142238840089683,0,0,0.093509017314472,0,0,-1.0842021724855e-19,0,0,0.0246060106656508,0,0,0,0,0,0.0128094715539081,0,0.0631150516752122,0.0194607790001401,0,0,0.0895077075475926,0,0,0,0,0,0,0,0,0,0
