,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X600741.SH,X000568.SZ,X002475.SZ,X000338.SZ,X002241.SZ,X600066.SH,X002236.SZ,X000100.SZ,X601877.SH,X600118.SH,X600271.SH,X000157.SZ,X300124.SZ,X600177.SH,X600372.SH,X002456.SZ,X600522.SH,X002007.SZ,X600089.SH,X002085.SZ,X000066.SZ,X000981.SZ,X300003.SZ,X002508.SZ,X600867.SH,X600699.SH,X002294.SZ,X002292.SZ,X000559.SZ,X002180.SZ,X300136.SZ,X600498.SH,X002074.SZ,X000623.SZ,X002426.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0491351091772234,0,0,0,0,0.116787408556394,0,0,0,0,0,0.0580035396273177,0,0,0,0,0.0668107535978014,0,0.137073875993173,0,0,0,0,0,0,0,0,0,0,0.00906300898711952,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0618052628030306,0,0,0.0361491833911971,0,0,0,0,0.000725942577055126,0,0,0,0,0,0
X600104.SH,0,0,-0.186378051460345,0,0,0,0,-0.0652508430693845,0,0,0,0,0,0.762174014865782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142099704884273,0,-0.079424977640412,0.000362524560203081,0,-0.0712074582763796,0,0,0.0452279571875257,0,-0.146925746664279,0,-8.67361737988404e-19,0,0,-0.0678940542071063,0,0,0,0,0,-0.00950468689431074,-0.0131902462973294,0.00700952952305308,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0973691213672408,0,0,0,0,0,0,0,0.104456476954187,0,0,0,0,0.263076712532833,0.0422168998331149,0,0.21692548741743,0,0,0,0,0,0.0565726929679844,0,0,0,0,-0.0389344163336406,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208269216245407,-0.0132957655637899,0,0,0,-0.0618571146609831,0.000868174463595074,0.0021001402767346,0,0,0,0,0,0
X000651.SZ,0,0.424599086057177,0.292230322214953,0,0,0,0,0,0,0.266075652731194,0.125069741065751,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458700181040952,-0.0415221241669852,0,0.144468979385987,0,0,0,0,0,0,0,0,0,0,-0.102654549672893,0,-0.0583053920972682,0,0.141503082265774,-0.19827945722166,0,0,0.410447601906065,0,0,-0.0459643071476021,0.0163894047615969,0.0119096984187917,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0883573572356284,0,0,0,0,0.0966194146733101,0,0,0,0,0.235752087203844,0.350809868454884,0.0477833228080135,0,0,0.0799371175728412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0550264906605798,0,0,0,0,0,-0.060947592552635,0,0,0.00812538306382619,0,0,0,0,0,0,0.00583347123272036,0.000748146536334881,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0889320271030453,0,0,0,0.0499668377424463,0,0,0,0,0,0.372755806304941,0.434118322852904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567937919486897,0,0,0,0,0.0527037186485596,0,0,0,0.00868983530068916,0,0,0,0,0,0,0,0,0,0,0,0,-0.00434189562374398,0.00350178254514723,0,0,0,0,0,0
X600276.SH,0,-0.0884715073044424,0,0,0,0,0,0,0,0,0,0.226418963764267,0,0,0,0,0,0,-0.086230301378203,0,0,0,0,0.062648517779177,0,-0.0290249505625924,0,0,0.0518503561806152,0,0,0,0,0.0659893588785529,0,0,0,0,0,0,0,0,0,-0.0228542031377024,0,0,0,0,0,-0.138606765210102,0.0154246439219928,0.000514240866562741,0,0,0,0,0,0
X000725.SZ,0,0,0,0.0944676605648959,0,0,0,0,0,0.0845104781841232,0,0,-0.129075570245049,0,0.19286536064066,-0.721102176158397,0,0,0,0,0.174013432513268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141848388054709,0,0.196435343542216,0,0,0,0,0.418964581248445,0,0,0,0,-0.0167289007944366,0.00230174261450457,0,0,0,0,0,0
X000625.SZ,0.0232721159701427,0.230269271113508,0,0.0928263093997818,0,0,0,0,0,0,0,0,0.115167939928836,0.238187261546636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139188002331824,-0.0339988807354194,0,0,0,0,0,0,0,-0.0626321733067777,0,0,0,3.46944695195361e-18,0,0,0,0,0,-3.46944695195361e-18,0,0,0,-0.0198719399311898,0.00690044395829656,0,0,0,0,0,0
X000063.SZ,0.100954086582411,0,0,0.272352947454957,0,0,0,0,-0.0379307806453803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.271800087662826,0,0.042453006889725,0,-0.0784958649664609,0,0,0.17928970293405,0,0,0,0,0.0504608856611963,0,0,0.240555623072232,0,0,0,0,-0.113313058126345,0,0,0,0,0,0,-0.00685977303211126,0.00676767255256243,0,0,0,0,0,0
X600690.SH,0,0,0,0.190198744496086,0,0,0,0,0,0,0,0,0.0289117274515008,0,0,0,0,0,0,0,0,0,0.090158074233059,-0.157727082567407,0,0,0,0.0352835496589799,0,0.0608177093822747,0,0,0,-0.0234931858342464,0,0,0,-0.121595379171713,0,0,0,0,0,-0.083793738840335,0,0,-0.0203498260162305,0,0,0,-0.0110622265942294,0.000799868879940715,0,0,0,0,0,0
X600703.SH,0,0,0.341893034174783,0,0.123030539486523,0.0709362549003704,0.132458643365184,0,0,0,0,0,0.226025445981369,0,0,0,-0.10684075258076,0,0,0,0.0373792279687746,0.050374695646389,0,0,0,0,0,0,-0.0523497076079627,0,0,0,0,0,0,8.67361737988404e-19,0,0.0657975150452053,0,0,0,0,0,-0.0286536526001869,0,0,0,0,0,0.278677694972369,0,0.000247751920145366,0,0,0,0,0,0
X600031.SH,0,0,0,0.0291382490551709,0,0.134217148546185,0,0,0,0,0,0,0,0,0,0,0,-0.0633520352710162,0,0,0,0,0.187348155544366,0,0.419217738215114,0,0,0,-0.0539987913565522,-0.057256187425707,-0.063841668760596,0,0.339076887161824,0,0,0,0,0,0,0,0,0,-0.186131573142235,0,0,0,0,0,0,0,0,0.000857527826849644,-0.154230395742377,0,0,0,0,0
X600741.SH,0,0.261382273223537,0,0,0.0692153853006599,0,0.021239937291057,0,0.32430996694457,0,0,0,0,0,0.0713254810486154,0,0.0412815814383045,0,0,0,0,0,0,0,0,-0.0216718030945014,0,-0.17248914165952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044175796062141,0,-0.0371467726040527,-0.00517557714239102,0.00170708934382506,0,0,0,0,0,0
X000568.SZ,0,0,0,0.00763642665072435,0.401224762696242,4.33680868994202e-19,0,-0.028648387765288,0,0,0,0,0,0.0813388083095742,0,0,0,0,0,0,0,0.027294937770401,0.0320308573720814,0,0,0,0,0,0,0,0,0,0,-0.01597406056792,0,0,0.145211712416222,0,0,0,0,0,0,0,0,0,0.153724151122849,0,0,0,0.0132332857268199,-0.0109525842200576,0,0,0,0,0,0
X002475.SZ,0.0614883857714796,0,0,0,0,0,0,-0.23009595357435,0,0,0,0,-0.0532300725849196,0,0,0,0,0,0,0.121449625597131,0,0,0,0,0,0,0,0,0.28506970996908,0,0,0,0,-0.00735986199415699,0,0,0,0,0,0,-0.0150152980806047,0,0,0.170972672254971,0,0,0,0,0.0474598403771373,0,-0.0167090417362269,0,0,0,0,0,0,0
