,X600519.SH,X000858.SZ,X002475.SZ,X002415.SZ,X600276.SH,X600690.SH,X003816.SZ,X600809.SH,X000651.SZ,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X000625.SZ,X300124.SZ,X600031.SH,X000063.SZ,X000338.SZ,X002304.SZ,X000596.SZ,X000100.SZ,X002179.SZ,X300014.SZ,X002463.SZ,X600089.SH,X002241.SZ,X000157.SZ,X600703.SH,X600584.SH,X600372.SH,X000977.SZ,X600066.SH,X600522.SH,X600741.SH,X002028.SZ,X002236.SZ,X600183.SH,X002049.SZ,X000921.SZ,X601877.SH,X002180.SZ,X002223.SZ,X600487.SH,X600418.SH,X000661.SZ,X000800.SZ,X002129.SZ,X601799.SH,X000400.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.132080806635072,0,0,0,0,0,0.169962133293619,0,0.208847158835358,0,0,0,0,0,0,0,0,0,0.109713268152873,0,0,0,0,0,0,0,-0.0404755416342838,0,0,0,0,0,0,0,0,0.0207385022392192,0,0,-0.0358248463728652,-0.0184992937364977,-0.0154108208625975,0,-0.0487828455878248,-0.0615392318320897,0,0,0,0,0,0,-0.0355485792431813,0,0,0,0,0.00353538428273719,0,0
X000858.SZ,0.0856284458305508,0,0.00472441434158715,0,0,0,-0.0345595940053794,0,0,0.426718948125497,0,0,0.00320897326070738,0,0,0,0,0,0.0335301330571027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0679266294060467,0,0,0,0,0,0,0,0.127327010328259,0,0,0.0109410572818155,0,0,0,-0.0331214312126723,0,0,0,-0.0457029906200693,0,0,0,0.00837049589633159,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.156582983880967,0,0,0,0,0,0,0,0,0,0,0,0,0.0838746678568605,0.0418364164374741,0,0.419919555006523,0,0,0,0,0.0334693182518698,0,0,0,0,0,0.123854544983234,0,0,0,0,0,0,0.0666029506261334,0,0,0.0194069703201485,0,0,0,0,0.112683462041409,0.00877208628905402,-3.46944695195361e-18,0,0,-0.0118151922731963,0,0
X002415.SZ,0,0,0,0,0.0487447879020148,0,0,0,0,0,0,0,0,-0.129110825359257,0.03554524167527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102747045817753,0,0,0,0,0,0.0191210444925948,0.067697434005012,0,0,0,0,0,0,0,0,0.0595661225104096,0,0,0,0,0,0,-0.191025392184394,0,0,0.0448229351365371,0,0
X600276.SH,0,0,0,0,0,-0.162972120438149,0,0,0,0,0.116640505570746,0,0,0,0,0.00334826311480038,0,0,0,0.00208984258105504,0,0.275437441490992,0.22368805163718,0,0,0,0,0,0,-0.349062883486572,0,0,0.112956910645705,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0.199658703266385,0,0,0.222307230939056,0,0,0,-0.0143819232496111,0,-0.0954439853036551,0,0,0.085374870755522,0,0
X600690.SH,0,-0.117352133946142,0,0,0,0,0,0,0.0876471192967517,0,0,0.126047078994275,0,0,0,0,0,0.219478869473236,0,0,0,0,-0.0299005786304767,0,0,0,0,0,-0.00654082887930277,0,-0.016351786969938,0,0,0,0,0,0,-0.00729302760001146,0.22581718898823,0,-0.0618282678737157,0,0,-0.090787023725807,0,0,0,0,0,0,0,0,0.0113953574128654,0,0,0,0.102097612870388,0,0
X003816.SZ,0,0,-0.0236878676284788,-0.0137764331696383,1.73472347597681e-18,0,0,0,0,0,0,-0.105556058858435,0,0,0,0,0,0,0,0,0,0,0,-0.243421511292768,0,0,0,0,0,0,0,0,0,-0.0346124732317658,8.67361737988404e-19,0,-0.107643140258322,0,0.00367245897724021,-1.73472347597681e-18,0,0,0,0,0,0,0,0.112678578701892,0.106789601607887,0,0,0.0336996142878824,-0.0607553349068027,0,0,0,0,0,0
X600809.SH,0.163400788287853,0,0,0,0,0,0,0,0,0,0,0,0,-0.0730515200234626,0,-0.08217898223685,-0.0342880066637059,0,0,0.291690231785407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488010943230252,0.0925258155634603,-0.0617658553699294,0,0,0,0,0,0.0599154480665169,0,0,-0.0413497538411567,0.0302541655724662,0.106508023519405,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410773422331545,0,0,0,0,0,0,0,0.00193346489542096,0.203775696968966,-0.0315538481365628,0.109986018577758,0,0,0,0,0,0,0,0.0232172418634812,0,0,0,0,0,0,0,0,0,0,-0.0348047805195142,-0.0178454522583536,0,0,-0.0292268625583501,0,0.0470711864360118,-0.0485592118753375,0,0,0,-0.0531501014800734,0,0
X000568.SZ,0.0378955687826405,0.724810785994513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161078835227211,0,0,0,0,0,0,0,0,0,0,0,0.0438165837151869,0,0,4.33680868994202e-19,0,0,0,0,0,-0.0475762535916049,0,-0.0775554011664853,0,0,0,0,0,0,0.189095616581709,0,0,-0.0379339092766433,0,0,0,0,0,0
X002371.SZ,0,0,0.0838056849908815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153457243067788,0,0.0768822579748593,0,0,0,0,0.402048080037921,0,0,0,0,-0.190870444735989,-0.0146911183302545,0,0,0,0,0,-0.169295204149106,0,0,0,0,0,0,0,0,0,0,0,0.147290681301811,0,0,0,-0.0494805450184965,0,0
X600104.SH,0,0,0.0398804785390338,0,0,0,0,0,0,0,0,0,0,0.0941677115783384,-0.0106132772112186,0,0,0,0,0,0.0392391321107681,0,0,0,0,0,0,0,0,-0.0109556121327312,-0.0372445916222131,0,0,0,0,0,-0.0555517688446162,0,-0.0270657789970122,0,0,0,0,2.16840434497101e-19,0,0,0,0,-0.0139346633006674,0.101474823175853,0,0,0.0191784749560978,0,0,0,0.0423717150520369,0,0
X000725.SZ,0,0,0.092601869234101,0,-0.046364846484219,0,0,0,0,0,0,0,0,0.0843694437047175,0,0,0,0,0,0,0.343696502698191,0.0509009973439307,0,0,0,0,0,0,0,0,0.175928402283545,0.0260562569861811,0,0,0,0,0,-0.140763789245214,0,0,0,0,0,0,0,0,0,0.117905499817536,0,0.0895901074538553,0,-0.028024156792137,0,0,0,0,0,0,0
X000625.SZ,0,0,0.199839703532899,0,0,-0.43437937191971,0,0,0,0,0,0.594132947810007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.226547048286698,0.268120721976454,0,0,0,0.163785806577988,0,0,0,0,0,-0.154066087442305,0,0.371864014235776,0,0.108215697193203,0.117697092017957,0.110671201556103,0.0422620628286047,0.0540392891265853,0,0,0.0329433896425909,0,0,0,-0.0151322833492497,0,0
