,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600276.SH,X600690.SH,X002304.SZ,X002475.SZ,X300014.SZ,X300124.SZ,X000651.SZ,X600104.SH,X002129.SZ,X003816.SZ,X002371.SZ,X000725.SZ,X002049.SZ,X600031.SH,X000625.SZ,X000596.SZ,X002179.SZ,X000063.SZ,X600089.SH,X600522.SH,X002241.SZ,X000338.SZ,X002180.SZ,X600703.SH,X000661.SZ,X000733.SZ,X300142.SZ,X601877.SH,X000100.SZ,X002074.SZ,X600741.SH,X600487.SH,X000157.SZ,X300003.SZ,X600460.SH,X600884.SH,X600702.SH,X600563.SH,X600584.SH,X002414.SZ,X002236.SZ,X000799.SZ,X600372.SH,X601799.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.199625464459677,0.359854937195203,0,0.0287070938789145,0,0.0662902195488314,0,0,0.00687145743467065,0,0,0,0,0,0.0364310317338426,0,0,0,0,0,0,0,0,0,0,0,-0.0527268659879894,0,0,-0.181214444977567,0,0,0.0303233042521506,0,0.0134185322737952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180112564983253,0.00831989225649802,0,0,0,0,0,0
X000858.SZ,0,0,0.0545570521423401,0,0.158352472170169,0.0142438950506591,0,0.0227588474916801,0,0,0,0,0,0,0,0.107036744286796,0,0,0,0,0.0305918578723116,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0.0643199823144354,0,0,0,0,0,0,0.121486708585069,0,0,-0.10415176696417,0,0.209141273109286,0,0,0,0,0.0334310585514069,0.0012664971914503,0,0,0,0,0,0
X600809.SH,0.0720716404485399,0,0,0,0.897699828480769,0,0,0,0,0,-0.0574486795867586,0,0,0,0,0.000336714625885276,0,0,0,0,0,0,0,-0.0116334080472333,-0.00779681440475587,0,0,0,0,0.18787272414184,0,0.0328316550219386,0,0,0,0,0,0,0,0,-0.219146626486119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,-0.0960090510959855,-0.0647167932582416,0,0,0,0,0,0,0,0,0,0,0.00609636400168949,0,0,-0.0704456686897939,-0.121028426041632,0,0,0,0,0,0,0.00793137487298279,0.327616584173898,0,0,0,0,0,0,0,0,0,-0.189529779441375,0.326535760342887,0,0.167602401757878,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0.379333405950555,0,0.575420341239268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022261390750309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735786387722557,-0.181514389078709,0,0,0.17835559481769,0,0,0.0554157453259386,0,0,0,0.0122429816591625,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,-0.166745141708453,0,0,0,0,0.0554866257006297,0,0,0,0,0,0,0.245425654465586,0,0,0,0,1.73472347597681e-18,0.0475790708221563,-3.46944695195361e-18,0.00602342290558641,0,0,0,0,0,-0.126268251139829,0,0.162247110973058,0,0,0,-0.106335128825109,0,-0.0375525728663438,0,0,0,0,0.0962136320125304,0,0.0879123750581892,-0.182348233846047,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.254398403253871,0,0,0,-0.0786610244684276,0,0,0.408086793527149,0,0.0955569807694895,0,0,0,0,0,-0.0858795096248243,0,0,0,0.126960403593699,0,0.0675811674708128,0,-0.158240013473909,0.0298320940894066,0.0292035067295443,0,0,0,0,0,0,0,0,0,0,-0.0324905754687314,0,0,0,-0.121132719947523,0,0,0,0.0834488861628501,0,0,-0.0887968588604736,0.0426853242972634,0.155155634270489,0,0,0,0,0
X002304.SZ,0,0.238713347277398,0,0,0.174437002598271,0,0,0,0.118207037651986,-0.0596916061533492,0,0,0,0,0,0,0,0,0,0,0.0444357587749077,0,0,0,0,0,0,0.103758843383516,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126027049817336,0,0,-0.148387985155558,0,0,0,0.0752561008308277,0,0,0.0102715252126595,0.0288051070206853,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.182298273772073,0.352598232957826,0,0,0,0,0.00541521846205535,0,0,0,0,0,0,0,-0.0115513644811848,0,0,0,0,0,0,0,0,0,0,0,0,-0.0126226898106434,0,0,0,0,0,0,0,0.0249035737665608,0.190677044289965,0,0,-0.0110502177679379,0,0,0,0.0114298470513667,0,0,0,0,0,0
X300014.SZ,0,0,-0.109214991485421,0,0,0,0,0,0.0367181891396341,0,0,0,0,0,0,0,0,0,0,0,0,-0.192010009872826,0,0,0,0,0,-0.0354671737642884,0,0,-0.112764205181665,0,0,0,0.575325335517846,0,0,0,0.0563338816943106,0,0,0,0.301095517414774,0,0.159841607667472,0,0,0,0,0,0,-0.0493081642458169,0,0,0,0,0,0,0
