,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600066.SH,X002241.SZ,X600271.SH,X000100.SZ,X000568.SZ,X600118.SH,X600031.SH,X002292.SZ,X002236.SZ,X002074.SZ,X000559.SZ,X002475.SZ,X600177.SH,X002506.SZ,X600372.SH,X300003.SZ,X000157.SZ,X000338.SZ,X300124.SZ,X002456.SZ,X000050.SZ,X002180.SZ,X002085.SZ,X002249.SZ,X002294.SZ,X002426.SZ,X002007.SZ,X600089.SH,X000869.SZ,X600699.SH,X600867.SH,X002465.SZ,X002049.SZ,X002508.SZ,X002179.SZ,X601877.SH,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.463738770262322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0815789225885688,0.0565727207981002,0,0.0662211645478567,0,-3.46944695195361e-18,0,0,0,0,0,0,-3.46944695195361e-18,0,0.00394441642812744,0.0626259062292858,0.0748880487963406,0,0,-0.0404153319097466,0,0,0,0.0532592547542038,-0.112227817981042,0,-0.156699151212111,0,0,0,0.243604478290625,0,-0.0202235542024262,0.0230253737190054,0,0,0,0,0,0
X600104.SH,0.00776070694376174,0,0,0,0.0644738129557288,0,0,0.139992708813293,0,0,0,0,0,0.018564392687136,0,0,0,0,0,0,0,0,0,0.0847948098875995,0,-0.0146995434251045,0,0,0,0,0,0,0.0716698750812091,0,0,0,0,0,0,0,0,-0.0074868837717962,0,0,0,0,0,0,0,0.160331871435932,0,-0.0186146144375325,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.161859772188081,0,0,0,0.0598767189310034,0,0,0,0,0,0.00908929644252889,0,0.0645595524677708,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,-0.0147283240604438,0.214398072073591,0,0,0.0504659426243167,0,0,-0.0106971285576587,0,0,0.0282865235226206,0.00695786766663978,0,0,0,0,-0.001803621374239,0,0,0,0,0.0430192220849225,0,0
X000858.SZ,0.178761052331397,0,0,0,0.258087967611747,0,0,0,0,0.210640641916745,0,0,0,0,0.0535676530084318,0,0,0,0,0,0,-0.0602519140130558,0,0,0,0.0591489551636688,0,0,0,0,0,0,0,-0.0642948826152635,0,0,0,0.0779222238555404,0.0116741884862516,0,0.0443097699364667,0,0,0,-0.0217219764304632,0,0,0,0,0,1.73472347597681e-18,-0.00333181595175641,0,0,0,0,0,0
X002304.SZ,0,0,0,0.660079723961164,0,0,0,0,0,0,0,0,0,0,-0.0717353642150622,0,0.232318380861787,0.0404667428056655,0,0,0,0,0,0,0,-0.00963242080797552,0.202911995007537,0,0,0,0,0,-0.0156887370659592,-0.104312832199331,0,0,0,0,0.0817626445010715,0,0,0,0,0,0,0,0,0,0,0,0,-0.00105498996423562,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0291563827179402,0,0.0294215103108936,0,0,0.176733690279532,0,0,0,0,-0.0432594901423001,0.0106225663966467,0,-0.0451954832569887,0.0759073658965677,0,0,0,0,0.068452927780731,0,0,0,0,0,-0.0362556080423756,-0.040076723082969,0,0,0,0,0,0,0,0,0,0,0.0870134074550227,0,0,0,0,0,-0.0138209812451862,0,0.124236005697905,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.0567931415540684,0,0,0,0,0.14219434411427,0,0,0,0.110262325485834,0,0,0.162666579420516,0,0,0,0,0,0,0.0154920105131688,0,0.0755583330865808,0.0376072339479039,0,0,0,0,0,4.33680868994202e-19,0,0,0.000173065309727049,0,0.00772166467037704,0.00434931662762045,0,0,0,0,0,0.00199025400183821,0,0,0,0,0,0,0
X000625.SZ,0,0.0543869858605609,1.38777878078145e-17,0.183631175117515,0,0,0,0,0,0,0,0,0,0.170983955823126,0,0,0,0,0,0,0,0,-0.322340283715293,0.196623466380916,0,0.17777027430757,0,0,0,0,-0.384795137179763,0,0.0665918755391908,0,0,0.105961233486624,0.0739895148098717,0.120882653218951,0,0,0,0.12783158884812,0,0,0.0837292837119416,0,0.015319970468365,0.133516724987135,-0.274944778152659,0,0.0237964782338729,0.0465393449932261,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0129081276633858,0.289781587229351,0,0,0.226513606828306,0,0,0,0,0,0,0,0,0,0,0.236947608902124,0.0424028285148536,0,0,0,0.148195152518775,0.193238887095232,0,0,-0.0325543444124634,0,0,0,0,0.0257866116096517,0.0622905057410732,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0410433171479187,0,0,0,0,0,-0.106904760514843,0,0,0,0,0,0,0
X600690.SH,0,0,0.0823600170561614,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0780459762100198,0,0,0,0,0,0,0,0,0,0,0,0,0.156972951223355,0,0,0.0778430792704566,0,0,0,0,0.0322711976239786,0,0,0.0923234246380368,0,0,0,0,0.0849338518305601,0.110703883372694,0.0202427754807054,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0
