,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X000651.SZ,X002304.SZ,X600104.SH,X600031.SH,X600690.SH,X000725.SZ,X300014.SZ,X300124.SZ,X000661.SZ,X000338.SZ,X000063.SZ,X002241.SZ,X600703.SH,X000625.SZ,X002371.SZ,X003816.SZ,X000596.SZ,X002129.SZ,X000100.SZ,X300142.SZ,X002049.SZ,X002179.SZ,X000799.SZ,X600741.SH,X000157.SZ,X600460.SH,X600702.SH,X601877.SH,X600584.SH,X002007.SZ,X002414.SZ,X002236.SZ,X601799.SH,X600779.SH,X300003.SZ,X300146.SZ,X002074.SZ,X600183.SH,X000800.SZ,X600089.SH,X002508.SZ,X002008.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.0439350351717259,0,0.0434761614176635,0,0,0,0,0,-0.00311205379112556,0,0,0,0,0,-0.0407491031625787,0,0,0,0.0325596525641165,0,0,0,0,0,0,0,0,0.0236217224009951,0,0,0.0280710424152137,0,0,0,0.115145736781289,0,0,0.110383952254027,0,0,0,-0.12932410873305,0,0.0405832971656648,0,0,0.01048738585102,0,0,0,2.16840434497101e-19,0,0
X000858.SZ,0,0,0,0,0.0765879199173352,0.230029183624383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090282295203374,0,0,0,0,0,0,0.0179236745931626,0.0972904555500556,0,0,-0.0532110464407007,0,0,0,0,0,0,0,0,0,0.0880742145544754,0.138803968247712,0,0,0,0,0,0,0,0.0282802730665285,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0991225966476725,0,0,0.00805551669413861,0,0,0,0,0,0.09835243888871,0,0,0,0,0.055243820468609,0.00571077665071625,0,0,0.0787598678214566,0,0.01855743884098,0.0624765812455353,0,0,0,0,0,0,0,0,0,0,0.0677489442712687,0,0,0,0,0,0.0310736655587316,0,-0.0110939911598435,0,0,0,0,0.0117247332410705,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.061199381275849,0,0,0,0,0,0,0,0,0.096955391287735,0,0,0,0,0,0,0,0,0.0418325461220313,0.114855712438817,0,-1.73472347597681e-18,0,0,0.0180307187189429,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0801944691944742,0,0,0,0,0.160303893524053,-0.0104221062370577,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.206781805183497,0,-0.143320245378423,0.0968286784253126,0,0,0,0,-0.0112507850102151,0.21385161443029,0,0,0,0,0,3.46944695195361e-18,0,0,0,-0.0392701866603797,0,0,0,0,0.52602205713745,-0.254957683280602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0463920016042777,0,0,0.0584601460083229,0,0,0,0,0,0
X000568.SZ,0,0.569164866526275,0,0,0.0826201361912599,0,0,0,0.146549040775338,-0.191637257569818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872306795149159,0,0,0,0,0,0,0,0,0,0,0,0.0287436720844927,0,0,0,0.0150383665229437,0,0,0.0929978474845175,0,0,0,0,0,0.131468962452902,0,0,0,0,0,0,0,-0.0277530642343389,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0.0149692237002237,0,0,0,0,0.126601099543205,0,0,0.0660984676405342,0,0.133081012288941,0.124538749665115,0,0.0482634707204824,0,-0.142799205423782,0.0377655954743073,0,0,0,0,-0.0578734679002821,0,0,0,0,0,0,0,0,0,0,0,-0.0220039800077347,0,0,0,0,0,0,0,0.0646070693680602,0,0.0306693789716693,0,0,0,0,0.0349900865007229,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0.234532806494229,0,0.137663709912304,0,0,0,0,0,0,0.0400403648908314,0.0765625256550089,0,0,-0.0208352100558722,0,-0.0321183854177416,0.0547094245029699,-0.0746962230651492,0,0,0,0,0.0438115467133312,0,0,-0.0962127338495544,0,0,0,0,0,0,0,0,0,0.00820533538318195,0,0,0,0,0,0.066401266721287,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.0286500223661432,0.0758728530173068,0,0,0,0,0,0,0,-0.138616380863769,0,0.064592330525243,0,0,0,0.570013347035962,0,0,0,0.0164839739386902,0,-0.0418487594511283,0.0511500480811273,0,0.0534032207276738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26816523388453,0,0,0,0,0,0,0.00195519775086972,0,-0.18568507375179,0.163322696386853,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.0666917216210615,0,0,0,0.0608577724889125,0,0,0.00814675111304372,0.0415612218915165,0,0,0,0,0,0.0611158648116315,0,0,-0.0767832340742684,0,0,0.118880664248797,0,0,-0.0303520453920477,0.0259806595692626,0,0,0.081120516977492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0633605453687892,0.0327118113380482,0,0,0,0,0,0
