,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X000063.SZ,X300124.SZ,X600104.SH,X000725.SZ,X003816.SZ,X600031.SH,X002371.SZ,X000625.SZ,X000596.SZ,X002129.SZ,X300014.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X000100.SZ,X002049.SZ,X600372.SH,X002236.SZ,X000977.SZ,X600584.SH,X002241.SZ,X000157.SZ,X601877.SH,X000661.SZ,X600741.SH,X600522.SH,X000733.SZ,X600702.SH,X002180.SZ,X002074.SZ,X002463.SZ,X300142.SZ,X600460.SH,X000800.SZ,X002007.SZ,X300003.SZ,X000066.SZ,X000988.SZ,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.265863736428509,0.169415212710626,0,0.039601066312091,0,0,0,0,0,-0.021965851031949,0,0,-0.00225793982598899,0,0,0.027511462825262,0,0,0.0864680921894367,0,0,0,0,0,0,0,0,-0.00537211125556686,0,0,0,0,0,0,0,0,0,0.0317137674266249,0,0,-0.0590039820998548,0,0,0,0,0,0,0,0,0,0,0.0660542454226297,0,0,0,0,0,0
X000858.SZ,0.0507414990536767,0,0.429716101824143,0,0,0.035171282533155,0,0,0.0396867416245972,0,0,0,0,0,0,0.0913773496281867,0,0,0,0,0,0,0,0,0,0,0,0,-0.00523021195815763,-0.0067235224804811,0,0,0,0,0,0,0,0,0.217385599332711,0,0,0,0,0,0,0,0,0,-0.0278667298905485,0,0.0342235572732753,0,0,0,0,0,0,0,0
X000568.SZ,0.0209291451186466,0.253205648860791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0940315742132222,0,0.137403344008293,0,0,0,0,-0.0412865679556274,0,0,0,0,0,-0.00606273538405016,0,0,0,0,0,0,0,0,0.448659014256888,0,0,0,0,0,0,0,0,0,-0.0582769235834609,-0.0371453871602802,0,4.33680868994202e-19,0,0,0,0,0,0,0
X002415.SZ,0,0,0.0488125329145586,0,0,0,0,0,0,0,-0.0668503914139107,0,0,0,0,0.170385510190105,0,-0.230075522234983,0.0247059674039226,0,0.146703943875973,0,0,0.330439917679737,0,0,0,0,0.327890144916107,-0.015938906521406,0,0,0,0,0,0,-0.0518450998931479,0,0,0.0927464360091942,0,-0.0320794316686629,0,0,0,0,0,0,0,0.0740277095272659,0,0,-0.0380749260537145,0,0,0,0,0,0
X600276.SH,0,0,0,0.0187018772575909,0,0,0,0.10578182461831,0,0,0,0,0,0,0,0,0,0.175716194175689,0,0,0,0,0,-0.219827267610364,0,0,0.0675415995917488,0,0,0.0307006497292678,0,0,0,0,0,0,0.10411084809622,0.0516185845703364,-0.0484340560584387,0,0,-0.23675552834427,0,0,0,0,0,0,0.128867907606912,0,0,0.0090142234097686,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0.0175695568120991,0.283803666249378,0,0,0,0,0,0,0,0,0,0,0.0211919605351748,-0.00943019763569924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0834173238769421,0,0.0686449042035262,-0.0516982814760904,0,0,0,0,0,-0.295535351172043,0,0,0,0,0.403637100406241,0,0.121857950078367,0,0,0,0,0,0
X002475.SZ,0,0,0,0.0561268016247695,0,0,0,0,0,0,0,0.0289863229520816,0,0,0,0,0,0,0,0.245050492801445,0,0,0,0.0962847915689334,0,0,0,0,0.0353338796999936,0,0.19717001875414,0.654945276102711,0,0,-0.139387260543702,0,-0.0412298975063361,0,0,0,0,-0.0363950578680497,0,0,0,0,0,0,0.146456459078966,0.0486047751252443,0,0,-0.0613918965168984,0,0,0,0,0,0
X600690.SH,0,0,0,0.0449593082607113,0.206627262004514,0,0,0,0.255490928465154,0,0,0,0,0.0957359367266292,0,0.137396618294738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025431811417416,0,0,0.0120952276499545,0,0,0,0,0.0407254528768959,0,-0.106774245590888,0.105187775323404,-0.041377762143475,0.0567213176814674,0,0,0,0,0,0,0,0,0.0329798940863867,0,0.110169644708269,0,0,0,0,0
X000651.SZ,0,0.0853193157829352,0,0,0,0,0,0.0795605806826985,0,0.141467284886038,0,0,0,0,0,0,0,0.0130616071326195,0,0.16006801215843,0,-0.656938011347807,0,-0.0708641506879671,0,0,0,0,0,-0.0566315534703181,0,0,0,0,0,0,0,0,0.171543671425932,0,0,0,0,0,0,0,0,0.203291393987489,0,0.172309717839222,0,0.00231232023172086,-0.0246634984763787,0,0,0,0,0,0
X002304.SZ,0,0.0161135679154166,0.422176880678673,0,0,0.03288531190142,0,0,0.0621291484846032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0260675027406154,0,0,0,0,0,0,0,0,0,0,0,0.0449930843118397,0,0,0,0,0,0,0,0,0.0692098226418472,0,0,0,0,0,0,0,0
