,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X600104.SH,X300014.SZ,X000651.SZ,X600031.SH,X000725.SZ,X002241.SZ,X300124.SZ,X002371.SZ,X600703.SH,X000338.SZ,X000063.SZ,X003816.SZ,X002049.SZ,X000596.SZ,X002129.SZ,X000625.SZ,X000661.SZ,X002179.SZ,X601877.SH,X300142.SZ,X600741.SH,X000100.SZ,X002074.SZ,X600089.SH,X600460.SH,X600702.SH,X002236.SZ,X000799.SZ,X002180.SZ,X000733.SZ,X000157.SZ,X600779.SH,X601799.SH,X002008.SZ,X600522.SH,X002414.SZ,X600584.SH,X600183.SH,X600884.SH,X002007.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.579459579244981,0,0,0.00494692214622334,0,-0.0679469215109403,0,0,0,0,0,0,-0.0349139042863345,0,0,0,0,0,0,0,0,0.0976290118295314,0,0,0,0,0,0,0,0,0,0.025080980839946,0,0,0,0,0,0,0,0,0,0,-0.014472103319905,0,0,0,0,0,0,0,-4.33680868994202e-19,-0.00257812821946246,0,0,0,0,0,0
X000858.SZ,0.1808009552875,0,0,0.228316546980568,0,0,0,0,0.291677852920391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0695125235212891,0,0.310164538424299,0,-0.0101944619597665,0,0,0,0,0,0,0.0755636659702178,0,0,0,-0.030996060995359,0,0,0,0,-0.0775246091833327,0,0,0,0,0,0,0,0,0.00667224143386838,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.145750865137406,0,0.145959808489158,0.254969645684023,0,0,0,0,0,0,0,0,0,0.0504828922370359,0,0,0,0,0,0,-0.0199185480588015,0,0,0,0,0,0,-0.0641219245178793,0,-0.189951541805562,0.0239227846921404,0,0,0.190129211621524,0,0,0,0,-0.0458843153602072,0.0369855550728528,0,0,0,0,0,0,4.33680868994202e-19,0.0145112905312214,0,0,0,0,0,0
X600809.SH,0,0.481441137103022,0,0,0,0,0,0,0,0,0,0,0,0,-0.0745434746656264,0,0,0,-0.333621167292027,0,0,0,0,0,0,0,-0.185850189114941,0,0,0,0,0,0,0,0.14690995903943,0,0.185229675930833,-0.0175927921068375,0,0,0.046932130768288,0,0,0,0.143893243876936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0,0,-1.73472347597681e-18,0,0,-0.0348220607932737,0,0,0,0,0,0,0,0.108203633350588,0,0,0,0.0028433266412026,0,0,-0.0550746288693701,0.514719278663169,0,-0.0224865981648192,0.0490637521427415,0,0,0,0,0,-0.0408786600681306,0,0,0,0,0,0,0,0,0.192263181339565,0,0,-0.0458383030652269,-0.182946318661737,0,0,0,0,0,0,0.0324196510256671,0,-0.0410769909356196,0,0,0,0,0
X002475.SZ,0.0852869076496022,0,0,0,0,0,0.00816318348733776,0,0.0348518593484362,0,-0.0789669472304581,0,0,0,0,0.157829210422971,0.103626031617335,0,0,0.164639169350442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0236342284726203,0,0,0,0,0.0639455903733701,0,0,0,0,0.230134098627474,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0.167329118480548,0,0,0,0,0,0,0,-0.0299281100512704,0,0,0,0,0,-0.00683942756828307,0,-0.0344796078477304,0,0,0,0,0,0,0.0443711879352643,-0.189167159772897,0.0931074788714882,0,0,0.11713539470384,0,0,0,0,0,0,0,0,0,0,0,-0.0757537075447341,0.0203387222924802,0,0,0,-0.11902406439832,0.257506481628991,0,0,-0.0167837054486616,0.0200106425460662,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.129449440030118,0,0,0.147385942877871,0,0,0,0,0,0,0,0,0,-0.0139545961530813,0.0880666271811614,0,0,0,0,0,0,0,0.152248385122181,0,0,0,0,0,0,0,0,0.364725791307284,0,0,0,-0.0217380587131973,0,0,0.0200819217219099,-0.065627356716876,0,0,0,0.00289899877794871,0,0,0,0,0,0,0
X002304.SZ,0,0.266572185305212,0.123828843573001,0.147691252487174,0,0,0,0,0,0,-0.0416233794495633,0,-0.123633883137421,0,0,0,0,0,0,0,0,0,0,0,0.0245398991817599,0,0,0.0440397930595021,0,0,0,0,0,0,0,0,0,0,0,0,0.169744215114568,0,0,-0.106712742650542,0,0,0,0,0,0,0,0.00514085572146638,0,0,0,0,0,0,0
X600104.SH,0,0,-0.0240780497482856,0,0.0126738589157995,-2.16840434497101e-19,-0.0504716974063481,0,0,0,0,0,0.199349677463986,0,0.125543758143974,0,-0.0380039734265878,0,0,0,0,-0.0570007857023632,0,0,0,0,0,-0.016452261886702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323568721675653,0,0,0,0,0,0,0,0,0,0.0552417224373962,0,0,0,-0.181758826481494,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156184734022617,0,0,0,0,0,0,-0.0257809763674578,0,0,0.0766722326619343,0.117174687739681,0,0.0913248203750712,0,0,0,0.200285936556382,0,0.063107003337016,0,0,0,-0.0833844213935569,0,0,0,0,0,0,0,0,0,0.184984434807692,0,0,0,0.0340411370865588,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0992062020032451,0.0560951719621638,0,0.0700401638263737,0,0,0,0,0,0,0,0,0,0,0.0939901449715278,0,0,0,0,0,0,0,0,-0.178917330555955,-0.0683009340377611,0,0,0,-0.0252058808561229,0,0.092544201859225,0.205938519961849,0,0,-0.0579665030057582,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.024281818557293,0.0454344378199806,0,0,0,-0.0544176989215442,0,0
