,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600703.SH,X600118.SH,X000559.SZ,X600031.SH,X600271.SH,X000100.SZ,X600066.SH,X600372.SH,X000157.SZ,X600741.SH,X002475.SZ,X002236.SZ,X002241.SZ,X600089.SH,X002292.SZ,X300124.SZ,X000338.SZ,X002465.SZ,X300003.SZ,X000568.SZ,X600839.SH,X600177.SH,X002129.SZ,X002294.SZ,X002074.SZ,X600867.SH,X002506.SZ,X000547.SZ,X000977.SZ,X000800.SZ,X002008.SZ,X002276.SZ,X000869.SZ,X600498.SH,X300001.SZ,X600582.SH,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.346530718753719,0,0,0,0.142795395943095,0,0,0,0,0.0457288912153275,0,0,0,0,-0.00885633922196977,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.0109522128174473,0,0,-0.00646405836937488,0,0.207712120075962,0,0,0,0,-0.0441710778813353,0,-0.064921416135697,0,0,0,0,0,0,0,-0.0259264782420467,0,0,0,-0.0517378398576002,0.133939505358201,0.13557520823196,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.160516460028039,0,0.0727413385202513,0,0,0,0,0.0378391321898308,0,0,0,0,0,0.248002278805537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011139552730515,0.000489167690880908,0,0,0.0729268296718325,0,0,0,0,0,0,0,0,-0.047292152786476,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208876997964246,0,0,0,0,0,0,0.0193607629322319,0,0.24773085360742,0,0.0295548232851931,0.00198623157730954,0,0,0,0,0,0,0,0,0,0,0.0301475538868295,0,0,0,0,0,0,0,0.00962385869274301,0,0.266496950510893,0,0.0302068840674518,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0861750568443125,0,0.00782434658663825,0,0,0.0747680485328643,0.0929591508388547,0,0.265853964381991,0,0,0,0,0.110113585198478,0,0,0,0,0,0,0,0,0,0.0487148369014652,0,0,0,0,0,0.0166961770182576,0,0.0110717125425114,0,0,0,0,0,0.0128865028738038,0,0.0989595684751078,0,-0.0204022349001454,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0161376101256418,0.0114779354881462,0,0,0,0,0,0,0,0,0,0.279500975368712,0,0,0,0,0.129222894220171,0,0,0,0,0,0,0,0,0.13284283748767,0,0,0,0,0,0,0.0182284815044938,0,0,0,0,0,0,0.0337438666297851,0,0.186752802494301,0,0,-0.00922163887760197,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.118671583078298,0,0,0,0,0,0,0,0,0,0,0.192631261299233,0,0.12108106513163,-0.0517957920691627,0,0,0,0,0,0,0,0,0,0,0.0145157346370235,-0.0421449311046898,0,-0.104756919653296,0,0,0,0,0,0,0.148024471220469,0,0.108954052399012,0,0,-0.0631443546615737,0.110534178826431,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.138999943508365,0,0.372225727121612,0,0.0524017894038248,0,0,0,0,0,0,0,0,0.0301006765007318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0264536571696914,-0.0722851095583419,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551866325301422,0.060093565588842,0,0.278845901397216,0,0.00973211554403994,0,0,0,0,0,0,0.0871141152807413,0.371689690152583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025355251130607,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.087737407531595,0.126641005125218,0.172472085736199,0,0,0,0,0,0,0.0274294803559344,0,0,0,0.205599497691626,0,0,0,0,0,0.0365242235833882,0,0,0,0,0,0,0,0.00213100019823693,0.0726460795680071,0,0,0,0,0,0,0,0.0604151985765741,0,-0.00968691524187863,0,0,0,0,0,0,0
X000625.SZ,0,0.180175889814846,0,0,0,0,0,0.036662347460522,0,0,0,0,0,0,0,0,0,0,0.0532402878862089,0,0.0436541823379357,0.188955929723385,0,0,0,0,0,0.0676364331629268,0,0,0,0,0,0.074282651160212,0,0,0,1.0842021724855e-19,0,0,0.167184228697089,0,0,0,0,0,0,0,0,0.00730436082897485,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0.312711273857025,0,0.0902842289561609,0,0,0.0618153778053052,0,0.0288809779274816,0,0.0644161312865938,0.176635109714907,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0.016558148313413,0,0,0,0,0,0,0,0,0,0,0,-0.0114054658198533,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0.168840564566864,0,0.0289750458221142,0,0.0102350537462362,0,0,0,0,0,0,0,0,0,0,0,0.0902198179506362,0,0,0,0,0.0915574176390049,0,0,0,0.0738713988543009,0,0,0,0,0.0681578737238571,0,0.110652643231506,0,0,0,0,0,0,0,0,-0.0478637891827083,0,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00693979715244868,0,0,0,0.343803471726594,0,0,0,0,0,0,0.0611390650196936,-0.206202666920004,-0.0672436603686733,0.296395972276437,0,0,0,0,0,0,0,0,0,0.223649170541693,0.0743321212676335,0,0,0.0788964480621326,0,0,0.1455802231947,0,0,0,-0.0120052368813658,0,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569131010585813,0,0,0,0,0,0,0,0.130156244066569,0,0.211616226055819,0,0,0,0.0982575859904688,0,0.166246034237837,0,0,0,0,0,0.0495313105181101,0,0,0,0,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0838438268744445,0.0851175614052122,0,0.00513510864066677,0,0,0,0.290200365567533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0881433504556203,0,0,0.0120237763527837,0.0175216530783879,0,0.0534720055962687,0.0718505703455943,0,0,0,0,0,0,0,0,-0.0276924573270169,0,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121210078789918,0,0,0,0,0.260770918215099,0,0,0,0,0.140847142863809,0,0,0,0,0,0,0,0,0.0313503141797992,0,0.099620961226322,0.191983010576684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0.0728611614929361,0,0,0.00806245749604782,0,0.167253888822309,0.139947630577619,0.0960873682719873,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765496363984087,0,0,0,0,0,0.0166482742401356,0,0,0,0,0.124068327141241,0,0,0,0.0221548288935518,0.0147382555987165,0,0,0,-0.0191075476268224,0,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0.0155514267650934,0,0,0,0.0110697970475311,0,0,0,0,0,0,0,0,0,0,0.23003679851508,0.047505775325372,0.248424416696303,0,0,0.0525510139351198,0,0,0,0,0.0263056187304589,0,0,0,0,0.119836255844668,0,0,0,0,0.071915546841035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,-0.0664971622294968,0,0,0,0,0,0,0.272918195150215,0,0,0,0,0,0,0,0.205804647563028,0,0,0,0,0.138307167577458,0.354094719644752,0,0,0,0,0,0,0.0905986630599017,0,0,0,0.0827475611002243,0,0,0,0,0,0,0,0,0,0,0,-0.0107747007317698,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105843315364394,0.179931292973973,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475841694801387,0,0,0,0,0.0448576538313295,0,0,0,0.0174748240059319,0,0.185067488005869,0.0323693063041811,0,0,0,0,0,0,0,0,-0.0537009883003454,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0.0221617124437566,0.247019204829355,0,0.23180923087474,0.0418367719481873,0,0,0,0,0,0.0914109875830709,0,0,0.0549928530837284,0,0,0,0.0694311124017756,0,0,0,0.153777897222806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00981024647531741,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0.203500045661124,0,0.0716742296748063,0.041881819383646,0,0,0,0,0,0,0,0.0648770759918296,0,0,0,0,0,0,0,0.343600618303149,0,0,0,0,-0.0335870858377237,0,-0.0734527679655137,0,-0.0109193208498765,-0.115749943217124,0,0,0,-0.136595475719696,0,0,0,0,0,0,0.482620906548013,0,-0.00949768583408086,0,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672674457823889,0.106495645688187,0,0,0,0,0.197008601177288,0,0.0140940983477431,0,0,0.00885985583674408,0,0,0.0507821009089966,0,0,0,0,0,0,0,0,0,0,0.00341004181657651,0,0,0,0.0617329529377871,0,0,0.254847579478275,0,-0.00895127273692464,-0.0584404087982904,0,0,0,0,0,0
X002241.SZ,-0.0457116848921431,0,0,0,0,0,0,0,0,0,0,0,0,0.207681976305499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183085278091123,0,0,0,0.33876545390224,0,-0.0566347537813415,0,0,0,0,0,0.237985898028938,-0.122428745681104,0,0,0.0328498035720337,0,0,0,-0.00754099002622844,0,-0.0374296852320191,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0.36716245979251,0,0,0,0.0649639148264265,0.0510824870802154,0.0966716915732191,0.0251603013271579,0,0,0,0,0,0,0,0,0,0,0.00658030568839977,0,0,0,0.0202102731869872,0,0,0.0609109754865515,0,0,0,0,0,0.0307913346327655,0,0.0704947153596236,0,0,0,0,0,-4.33680868994202e-19,0,-0.00899755281858967,0,0,0,0,0,0,0
