,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002304.SZ,X002475.SZ,X600690.SH,X600104.SH,X000651.SZ,X300014.SZ,X600031.SH,X000725.SZ,X002371.SZ,X300124.SZ,X000063.SZ,X002129.SZ,X000625.SZ,X003816.SZ,X000338.SZ,X002241.SZ,X600703.SH,X002049.SZ,X000596.SZ,X601877.SH,X000661.SZ,X300142.SZ,X002179.SZ,X600089.SH,X600460.SH,X000100.SZ,X600741.SH,X000799.SZ,X002074.SZ,X000157.SZ,X002236.SZ,X600884.SH,X600702.SH,X601799.SH,X600779.SH,X600584.SH,X000733.SZ,X002007.SZ,X002414.SZ,X600183.SH,X000800.SZ,X300003.SZ,X000977.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.495037107973111,0,0.0512580643936088,0.0312997637329104,0,0,0,0,0,0,0,0,0,0.000600313302079969,0,0.0775393422489389,0,-0.0322602525387133,0,0,0,0,0,0,0.0675113117457388,0,0.0264450830263162,0,0,0,0,0,0,0,0,0,0,0.0212559340740386,0,0,0,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,-0.00536424543146807,0,0,0,0.0111389429298899,0,0
X000858.SZ,0.138963794750586,0,0,0,0.167103193058668,0.0119717837242433,0,0,0,0,0,0,0,0,0,0,0,0,-0.00969673009548844,0,0,0,0,0,0,0,0.0657103752745163,1.0842021724855e-19,-0.016594581528063,0,0,0,0,0.160629429397926,0,0.00383089219445498,0,0,0,0,0.243577803893986,0,0,0,0,0,0,0,0,0,0,0,-0.0324871521370888,0,0,0,0,0,0
X002415.SZ,0,0.151709989868327,0,0,0,0,0,0,0.163615051577554,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0.0885298781783488,0,0,-0.0357689902202771,0,0.00967375684167075,0,0,0,0,0,0,0,0,0,0.0941431391005564,-0.0113059969283676,0,0.0468788399881929,0,0,0,0,-0.100467824784945,0,0,0,-0.114226472852814,0,0.00433133939313245,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.195458385428663,0,0,0,0,0,0,0,-1.35525271560688e-20,0,0,0,0,0,0,0,0,0,0,-0.0183066638184924,0,0,0,-0.020997469692049,0,0,0,0.477950654095007,0,0,0,0,0.106877286497345,0,0.0824788443474152,0,0.0433128613794672,0,0,0,0,0,0,0,0,0,-0.0210926489889451,0,0,0,0.0404267711872748,0,0
X000568.SZ,0,0.403058932943519,0,0.207694412933593,0,0,0,0,0,0,0,0,0,0,-0.0644553608838919,0,0,0,0,0,0,0,0,0,0,-0.00514099040757888,0,0.0194393595407813,0,0,0,0,0,0.0255902324217507,0,0,0,-0.0561217561451027,0.0498778174216076,0,0.0859953764724704,0,0,0,0,0,0,0,0,0,0,0.00542398080887577,0,0,0,0,0,0,0
X600276.SH,0,0.0752555428635017,0,0,0,0,0,0,0.158489202415892,0,0,0.0489212711855973,0.0496385065140795,0,0,0,0,0,0,0,0,0,0,-0.13957834126679,0,0,0,-0.0157081556039444,0,0,0,0,0,0.245573004593601,0,0,0,-0.0392094527062969,0,0,0,-0.0186121845721179,0,0,0,-0.211234554926423,0,0.46655690777345,0,-0.207933219277046,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0.0463157094403166,0,0.341577672633995,6.93889390390723e-18,0,0,0,0.0802813850281826,0,0,0,0,0.0225230578200048,0,0,0,0,0.122143406429168,-0.12138588753718,0,0,0,0,0.0471517125097827,0,0,0.0414269288122405,0,0,-0.0949588696461952,0,0,0.0578871854694234,0,0,0,0,0,0,0.0517004589614827,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0.0409392986969826,0,0,0,0,0,0.0375742576614608,0,0,0.126802121200362,0,0,0,0,0,0.0809898879945221,6.93889390390723e-18,0.0775985159471792,0,-0.00788320347683665,0,0,0,-0.243304793944595,0.0732689495943812,0,0,0,0,0,0,0,0,0.0751832923622273,0,0.0216718095802235,0,0,0,0,0,0,0,-0.209936452886552,0,-0.00433841523673908,0,0,0,0,0.0247735845098517,0,0
X600690.SH,0,0,0.109616802014323,0,0,0.00403207412087315,0,-0.00656601088281702,0,0,0,0.042988800771903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.045751461035051,0,0.038505162934955,-0.00558640831267211,0,0,0,0,0,0,0,0,0,0.178888609129448,0,0,0,0,0,0,0,0,0,0.0831311543891594,-0.000298124829559166,0,0,0,0,-0.0300660420955353,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176597131416591,0,0,0,0,0,0,0,-0.0559890325723483,0.0293005571021065,0.0209699479210175,0,0,0,0.203134766062924,0.0983211492184132,0.00473406764070636,0.0228958318232375,0,0,0,0,0,0,-0.0527601042387671,0,0,0,0.0115103636882261,0,0,0,0,0,-0.0196317555977632,0,0,0,0,0,0
