,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000625.SZ,X000063.SZ,X002292.SZ,X600703.SH,X600690.SH,X002241.SZ,X000100.SZ,X000559.SZ,X600271.SH,X600118.SH,X600031.SH,X600066.SH,X002236.SZ,X600741.SH,X600372.SH,X000157.SZ,X002475.SZ,X000338.SZ,X600089.SH,X600177.SH,X000568.SZ,X300124.SZ,X002049.SZ,X002465.SZ,X002129.SZ,X601877.SH,X000977.SZ,X002456.SZ,X002294.SZ,X000869.SZ,X300003.SZ,X002074.SZ,X600867.SH,X600582.SH,X002506.SZ,X002426.SZ,X002085.SZ,X600498.SH,X000623.SZ,X002008.SZ,X600839.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0193110178498525,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.119884961512594,0.0834799877711164,0,0,0,0,0.024280899434871,0,-0.0644032976201284,0,0,0,0.0312960933188333,0,0.044414566621561,-0.0506279841104456,0.0472851029634761,0,0.0139865104900585,0,0,0.0137181895314294,-3.46944695195361e-18,0,-0.0176933053394406,0.0282233507158967,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.315316902530454,0,0.00233990721192993,0,0,0,0,0,0,0,0,0,0,0,0,0.0873707400185448,0,0.0122879256923657,0.044866582568866,0,0,0,0.0260665218300149,0,0,0,-0.0640613470165584,0,0,0,0,0,0,0,0.0258625391545221,0.0306241365115801,0,0,0,0,0,0,-0.0528810455068079,0.0519439823825173,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0134366994134294,0,0,0,0,0,0,0.0445931656371411,0,0,0,0,0.168391377863087,0,0,0,0.279177485462907,0,0,0.0824774704374023,0.0268054920372936,0,0,0,0,0,0,0,0,0,0.0773257952723642,0,0.0408719528378669,0,-0.00414482687792378,0,0,0,0,0,0,-0.00178972143201542,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0493992161449943,0,0,0.152796755510655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311098326907141,0,0,0,0,0,0,0,0,0,0,0,-0.101025925885035,0,0,-0.00246920962790362,0,-0.011896517504616,0,0,-0.0120309582537995,0,0,0.0229931213641074,0.00502594737475387,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.0108419640593633,0,0,0.0244454234850021,0,0.018693325203953,0,0.035972220206135,0,0,0,0,0,0,0,0,0,0,0,0,0.00990036531986582,0,0.113457321358202,0,0,0.0361301742088504,0,0,0,0,0,0,0,0,0,0,0.110802747226436,0,0.109263413661535,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0.0995630182884826,0,0,0,0,-0.0102895023404679,0,0.0741127779722532,0,0.146593359650849,-0.233807419461213,0,0.0695462880667381,0,0,0,0,0,0,0,-0.00520326093548618,0,0,0,0,0,0,0.262691046036844,0,0.0567010453152418,0,0,0,-0.102792135425776,0,0,0,0,0,0,0.00455557113975833,-0.00789439975468887,0,0,0,0,0,0
X002304.SZ,0,0.00426580352845154,0,0.027721935455456,0,0,0,0.0772621056720053,0.01771470523384,0.0555092513581684,0,0,0,0,0,0,0,0,0,0,0,0,-0.0351217525538728,0,0,0,0,0,0.376887871559712,0,-0.0331260519230236,0,0,0,-0.0830229945540265,0,0.141720815904013,0,0.0269938914264583,0,0.0480078968078552,0,0,0,0,0,0,0,0,0,-0.0109044174485912,0.00769776681567773,0,-0.00472014728707878,0,0,0,0
X600276.SH,0,0,0,0,0,0.103694336836036,0,0,0.0932504112761333,0,0,0,0,0,0,0.0937105501156558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0810825968047281,0,0,0,0,0,0,0.0703021652320582,0,-0.0537305327833778,0,0,-0.0807163068626194,0,0,0,-1.73472347597681e-18,0,0,-0.0746138703433748,-0.0160015145345106,0.0250504128815227,0,0,0,0,0,0
X000625.SZ,0,0.153296439814176,0,0.0371206794977839,0,0,0,0,0,0,0,0,0,0,0,0.159444907501715,0,0,0,0.0489960914599304,0,0,0,0,0,0,0,0.17125969659339,0,0,0,0,0.0563576481650732,0,-8.67361737988404e-19,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0905236419919097,0,-0.0236995307527517,0,0,0,0,0,0,0
X000063.SZ,0,0,0.036792772178176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.115367589889114,0,0.0438450456444313,0.0349695178834611,0.222515699647267,0,0,0.00999461724257181,0,0.0177454362122376,0,0,0,0,0,0,0,0.0216308736859447,0,0,0.165453172761756,0,0,0.0553559598368187,0,0.000266744466304595,0,0,0,0,0,0,0
