,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X000568.SZ,X002304.SZ,X600031.SH,X000725.SZ,X000661.SZ,X600809.SH,X000063.SZ,X003816.SZ,X600690.SH,X002241.SZ,X600703.SH,X000338.SZ,X000596.SZ,X000100.SZ,X002007.SZ,X300124.SZ,X300142.SZ,X300014.SZ,X600741.SH,X002371.SZ,X002049.SZ,X000800.SZ,X300003.SZ,X002236.SZ,X000157.SZ,X601877.SH,X002414.SZ,X000625.SZ,X002129.SZ,X600584.SH,X300136.SZ,X600183.SH,X002179.SZ,X000066.SZ,X000977.SZ,X600118.SH,X601799.SH,X002456.SZ,X002294.SZ,X002185.SZ,X000050.SZ,X002008.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.201002594859533,0.058006943453335,0,0,0,0,0.08495709369494,0.0271583743980817,0,0,0,0.209746518917378,0,0,0,0,0.0107621622870918,0,0,0.0793948500494036,0,0,0,0,0,0,0.0134663606449793,0,0,0.0262145043490816,0,0,0,0.0819026527280979,0,0,0,0,0,0,0,0,0,0,0.0281313407872529,0,0,0,0,0,0,0.000270516832887222,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0599899845924638,0,0,0,0,0.224392600525557,0.049738120268217,0,0,0.394090320629985,0,0,0,0.0651988680985249,0,0,0.0358445763663428,0,0,0,0,0,0.0538499979394731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413404817612256,-1.38777878078145e-17,0,0,0,0,0,0.0384988728114818,0.0344006116100975,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.082049415956498,0.112912079170082,0,0,0.109676977369391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298211499192571,0,-0.063345582597452,0.0117216283217057,0,0,0,0.0295339853558926,0,0,0,0,0,0,0,0.0255316438657513,0,0.0147020732410787,0,0.153040310845918,0,0,0,0,0,-0.0194228983928515,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339041411369665,0,0,0,0.0721881144068689,0.0474969514883896,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.00303151886121252,0.0203594841253644,0,0,0,0,0,0,0.0373894725365135,0.0341832690737683,0,0.102614594447336,0.12770580195684,0.00371067778537398,0,0,0,0.0212804994092188,-0.0148290611910532,0,0,0,0,0,0
X002415.SZ,0,0,0,0.139126137705415,0,0,0,0,0,0.0796594074173678,0,0,0,0,0,0.18019428589606,0,0,0,0,0,0,0,0,0,0,0,0.0326634877248509,0,0,0.143460263753167,0,0,0,0,-0.0238282485680345,-0.00082988601366585,0,0,0,0,0.0431562124910687,0,0,0,0,-0.0161867882835457,0,0,0.0710737714350231,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0305648543802861,0,0,0.0448078153762229,0,0,0,0,0,0,0,0.0766122929542102,0.0585091728713906,0,0.182865305978241,0,0,0,0,0,0,0,0,0.100059080045703,0,0,0,0.0707849746038609,-0.0157747583049673,0,0,-0.00898992059091758,0,0,0,0.0234972258066266,0,0,0,0,0.00279420153948943,0,0,0,0,0,0,-0.0481768291598122,-0.0130478237583742,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.12883308328746,0,0,0,0,0,0,0,0.111372598727566,0,0,0,0,0,0,0,0,0.0487325641301765,-0.0271075348227998,0.0387074391319971,0,0.156325087546305,0,0,0,0,0,0,0,0,0,0.0383303966117905,0,0,0,0,0,0.08978223273716,0,0,0,0,-0.0255060418114821,0,0,0,0,0,0,0
X000568.SZ,0,0.0777894529700632,0,0,0,0,-0.0281883373757798,0,0.492057333576234,-0.267190474264174,0,0,0,0,0,0,0.164946401571368,0,0,0.252500873207683,0,0.037906745941509,0,0,0,0,0,0,0,0,0,0,0,0.0325673091530951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00496502287947471,0,0,0,0,0,0
X002304.SZ,0,0.168313583539153,0,0,0,0,0,0.434413651106532,0,0,0,0,0.0778739169957979,0,0,0,0,0,0,0,0,0,0,0.0509290025576859,0,0,0.0242303859488215,0,0,0,0,0,0,0,0,0.0487857208570817,0,0,0,0,0,0,-0.0032244462005229,0,0,0,0,0,0,0,0,0.0190796336599551,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0.00428313835285388,0,0,0,0,0,0,0,0,0,0.314575379287511,0.0375735480571037,0,0,0,0,0,0.10627607684509,0,0,0,0,0.013452223162195,0.422690693751655,0,-0.0362062736894798,0,-4.33680868994202e-19,0,0.0595069385583659,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,-0.0319505205819647,0.00326633014229583,0,0,0,0,0,0
