,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X000568.SZ,X600741.SH,X600031.SH,X000338.SZ,X600703.SH,X002475.SZ,X300003.SZ,X600271.SH,X601877.SH,X002008.SZ,X600487.SH,X300124.SZ,X002236.SZ,X000596.SZ,X600809.SH,X000661.SZ,X000100.SZ,X600867.SH,X002456.SZ,X002179.SZ,X000625.SZ,X300142.SZ,X002007.SZ,X600066.SH,X600498.SH,X000977.SZ,X600566.SH,X000157.SZ,X002294.SZ,X300136.SZ,X002241.SZ,X300146.SZ,X002180.SZ,X600522.SH,X600177.SH,X600089.SH,X600372.SH,X000050.SZ,X000869.SZ,X002506.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.440865606198214,0,0,0,0,0,0,0.0768786327956389,0,0,0,0.000280745917784981,0.00982105143634218,0.120632866701893,0,0,0,0,0.0519392632582362,0,0,0,0,0,0,0,0,0,0,0,0.0781590695561072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000616498519890606,-0.00307274893176747,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.216533214078974,0.102985247607171,0,0.299490383100946,0.0367866301735959,0.122000857488956,-0.0182731158473048,0,0,0,0,0,0,0,0,0,0,0.0113309632796655,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037055512183498,0,0,0,0,0,0,0,0,0,0,-0.033099514170222,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.143026320431715,0.096702922897115,0.0485457525242747,0,0.0287210182809595,0,0,0,0,0,0,0.0420405972477526,0,0,0,0,0,0.417350098942529,0.0246595912223321,0,0,0,0,0,0,0,0,0,0,0,0.174545864896286,0,0,0,0,0,-0.0542422443878147,0,0,0,0,-0.109887768106472,0,0,0,0,0,0.0178593191000627,0,0,0,0,0,0
X000858.SZ,0.391364699694345,0.0179652783586391,0,0,0,0,0.129831089557854,0,0.160994564838497,0,0.13194652054721,0,0.00475080742970457,0.0264369991172584,0,0.0430636146791206,0,0,0.0176357360149309,0,0,0,0,0.103763040872105,0,0,0,0,0,0,0,0.0707998143718695,0,0,0,0,-0.115608366130866,0,0.100938921356225,0,0,0,0,0,0,0,0,0,0,0,0,0.00641606483455862,0.00818697658852193,0,0,0,0,0,0
X000651.SZ,0.308726162070309,0,0,0.22389162396171,0,0,0,0,0,0,0.00857807965070888,0,0,0.0500848501302254,0,0,0.00246120045052456,0,0,0.240343289384868,0,0.0544752721149067,0,0,0,-0.0505284262806402,0,0.0799729995630538,0,0,0,0,-0.0241259688884713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00746811323484881,0.0138884441323692,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313332565122469,0,0,0,0,0,0.111332413723551,0.037653277640885,0,0.00751429085576856,0,0,0,0,0,0,0.0568456731065488,0,-0.0146814538055551,0,0.0566620894088315,0,0.334055944370768,0,0,0.215993588254435,0,0,0,0,0,0,0,0,0,0.0300889575048157,0.0325084578610653,0,0,0,0,0,0
X002304.SZ,0,0,0,0.205847758823613,0,0,0,0,0,0.139034845101403,0.523438265469836,0,0,0,0,0,0.0481532076784468,0,0,0,0,0,0,0,0.320299110108431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0856432613619187,0,0,0,-0.199069034632832,0,0,0,0,0.00612846284616756,0.0164739656885426,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130391921040413,0,0,0,0.129751715314568,0,0.0298685922654356,-0.021619848708458,0,0.0686979848477506,0.362116141256244,0,0,0,0,0,0,0,0.153817304019455,0.0162115199106251,0,0,0,0,0,0,0,0.0362132059608976,0,0,0.230408579723714,0,0,0,0,0.000960536263120313,0.0209307942232505,0,0,0,0,0,0
X600690.SH,0,0,0.000985608232379222,0.235798762500745,0.210335400609031,0,0,0.159713967074188,0,0,0,0,0,0,0,0.0474262135341712,-0.0595349411416808,0,0,0,0,0,0,0,0,0,-0.0174558691847835,0.144901085335805,0.202441545271961,0,0,0.0432265571269251,0,0,0,0,1.38777878078145e-17,0,0,0,0,-0.0536245688602719,0,0,0,0,0,0,0,0,0,0.00652081494826006,-0.0284340428596038,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.0580870877105133,0,0,0,0,0,0,0,0,0.331379671748746,-0.0296863918818879,0,0,0.0745816314680099,0.173060899837414,0,0,0,0.0961069776547097,-0.00875751190995394,0,0,0.0762976382712029,0,0,-0.0995734792877551,0,0,0,0,0.0379661523349616,0,0,0,0,-0.0541465187190303,0,0.233770017125766,0,0,0,0,0,0,0,0.00707307615842226,-0.016975045431844,0,0,0,0,0,0
