,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X600809.SH,X002475.SZ,X600690.SH,X000625.SZ,X000651.SZ,X600104.SH,X300124.SZ,X002304.SZ,X003816.SZ,X000725.SZ,X000596.SZ,X000338.SZ,X000063.SZ,X002371.SZ,X600031.SH,X002179.SZ,X300014.SZ,X000100.SZ,X600089.SH,X600703.SH,X002129.SZ,X002236.SZ,X600372.SH,X000661.SZ,X002241.SZ,X002049.SZ,X000157.SZ,X600584.SH,X600741.SH,X000977.SZ,X601877.SH,X600522.SH,X000800.SZ,X002007.SZ,X601799.SH,X600183.SH,X600460.SH,X002463.SZ,X002074.SZ,X300142.SZ,X600418.SH,X002180.SZ,X002028.SZ,X002294.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.384261331185663,0,0,0,0.151459428066773,0,0,0.00318862384091708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114711114485041,0,0,0,0,0,0,0,0,0.0975031985206672,0,0,0,0,0.0807481400943166,0.10773755534841,0,0.280469885225139,0,0,0,0,0,0.0532011845786657,0,0,0.0697839074312242,0,0
X000858.SZ,0.321150671980608,0,0,0,0,0.175807820713501,0,0.0728855267957234,0,0,-0.144406350638297,-0.0135480170553127,0.0724434846259467,0,0,0,0,0,0,0,0,0.114223674734248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804594255798955,0,0,0.0105492734733684,0,0,0,0.0103064474227795,0,0,0.00555002845120039,-0.0118694083809463,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0452635566866553,0,0,0,0,0,0,0.00672685097068084,0,0,0,0,0,0,0,0,0,0,0.238445982940462,0,0,0,0,0.083843647315709,0,0,0,0,0,0,0,0,0,0,0,0,0.103398652650647,0,0,0.137283290058046,0.00620051467047264,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0752160115155329,0,0.066577915051323,0,0.0284848063668017,0,0,0,0,0,0,0,0.108648037404892,0,0,-0.062996128421744,0,0,0,0,0,0,0,0,0.0160980077538047,0,0,0,0,0,-0.0140148575520484,0,0,0,0,0.0147159536083169,0,0,0,0,0,0,0,0,0.302824280489159,0,0,0.0094780482893185,-0.0033489242512003,0,0,0,0,0,0
X000568.SZ,0.314201871917012,0.158332606033585,0,0,0,0.180886056567861,0,0,0,0,0,0.155727582138197,0,0,0,0.292036393189781,0.072678294407728,0,-0.0423286998460094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00134409353161433,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0436686822184064,0,0,-0.00574695984954131,-0.00522453060263224,0,0,0,0,0,0
X600809.SH,0.277157513618182,0,0,0,0.0935243743897831,0,0,0,0,0,0,0,0,0,0,0.339353370236815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289372272158579,0,-0.0435269577687426,-0.0611302714624806,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0232250330460174,-0.0592129033477996,0,0,0,-0.0189372502926406,0,0
X002475.SZ,0,0,0,0,0,0.407818839587817,0,0,0,0,0,-0.243258690577019,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00788856684554699,0.109371985947295,0,0,0.144289952410234,0,0,0,0,-0.0381660090434693,0,0,0.0977383940634329,0,0,0,0,0.346810676468697,0,0,0.059157867170206,0,0,0.290531461705242,0.10693909129996,0,-0.0572522458830053,0.0969300165766455,0,0,0,0,0,0
X600690.SH,0.202476627335386,0,0,0,0,0,0,0,0,0.0428673439986932,0,0,0,0,0,0.116636897446187,0.0519745905277515,-0.0196051370401416,0,0,0,0,0,0,0,0,-0.00273387302164357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0163304577476542,0,0,0,0,-0.0173117165383791,0,0,0,0.0105974503264561,0,0,0,0,-0.0674209724679905,0,0
X000625.SZ,0,0,-0.0789614361476879,0.22245674284267,0,0,0,0,0,0,0,0,0,0,-0.152249853814662,0,0.313291489169671,0,0,0,0,0,0,0,0,0,0,0,0,-0.00916010951549922,0,0,0,0,0.0894327157069369,0.865740473302601,0,0.0764023788273424,0,0,0,0,0.0345648725418094,0,0,0.325522204662275,0,0,0,0,0,-1.0842021724855e-19,0.0308709539588456,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0263147022958594,0.18587026455365,0.039989249933361,0,0,0,0,0,0,0,0.00331308350975002,0,0,0,-0.107143957517578,0,0,0,0,0,0,0,0,0,-0.156422711405862,0,0,0,0,0,0.0616906942997904,0,0,0.0184139947593163,0,0,0,0,0.111436654407211,0,0,0,0,0,0,0.0813702270640247,-0.165373662451812,0,0,0,0,0,0
