,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X000568.SZ,X002475.SZ,X600741.SH,X601877.SH,X600703.SH,X600271.SH,X002236.SZ,X000100.SZ,X300124.SZ,X000625.SZ,X300003.SZ,X600498.SH,X600487.SH,X002008.SZ,X000661.SZ,X600809.SH,X002007.SZ,X300142.SZ,X002179.SZ,X000157.SZ,X600089.SH,X600066.SH,X600867.SH,X000596.SZ,X600177.SH,X600522.SH,X002506.SZ,X600566.SH,X600372.SH,X002180.SZ,X002456.SZ,X300146.SZ,X002241.SZ,X600118.SH,X600183.SH,X002294.SZ,X000977.SZ,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.308699464010564,0.196443931528239,0,0,0.00016800377377402,0,0,0,0,0,0,0,0,-0.0738016477721545,0,-0.0601002402651009,0,0,0,0.0496443656663185,0,0,0,0.0630781792728935,0,0,0,0,0,0.0900320035073595,0.298018989641906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112486908834496,0.0256827168523375,0,0,0,0.0339533869522393,0,0
X600104.SH,0,0,0,0,-0.0195267398375145,0,0.139690786826846,0,0.0365424517462101,0,0,0,0.059508396982672,0,0,0,0,0,0.0663735587086152,0,0.000527875280081483,0,0.0958341600471924,0,0,0.0358820733137128,-0.0695464385206465,0,0,0,0,0,0,0,-0.171442743180758,0,0,0,0,0.195727159701901,0,0,-0.0597284339464514,0,0,0,0,0,0.113326663935136,0,0,0.00544182523786441,-0.0777158476268865,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112491031131475,0,0,0,0,0.642099587745088,0.0128293593066449,0,0,0,0,0,0.0580762820852342,0,0,-0.0919216611650279,-0.0858906408337179,0.0851795665373385,0,0,0,0,0,0,0,0,0,0,-0.0229283446464936,0,0,0,0,0.291404470271199,0.0667399514864978,0,0,0,-0.00354930597490519,0.0244488284382094,0,0.0681530245781409,0,0.0812414773770036,0,0
X000651.SZ,0.185234277443479,0,0,0,0,-1.38777878078145e-17,0.182567433140814,0,0.143358831131711,0,0.160108686518373,0,0,0,0.032091462410346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199476612447688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208908790170034,-0.00974631878291242,0,0,0,0.108536527926781,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38686377107163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167529848421026,0,0,0,0,0,0,0,0,0.30700120764219,0,-3.46944695195361e-18,0,-0.0114609791712168,0,0.00780588450635299,0.0209821190357091,0,0,0,-0.0811542943740867,0,0
X000858.SZ,0.308684436038695,0,0,0,0,0,0.345556624910781,0,0.0170899222140712,0,0,0,0,0,0.0349178839929527,0,0,0,0,0,0,0,0,0.015730535887185,0,0,-0.0363677645446962,0.119454286718424,0,0,0,0,0,0.104756414970231,-0.0587400941105536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00368842658083573,0.0256261982966317,0,0,0,0,0,0
X002304.SZ,0.0691636989749952,0,0,0,-0.0182137813902894,0,0,0,0,0,0,0,0.466686315040687,0,0,0,-0.0443487927341019,0,0,0,0,0,0.161418215990452,0,0,0,0,0.110461433951597,0,-0.104340607992731,0,0,0,0,0,0.286285849218535,0,0,0,0,0,0,0,0.0297471761228377,-0.0241513828478453,0,0,0,-0.0406344692722027,0,0,-0.00494476917935789,0.0475866469351073,0,0,0,0.0298708852083304,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.155961849073144,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0331401376767993,0,0.0353788965725532,0,0,0,0,0.107317776079147,0,0,0,0,0,0.218738922368737,0,0.025308840265315,0,0,0.087264690865682,-0.12996561653216,0,0.16580604094085,0,0.206336150037694,0,0,0,0.00321042067922559,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.199766531000347,0,0,-0.0254195365602521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017987791742499,0,0,0,0,0,0.0466222626328723,0,0,0,0,0,0,0,0,-0.0266918774642514,0.0711266964684556,0,0,0,0,0.544067974119543,0,0,-0.0221102168305025,-0.00922561675010147,0,0,0,-0.0560562869369741,0,0
X000063.SZ,0.054255787223626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207528205146163,0,0,0.00150493927766917,0,0,0.275482841764421,0.0889234944022142,0,0,0,0,0.0465420052046539,0,0,0,0,0,0,0,0.166843042766107,0,0,0.2392044625088,0.0048416133398206,0.0498587028379269,0,0,0,0,0,0,0,0,0.0308388706241066,-0.0560962463379498,0,0,0,0.101553791339496,0,0
