,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X000568.SZ,X600031.SH,X600690.SH,X600809.SH,X002475.SZ,X002304.SZ,X600104.SH,X000725.SZ,X000661.SZ,X000338.SZ,X300014.SZ,X003816.SZ,X300124.SZ,X000063.SZ,X000100.SZ,X000157.SZ,X600703.SH,X000596.SZ,X002241.SZ,X002129.SZ,X600741.SH,X000625.SZ,X601877.SH,X002007.SZ,X002371.SZ,X002179.SZ,X300142.SZ,X002236.SZ,X002049.SZ,X002414.SZ,X600584.SH,X300003.SZ,X601799.SH,X600183.SH,X000800.SZ,X002074.SZ,X000799.SZ,X300146.SZ,X000066.SZ,X002008.SZ,X600089.SH,X600707.SH,X000977.SZ,X002294.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.193783465021858,0,0,0,0.102744775232902,0.126039688044736,0.0422666614489517,0.0203934171134087,0,0.0816221994013789,0,0,0,0,0,0,0,0,0.006672802666623,0.00760452565009361,0,0,0,0,0,0,0,0,-0.172286218364734,0,0,0,0,0,0,0.0799464587591961,0.0144435618358417,0,0,0,0.103168818762268,0,0,0,0,0,0,0,0,0,0,-0.00665168577473746,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.327210188395546,0,0.00685219866482313,0.153630028958972,0,0.0954647678861912,0,0,0,0,0,0,0,0,0,0,0,0.0187009240595179,0,0,0,0,0,0,0,0.00372159056621182,0,0,0,0.0325060905381402,0,0,0,0,0,0,0.120108668908701,0,0,0,0,0,0,0,0,0,0,-0.0215809447818467,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.00253519035293249,0,0.0615117758438196,0,-1.38777878078145e-17,0.021414710622599,0,0,0,0,0.0175533974584791,0,0,0,0,0,0,0,0,0,0,0,0,0.197227187359413,0,0.0869303859472558,0,0.577307151829829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130181864946538,0,-0.0597042800235735,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0654295011894627,0,-0.00858170028391947,0.048669555556789,0,0,0,0,0,0,0,0,0,0.158349543196239,0,0,0,0,0,0,0.0954295941485678,0,0,0,0,-0.166434370143498,0,0,0,0,0,0.145867718443716,0,0,0,0.00946541160454505,0,0,0,-0.0456620320063865,0,0
X000651.SZ,0,0.0729315309018432,0,0,0,0.0306887167441672,0,0.218119669129493,0,0,0.0188554684017488,0,0,0,0,0,0,0,0,0,0.0353544394746533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11447990421711,0,0,0.109377646558579,0,0,0,0,0,0.0318703015373696,0,-0.112651117995174,0,-0.0531842763907739,-0.0162392153761924,0,0,0,0,0.0388992074189445,0,0
X000568.SZ,0.0597767146929187,0.585375258658167,0.027984464459518,0,0,0,0,0,-6.93889390390723e-18,0,0.0749806413915194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303861215521884,-0.0179687967466944,-0.0404555441199071,0,0,0,-0.0396857809162648,0,0,0,0.0347901285868401,-0.0669306012117119,0,0,0,0,0,0
X600031.SH,0,0,0.0812964378859222,0,0,0,0,0.0746734214426939,0.233134292132249,0,0.00566907356183735,0,0,0,0,0,0,0,0,0,0.0668885837954613,0.217075832780014,0,0,0,0,0,0,0,0,0,0,0,0.163208056207828,0,0,0,0,0,0,0,0,0,0,0,-0.065586233126068,0.00122172365978207,0,0,0,0,-0.0122774886976596,0,0,0,0,-0.0106963781022157,0,0
X600690.SH,0,0,0.233160188840679,0,0.0423617796041427,0.0394705730382504,0,0,0.290459812481317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0546740163023728,0.200265067329758,0,0,0,0,0.0234708805361972,0,0,-0.0404183480438008,0,0,0,0,0,0,0,0,0,0,0,0,-0.0261856672692415,0,0.0864892326404895,0,0,0,0,0,0,0,-0.0826352239586234,0,0
X600809.SH,0,0,0,0,0,-1.73472347597681e-18,0.31940572673339,0.00332576544933545,0,0,0,0,0,0.0947349797601616,0,0,0,0.0549978793366176,0,0,0,-0.0240766276363135,0.245969016471929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514536584703247,0,0,0,0.166380020855497,-0.0238565055566536,0,0,0,0,0,0,0,0,8.67361737988404e-19,-0.0604068532478315,0,0,0,0,0,0
X002475.SZ,0,0,0.013455059293413,0,0,0,0,0,0.0629360638127738,0,0,0,0.0224676801819451,0,0,0,0,0,0,0,0.0998129247495841,0.00480075250662999,0,0.352677310473265,0,0,0,0,0.10351254458748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212310180711283,0,0,0,0,0,0,0,0,0,0.0658873805433947,0,0
