,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X600809.SH,X002475.SZ,X600690.SH,X000625.SZ,X000651.SZ,X300124.SZ,X002304.SZ,X600104.SH,X003816.SZ,X000725.SZ,X000596.SZ,X000338.SZ,X002371.SZ,X000063.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600089.SH,X600703.SH,X002129.SZ,X000661.SZ,X002236.SZ,X600372.SH,X002241.SZ,X002049.SZ,X000157.SZ,X600741.SH,X600584.SH,X000977.SZ,X601877.SH,X000800.SZ,X600522.SH,X002007.SZ,X601799.SH,X600183.SH,X300142.SZ,X002074.SZ,X002463.SZ,X002180.SZ,X600418.SH,X002028.SZ,X002294.SZ,X000066.SZ,X000733.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.505215634487685,0,0,0,0.0384643259427896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062476424682896,0,0,0,0,0,0,0,0,-0.151638935167865,0,0,0,0,0,0,0,0,0.173080845199662,0,0.0572008038368314,0,0,0,0.101708121147144,0.203011751545093,0,0,0,-0.00845633646809783,-0.000202908892448528,0,0,0,0,0.102561107509883,0,0
X000858.SZ,0.38034272984849,0,0,0,0,0,0,0,-0.0338964103926269,0,0,0,-0.0181003060641749,0,0,0,0,0,-0.0416039738521635,0,0,0,0,0,0,0,0,-0.0191596733359355,0,0,0,0,0,0,0.0585550246896678,0,0,0,0,-0.0749959160836076,0,0.183541734934169,0,-0.0286160161110273,0,0,0,0.0948552634086128,0,0,0,-0.0108615378589893,0,0,0,0,-0.0496705947961354,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0955493316711868,0,0,0.104392035614295,0,0,0,0,0,0,0,0,0.187305685764899,-0.0279496493069722,0,0,0,0.108131708758368,0,0,0,0,-0.107081062970121,0,0,0,0,0,0.00229607611624443,0,0,0,-0.149336367210111,0.0112998250350817,6.08999197572106e-05,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0866540179646871,0,0.0875879527283428,0,0.0116106798079876,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,-0.0620696623870493,0,0,0,0,0,0,0.232184748984161,0.0429145570037613,0,0,0,0,0,0,-0.0359367185619222,0,0.0181248240533257,0,0,0,-0.00718692940011741,0.00254996634248751,0,0,0,0,0,0.220749009007955,-0.038323997210663,0,0,0.00584724505593305,-0.000549522553176693,0,0,0,0,0,0
X000568.SZ,0.366530354107671,0.0902624497379485,0,0,0,0.232472076711367,0,0.032012833921902,0.0105028884810916,0,0.149104796499202,0,0,0,0,0.281405894077562,0.0377380996829239,-0.0456721662594254,-0.0287911847702566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0561059915926883,0,0,0.00966799908737008,-0.00543173970418732,0,0,0,0,0,0,0
X600809.SH,0.244335840215874,0,0,0.0133633103984236,0.34697210276073,0,0.0724778142676563,0,0,0,0,0,0,0,0,0,0,-0.0390923187023385,0,0,0,0.0496809482030021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0831687936793117,0,0,0.00677592257796921,0,0,0,0.0383544864797677,0,0,0,0,0,0.0659873377839247,-0.0267213340965938,0.0463221505664796,-0.0883124776823462,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0.308211276365135,0,0,0,0,-0.124501421127868,0,0,0,0,0,0,0,0.0876218558919143,0,0,0,0,0,0,-0.0143704340627861,0,0.0594830326837685,0,0.132394629141052,0,0,0,0,-0.0866329191161636,0,0.126061427933203,0,0,0,0,0,0,0.342163387920614,0,0.021450965479047,0,0.160982423383641,0.128850852268993,0.0642558289246118,0,-0.100720458554339,0.135280823067764,0,0,0,-0.20831523067978,0,0
X600690.SH,0.150493594044707,0.0594531365321922,0,0,0,0,0,0,-0.026606903070181,0.18441051082344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872196435534563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.057121821078584,0,0,-0.0110110489306148,0,0,-0.000417063774031672,0,0.00979974421005811,0.00808751058446319,0,0,0,0,0,0
X000625.SZ,0,0.024085974531067,0,0.0894504937403473,0,0,0,0,0,0,0,0,0,0,-0.123551056821068,0,0,-0.0719857350023067,-0.0019618930605808,0,0,0,-0.0208717182042428,0,0,0,0,0,0,0,0,0,0,0,0,0.397514264535677,0,0,0,0,0,0,0,0,0,0.501077323861531,0,0,0,-0.0297695856512368,0,-0.0235932678387474,0,-0.186136419026885,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.00328545337060468,0.160447548862407,0.0150982597206335,0,0,0,0,0,0,0,0.0516364322143509,0,0,0,0,-0.11419960364092,0,0,0,0,0,0,0,0,-0.201162266963714,0,0,0,0,0,0.00666972070424071,0.0860643975177012,0,0,0,0.124048294011815,0,0.097691095050344,0,0,0,0,0,0,0,0.0896109641214112,-0.170935311999443,0,0,0,0,0,0
