,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X600031.SH,X002475.SZ,X000338.SZ,X002236.SZ,X000625.SZ,X002008.SZ,X600487.SH,X002456.SZ,X601877.SH,X002241.SZ,X000100.SZ,X600066.SH,X600809.SH,X002508.SZ,X300136.SZ,X300124.SZ,X300003.SZ,X002294.SZ,X600522.SH,X600867.SH,X600271.SH,X600089.SH,X000157.SZ,X000981.SZ,X000596.SZ,X002085.SZ,X600177.SH,X600566.SH,X600699.SH,X600498.SH,X300142.SZ,X000661.SZ,X002179.SZ,X600118.SH,X002129.SZ,X600584.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,-0.178337399226205,0,0.474569028987389,0,0,0.291303243034308,0.0756630870307596,0,0,0,0,0,0,0,0,-0.0721070290226021,0,0,0,0,0,-0.0637202955176371,0,0,0,0,0.0234548376053028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518280463923991,0,0,0.0725477222300139,0.0666370401311182,0.0314538405816444,0,-0.0537929633796149,0,0,-0.0213753244568984,0.0408374559651891,0.0348406160562109,0,0,0,0,0
X600104.SH,0,0,0,0,0.144724998394442,0,0,0.0633944355526643,0,0,0,0,0.153297090702575,0,0.0756796685754094,0,0,0,0,0,0,0,0,0.0882991548015691,0,0,0,0,0,0.108612164685081,0,0,0.0954149290920802,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,-0.0595749795442826,0,0,-0.0400646850648249,0.051234316634777,0,0,0,0,0,0
X002415.SZ,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0394941433174016,0.0523995930011994,0.00518524513108505,0.0282874361921613,0.019826402572949,0,0.00841341204687223,0.127877507861228,0,0.276012558700753,0.236541466803159,0,0.0728993012813273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259089159578775,0,0,0,0.118624890425266,0,0,-0.00744364693048097,-0.0121242435374566,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.231449976445965,0,0,0.243839976729385,0,0,0,0,0,0,0,0,0.104104174020777,0,0,0,0,0,0.258508545557018,0,-0.0659542504727908,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.00451080119441917,0,0,0,0.00460669643879608,0,0,0,0,0,0
X000651.SZ,0,0.10139856872268,0,0.223116737276783,0,0,0,0.0792046250091437,0.0198994221261265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.0556730170815971,0.138085730500059,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,-0.00261008728750747,0.0244785484321153,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.466370871677289,0.0531036276773231,-0.312013421615518,0,0.102502453646561,0,0,0.120714902767902,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.275673736488173,0,0.0576131012734127,0.29551743133308,0.0432377132925697,0.0170495209556232,0.0514871845007714,0,0,0,0,0,0.265178610388241,0,0,0,0,0,0,0,-0.00578710151297913,0,0,0,0,0,-0.0421031968765028,0.120357071066239,0,0,0,0,0,0
X600276.SH,0.0457708329176206,0,0,0,0,0,0,0.0323009581369299,0,0.0884167909025098,0,0.304083858337618,0,0,0,0,-6.93889390390723e-18,0,0,0,-0.0535320933447206,0,0,0,0,0,0,0,0.138437604331683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0642379965349647,0,0,0,0,0,-0.119818458040331,0,-0.0204513582709301,0.055413761590067,0,0,0,0,0,0
X002304.SZ,0.198036808758982,0,0,0.260617925789025,0,0,0,0,0,0,0.160976110569639,0,0.110873163208488,0,0,0,0,0,0,0,0,0,-0.0350130133048439,0,0,0,0.0426804617075279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035050208284917,0.0354741120210507,0,0,0,0,0,0,-0.00970782778077644,0.043121801565613,0,0,0,0,0,0
X000063.SZ,0,0,0,-0.0655706300995434,0,0.345982488728006,0,0,0,0,0,0,0,0,0,0,0.217391862928455,0,0.0308699071555047,0,-0.0381145330183928,0,0,-0.0562281113796089,0,0,0,0,0,0,-0.0900740473445384,0.2472377802501,0,0.125167936363448,0,0,0,0,0,0,0,0,0.309811668943738,0,0,0,0,0,0,0.215281342410663,0,-0.0181126041565818,0.0399926866617996,0,0,0,0,0,0
X600690.SH,0,0.294892224735974,0,0.0187819428388824,0,0,0,0.125837257896564,0,0,0.0767221419888045,0,0.143866346859769,-0.0176871210209988,0,0,0,0,0.12437536201909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142642304883443,0,0,0,0,0,0,0,0.0732184903614178,0,0,0,-0.00586113693936679,0,-0.00587126420439807,0,0,0,0,0,0,0
