,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002475.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X002241.SZ,X600183.SH,X600703.SH,X000596.SZ,X002007.SZ,X300003.SZ,X601877.SH,X002236.SZ,X000157.SZ,X000100.SZ,X300142.SZ,X000066.SZ,X002463.SZ,X002008.SZ,X300124.SZ,X002179.SZ,X300136.SZ,X600271.SH,X000625.SZ,X600867.SH,X002506.SZ,X600177.SH,X002129.SZ,X300014.SZ,X600498.SH,X000977.SZ,X600066.SH,X002049.SZ,X002456.SZ,X002180.SZ,X002371.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,-0.0172158985278931,0,0,0,0,0.640411144229964,0,0,0,-0.0450026373626854,0,-0.0135434835771545,0.0317223916218523,0,0,0,0,0,0,0,0,0,0,0,0,0.0183498564271689,0,0,0,0,0,0,0,0,0.0345634161168771,-0.0754617027897384,0,0,0,0,0,0,0.0193098387782655,0,0,0,0,0,0,0,0.0180486971723557,0,0
X000858.SZ,0.215141218587934,0,0,0,0.0413345195923736,0,0,0,0,0,0,0.455173148932631,0,0,0,0,0.134873722945137,0,0,0,0.0188523858898096,0,0,0.0301600784104116,0,0.00358595970791166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191854493802516,-0.00857079584358627,0,0,0,0,0.0668650453676535,0,3.46944695195361e-18,0,0,0.0123639062420116,0,0,0,0,-0.00777516242736604,0,0
X600276.SH,0,0,0,0,0,0,0,0.076207646488924,0,0,0,0.19690841656136,0,0,0,0.107490822447798,0,0.110101465205637,0,0,0,0.0288617480461443,0,0,0,0,0,0,0.0530194837903222,0,0,0.039563918175947,0,0,0,0,0,0.0291096502124751,0.0395400431704198,0,0,-0.0273661083559037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366929250289225,0,0
X000651.SZ,0,0,0,0,0.0977629002007524,0,0,0,0,0,0,0,0,0,0,0,0.112707592262507,0,0,-0.0531564134130854,0,0,0.285482467943109,0,0.0684980663537756,0,0,0,0,0.112288784558937,0,0,0.0738432979661598,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.0510829773927175,0,0,0,0,0,0,0,0,0.00390524888138214,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.155826794864692,0,0,0,0,0,0,0.106714860585296,0,0,0,0.0173048337370321,0,0,0,0,0.130826022675699,0.513241601983852,0,0,0,0,0,0,0,0,-0.0334602547353746,0,0,-0.0303558233802008,0,0,0.0205301994717559,-0.000564836496676971,0,0,0,0.0251185598959952,-0.0466328656514194,0,0,0,0,0.0139875928254519,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.0358244036924497,0,0,0,0,0,0,0,0,0.159747480680668,0,0,0,-0.0867277140885225,0,0,0,0,0.0704534096358159,0,0,0,0,0,0,0.0747703998168309,0,0,0,0,0,-0.0485615368731173,0,0,-6.93889390390723e-18,0,0,0,0,0.067806347475933,0,0,0,0,0,-0.0071929461376578,0,0,0,0,0.00441171300894832,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.123459857837308,0.0615607165503276,0,0,0.158555595488797,0,0,-0.26457305453252,0,0,-0.181113669767776,-0.0246153278559346,0,0,0,0.0393225848896656,0,0,0,0,0,0,-0.0677488275741433,0,0,0,0.148204377248525,0,0,0,0,0,0,0.0248792079153946,0,0,0,0.10047229754708,0,0
X002475.SZ,0,0,0,0,0.105724693144164,0,0,0,0,0.0571326632291296,0,0.0803302133936311,0,0,0,0.143571080189763,0,0,0,0,0,0,-0.0380580557792383,0,0,0,0,0,0,0,0.000667474396380818,0.167658822009866,0,0,0.089472201514411,0,0,0,-0.105366922479146,0,0,-0.014787318892536,0,0,0,0.0559559971925865,0.184148098686812,0,0,0,0,0.0318499914919966,0,0,0,0,-0.0167677060099135,0,0
X002304.SZ,0,0,0.16007749756985,0,0.105062306913246,0,0.161730282361936,0.0670257449298295,0,0,0,0.116528893978876,0,0,0,0,0,0,0,0,0,0.0331069477245024,0,0,0,0,0,0,0,-0.0112025511913764,-0.00323580557637216,0,0,0,0,0,0,0.109774849532879,0,0,-0.0145542317082994,-0.0249410154536728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0718967679787989,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.331265659109314,0.183054851411445,0,0,0,0,0.0130402730662743,0,0,-2.16840434497101e-19,0,0,0,0,0,0.494027739599752,0,0,0,0.134721783779035,0,-0.14901000661072,0,0,-0.105688223954266,0.0824098444432954,0,0,0,0,0,0,0.245406542913593,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0769929862996807,0,0
