,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002475.SZ,X002304.SZ,X600690.SH,X600276.SH,X300014.SZ,X600104.SH,X002129.SZ,X000651.SZ,X300124.SZ,X000625.SZ,X002371.SZ,X000725.SZ,X003816.SZ,X002049.SZ,X600031.SH,X000596.SZ,X002241.SZ,X600703.SH,X000063.SZ,X000338.SZ,X600089.SH,X002179.SZ,X600522.SH,X000661.SZ,X601877.SH,X002074.SZ,X300142.SZ,X002180.SZ,X600884.SH,X600741.SH,X000100.SZ,X000733.SZ,X600460.SH,X000157.SZ,X600702.SH,X600584.SH,X002414.SZ,X000799.SZ,X601799.SH,X002236.SZ,X600418.SH,X600563.SH,X600487.SH,X000800.SZ,X002176.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.275040972036592,0,3.46944695195361e-18,0,0,0,0.0054964305612616,0,0,0,0,-0.0313557893594427,0,0,0,0,-0.0113324845368235,0,0,0,0,0,0,0,0.0301999105412915,0,0,0,0,0,0,0,0,0.0881100049065758,0.0523222195101214,0,0,0,0,0,0,0,0,0,0,-0.0428723369663,0,0,0,0.0155623459062861,0,0,0,-0.00788703018822964,0,0
X000858.SZ,0,0,0.365537840975783,0,0,0,0,0,0,0,0,0,0,0,0,0.0137888029135765,0,0,0.0480068863496568,0,0,0.08079174086925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176549380228652,0,0,0,-0.0530563524600622,0,0,0.00945497886725428,0,0,0.0569903905933634,-0.0490653395382848,0,-0.000323141456813578,0,0,0,0,0,0
X600809.SH,0,0,0,0.280331294127493,0,0,0,0,0,0,0,0,0,0,-0.0738996404951673,0.126601261147261,0,0,0,0,0,0,0,0,0,-0.0474822015704258,0,0,0.0923919932662218,0,0.107094964686857,0,-0.123590678356521,0,0.0263152868563761,0,0,0,0,0.142617042515744,0,0,0,0,0,0,0,0,0,-0.00639833271423449,0.212178934189904,0,0,0,0,0,0,0,0
X000568.SZ,0,0,0.232318207047843,0,0,0.0612202662384409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120994491270189,0,-0.0177957607468388,0.0596579500740861,0,0,0,0,0,0,0,0,0,0,0.328211123409234,0,0,0,0,0,0,-0.00736376377718564,0,0,0,0,-0.0325995060574442,-0.000770642823713453,0,0,0,-0.0185746063745096,0,0
X002415.SZ,0,0,0,0,0,-0.046431909978242,0,0,0,-0.0578730044506253,0.0463788377651608,0,0,0,-0.0272120031393112,0,0,0,0,0,0,0,0,0,0,0,0,-0.0350928009622179,0,0,0,0,0,0,0,0,0,0,0,0.15217527686662,0.0845436000587216,0,0,-0.00135650368081259,0.793535782690169,0,0,0,0,-0.0181164068294859,0,0,0.010378129802146,0,0,0,0.00862806196679586,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689927371330117,0,0,0,0,0,0,0.168657298048926,0.00352810446113822,0,0,-0.059881019187003,0,0.111585257530722,0,0,0,0,0,0,0,0.229872928860744,0,0.186370943573314,0,0,0,0.0314797377239619,0,0.0769562215957875,0,0.0514791069893477,0.0182301654964695,0,0,0,0,-0.108699130079073,0,0,0,0,-0.06243679749605,0,0
X002304.SZ,0,0,0,0.18369009669867,0.0113601468030733,0,0,0,0.00849695987896781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000563378190473192,0,0,0.000138339405439728,0,0,0,0,0.0577761169432053,0,0,0.28247090208793,0,0,0,0,0,0.0417069894181925,0,0,-0.0508406443959848,0.035685889669238,0,0.0127813541237232,0,0,0,0,-0.013442757880276,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.190673283166685,0,0,0,0,0,0,0.0846857725085292,0,0.148618177594385,0,0.116370967419562,0,0,0,0,0,-0.0573990352870347,0,0.000558331649890699,0,0,0.120633987660591,0.0408734827389215,0,0,0,0,0.0321036001994931,0.0403321675427974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0340093023553183,0,0,0,0.181312079481227,0,0,0,-0.244832524294581,0,0,0,0,0,0,0.0788326937502393,0,0.439299327280272,0,0,0,0,0.160972414528083,0.0674706388970303,0,-0.109548419875606,0,0,0,0,0.269869812278211,0.0437070309304476,0,0,0,0,0,0,0,0,-0.178746240508653,0,-0.11674755787089,0,0,0,0,0.0891617086975788,0,0,0,0.0335538884842468,0,0
X300014.SZ,0,0,0,0,0,0.239723740834869,0,0,0,0,0,0,0,0,0.0162828689049333,0,0,0,0,0,0,0,0,0,0,0,0,0.0286730535422796,0,0.143433867517395,0.0275626759601522,0,0,0.0888982649016029,0,0,0,0,0,0,0,0,0,0.0714862501365019,0,0,0,0,0,0,0,-0.00877688573417165,-0.0189024600361261,0,0,0,0,0,0
