,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000568.SZ,X600703.SH,X002475.SZ,X600741.SH,X000338.SZ,X600031.SH,X300003.SZ,X000063.SZ,X002236.SZ,X600809.SH,X600271.SH,X002008.SZ,X600867.SH,X601877.SH,X002456.SZ,X000596.SZ,X300124.SZ,X600487.SH,X000100.SZ,X600566.SH,X600066.SH,X000625.SZ,X002294.SZ,X000661.SZ,X300136.SZ,X002007.SZ,X000977.SZ,X002179.SZ,X002180.SZ,X002241.SZ,X000157.SZ,X600498.SH,X000050.SZ,X000981.SZ,X300142.SZ,X000869.SZ,X002049.SZ,X600522.SH,X002508.SZ,X600779.SH,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.286543217395108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165784351187996,0.0512758811526876,0.0141542520771316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248789799157136,0,0,0,0,0.0164975102400964,0,0,0,0.0849769949105765,0.0149113783343489,0,0,0,0,0,0.0185568662386502,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.041167485665135,0,0,0,0,0,0,0,0,0.156345760184971,0,0.202310591583325,0,0.0153649749288873,0,0,0,0.052043849502608,-0.0453186132577189,0,0,0,0.0723604704628337,-0.0727724848787996,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,-0.109242626329089,0,0,0,0,0,0,0,0,-0.00397172391097698,0,0,0,0,0.0240201910336373,0.032830359886858,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0233385427458821,0.0358506410999216,0,0,0,0,0,0,0,0,-0.103042706049892,0.160673853401787,0,0,0.0476754986030763,0,0,0,0,0,0.0559498849545719,0,0,0,0,0,0,0.0910480706983972,-0.0156829654176195,0,0,0,0,0,0,0,0,0,0,0,0,0.180077547517276,0.0207768237654281,0,0,0.00338725672766662,0.0121957961098045,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.14081948306469,0.0874460483340164,0.0217215958799117,0,0.186303471061427,0,0,0.0633151430999239,0.00827290017532752,0,0,0,0,0.123364872202274,0,0,0.0256350555014793,0,0.14255856869736,0,0.234613805806132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117840990172749,-0.0107868309609909,0,0,0,0,0,0
X000651.SZ,0,0,0,0.570018458664261,0,0,0,0,0.0318179791920963,0,0.335842242511161,0.190779715627216,0,0,0,0,0,0,0,0,0,-0.0671186354872382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0987986232553724,0,0,0,0,0,-0.0917269000451239,0,0,0.0055958118033008,0,0.0206064183059502,0,0,-0.0256292728515807,2.71050543121376e-20,0,0,0,0.153524436683339,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.373663380693783,0,0,-0.00974740637816389,0,0,0,-0.0319415540308022,0,0,0,0,0,0,0,0,0,0,0,0.0255160976016495,0,0,0.0547869954572775,0.235542802543296,0,0.0488165942285929,0,0,0,0,0,0.121256970279844,0,0,0,0,-0.0432091062220814,0,0,0.0915987797983588,0,0,0.0180799615231478,-0.0127055313935055,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.247305405564426,0.124315071989061,0,0,0,0.0824932831704707,0,0,-0.0831551383913791,0,0.234621962676787,0,0,0,0.0834052284382805,0,0,0,0,0,0,0,0,0.0896781824156095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172532103505527,0,0,0.0227083670518855,0.0240747985519532,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281508346880285,0.0384333037514947,0,0.0144351399441324,0,0,0,0.0281433433906938,0,0,0,0.252854631615057,0,0,0,0,0,0,0,0.0361002454590219,0,0,0.119772463523632,0,-6.93889390390723e-18,0.098125270866628,0,0,0,0.015586266425633,0.201201259938734,0,0,0,0,0.00690996728692187,-0.0417867890872161,0,0,0,0,0,0
X600690.SH,0,0,0,0.373106487653742,0,0,0.18986215809235,0,0,0,0,0,0,0,0,0,-0.0186187425126022,0.108537150018206,0,0,0,0,0,0.120371205863043,0,0,0,0,0,0,0,0,0,0,0,-0.102941220750318,0,0,0,0,0,0,0,0,0.0552264982476754,0,0,0.075561724221669,0,0,0,0,0.0189036949785908,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0.151639403782038,0.0974708912555136,0,0.214101946960206,0,0.0361359286278585,0,0,0.147296029812949,0.0159200059643428,0,-0.00431092518504346,0,0,0,0,0,0,0,0.220836582667417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101823203436621,0,0,0.0749617156161667,0,0.0205560022077375,0,0,0.0131359085148922,0.00385649361171899,0,0,0,0,0,0
