,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X600104.SH,X000568.SZ,X003816.SZ,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X002241.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002463.SZ,X000977.SZ,X600584.SH,X600089.SH,X600703.SH,X000157.SZ,X600372.SH,X002028.SZ,X002049.SZ,X000066.SZ,X600522.SH,X600741.SH,X002236.SZ,X600183.SH,X600839.SH,X601877.SH,X600066.SH,X600460.SH,X002156.SZ,X002456.SZ,X000661.SZ,X002085.SZ,X600487.SH,X002129.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.320260942729292,0,0,0,0,0.0910974521418939,0,0,0,0,0,0,0,0,0,0,0.205659155376979,0,0,-0.00255981143872432,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,-0.0101073544653442,0,-0.0328036640870813,0,0,-0.0121233695100249,0,0,0,0,0,0,0,-0.115567723689526,0,0,0,-0.0712347875629549,0,0
X000858.SZ,0.374428266474988,0,0,0,0,0,0.390540670892062,0,0,0.0731910360209575,0.0515804782538202,0,0,0,0,0,0.0204763035619373,1.73472347597681e-18,0.114663812553176,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179744939765132,0,0,0,0,0,0,0.0158403090922831,0,0,0,0,0,0,-0.00131911668282361,0,0,0,0,0,0,0,0,0,-0.00453090603282499,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.0379014084299689,0,0,0,0,0,0,0,0.203639244357104,0.000479283843922015,0.123240069320025,0,-0.033567244517289,0,0,0,0,0,0,0,0,0,0,0,0,0.26003868993462,0,0,0,0,0,0,0,0,-0.0614046563470761,0.212593428893726,0,0,0,0,0,0,-0.271568318896388,0,0,0,-0.17197470835957,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00335671426608458,0,0,0,0,0,0,0.0879927103541262,0.489796572782318,0,0.0387494289717782,-0.0323650379479758,0.0757438358388768,0.0475901382302096,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0189772241952057,0.0485667638005688,0,0,0,0,0.0310243969569212,0,-0.0120786227681885,0,0,0,0,0,-0.111598856219396,0.0129257063327173,0,0,0,0,0
X002415.SZ,0.152589047750581,0,0,0,0,0.0787831383596579,0.0506846604053009,0,0.0860741313296971,0,0,0,0,0,0,0.0914418288180991,0,0,0,0,0.21767662057324,0,0,0,0,0.0087437695815016,0,0,0,0,0,0,0,0,0.0078056087409435,0,0,0,0.0872671153359749,0,0,0,0.0278998074593089,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,-0.0360024516735619,0,0
X600690.SH,0,0,0,0.0375996540492187,0,0,0,0.211646809342087,0,0,0,0,0,0,0,0,0,0,0,0.159911187271119,0,0.0564090414247493,0,0,0,0,0,0,0,0,0,0,0.0207909600178761,0,-0.0281748530926741,0,0,0,0,0.0450229578444345,0,0,0,0,0.0704028227387584,0,0,0,-0.0154704057184383,0,0,0,0.0564821826558483,0,0,0,0.0303356214119041,0,0
X600809.SH,0,0.0369423734331315,0,0,0,0,0,0,0,0.000134397149214781,0.71850988488852,0,0,0,0,0,0,0,0,0.146248052436014,0,0,0,0,0.0499861060943629,0.0668162796730381,0,0,0,0,0,0,0,0,-0.0151887222923891,0,0,0,0,0.00517644694260628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0298208356535679,0,-0.0087732034619471,0,0
X000651.SZ,0,0,0,0.000849668968335909,0,0.360375764928074,0,0,0,0,0,0.0622115037555386,0,0,0,0,0,0.183023457914429,0,0,0,0,0,0.0481726481623399,-0.0687087672001445,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.00172972269365244,-0.0736135637600071,0.190962328701383,-0.0123824288135363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401080374585615,0,0,0,0,0,0,0.0305577151578013,-0.00578264287230832,0,0,0,0,0.127210179510754,0,0,0,0,0,0,0.0449562629574287,0,0,0,0,0,0,0,0,0,0.15443983315819,0,0,0.0260004912588911,0,0,0,0,0.082098035312684,-0.0726127548477622,0,0,0,0,0,0
X600104.SH,0.0418534074462146,0,0,0,0,0,0,0,0,0,0.389820453846003,0.1363886225866,0,0,0.0594603827897911,0,0,0,0,0,0,0.0326317191893734,0,0,0.264191786506989,-0.0601180698978243,0,0,0,-0.526805852648725,0,0,-0.119804964896421,-0.0906749299495737,-0.29002474229117,0.0293057347447283,0.448566140928812,0,0,0,0,0,-0.116729660119941,0,0,0.0719781712959015,0,0,0,0.353731567098976,-0.21675676747861,0,0.249717645315537,0,0.146228010299607,0,0.138593374025381,0,0
