,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X002304.SZ,X000568.SZ,X600690.SH,X002475.SZ,X600104.SH,X000651.SZ,X600031.SH,X000725.SZ,X002371.SZ,X300014.SZ,X300124.SZ,X000063.SZ,X000338.SZ,X002241.SZ,X003816.SZ,X600703.SH,X002129.SZ,X000625.SZ,X002049.SZ,X000596.SZ,X601877.SH,X300142.SZ,X000100.SZ,X000661.SZ,X002179.SZ,X600089.SH,X000157.SZ,X600460.SH,X000799.SZ,X600741.SH,X002236.SZ,X002074.SZ,X600884.SH,X002414.SZ,X600702.SH,X600584.SH,X600779.SH,X601799.SH,X000800.SZ,X600183.SH,X002007.SZ,X002176.SZ,X000733.SZ,X300003.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.354028147480195,0,0,0,0,0,0.0480905329387741,0,0,0,0,0,0,0,0.0851125199534541,0.0384854407069025,0,0,0,0,0,0,0,0,0,0,0,0.0616480756840465,0,0,0,-0.0112046466953635,0,0,0,0,0,0,0.0739519321334808,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0.0834577771453587,0,0.133529452525944,0,0.328716138390178,0,0,0,0,0.0339602661458532,0,0,0,0,0,0,0,0,0,0.0312045159295902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0727198570561585,0.0460508723457051,0,0.169795696286759,0,0,0,0,0,0,0,0,0,-0.01554177155294,-0.000562920899683499,0,0,0,0,0,0
X002415.SZ,0,0.0469557680110708,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0600238261774764,0,0,0.0710842151396686,0,0,0,0,0,0.217743020025993,0,0,0,0.0326332817307336,0,0,0,0.044727486307549,0,0,0,0,0,0,0.0663453211656141,0,0.0673347545154048,0.0603500619084532,0,0,0,0.124303540193628,0,0,0.0201280763737289,0,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.0835407644060863,0.0428059822879089,-0.0386337214167046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109931836384531,0,0,0,0,0,0,0,0,0,-0.0910965950000633,0.419196776557925,0,0,0,0,0,0.297244029424168,-0.00579936024146092,0,0.051886479328469,0,0,0,0.0417059535748459,0.00438312520181274,0,0,0,-0.0192356574508928,0.0286855096806788,0,0,0,0,0,0
X600276.SH,0,0.264150583912639,0,0,0,0,0,0,-0.12271689928514,0,0,0,0,-1.73472347597681e-18,0.241028952937573,0.322621219257566,0,0,0,0,0,0,0,-0.320299120786975,0,0,0,0,0.107217694837409,-0.106589143890616,0,0,0,0.0252631519907885,0,0,0,0.00468909548882815,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00572851148907413,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.051053545646955,0,0,0.147664572165457,0,0,0,0,0.0481994025923016,0,0,0,0,0,0,0,0,0,0,0,-0.0644769720233752,0,0.184884709035266,0.0421786068065448,0,0.0838295278931585,0,0,0,0,0.109224668605964,0,0,0,-0.0482117791228698,0,0.0842915582880423,0,0.104048890050922,0,0,0,0.109117946801007,0.00683359585044243,0,0,0,0,-0.0420387252983827,0,0,0,0,0,0,0
X000568.SZ,0,0.457273152264354,0,0.241826084000779,3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.00350345378841333,0,0.0782809332056234,0,0,0,0,0,0,0,0,0,-0.0243338346301967,0,0,0,0,0,-0.083635684842232,0,0,0,0,-3.46944695195361e-18,-0.0365299693937915,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017034398381285,0,0,0,0,-0.00496415267703456,0,0
X600690.SH,0,0.159873883307312,0.0462626129333025,0,0.0224036719327218,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.0523203125173358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025702662448776,0,0,0.161422062807008,0,0,0,0,0,0,0,0.0292988159737696,0,0.0907834286464005,0,0,0,0,-0.063103527980131,0,0,0,0,-0.0242257490304214,0,0,0,0,0,0,0
X002475.SZ,0,0,0.0662314884639342,0,0,0,0,0,0,0,0,0,0,0.191080878667644,0,0,0,0,0.220548156044881,0,0,0,0,0.0388072812995659,0,-0.1747314320591,0,0,0,0,-0.179177425580719,0,0.0590332489191031,0,0,0,0,0.00230274612124518,0,0,0,0,0.0491646379303362,0,0,0,0,0,0,0,0,0,-0.0153361234611231,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128854608451379,0,0,0.0249654823540297,0.0991539365504216,0,-0.0176390853283057,0.0259510491983971,0,0.136627569863895,0,0.0773046845485852,0.100361997174785,0,0,0.0210693581582073,0,0,0,0,0,-0.00920137738987665,0,0,0.00496877523461229,-0.078654525467192,0,0,0,0,-0.0358913221250334,0,0,0,0,0,0
X000651.SZ,0,0.110990740478433,0,0.0113391981893282,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0126903318304042,0.0987988649428954,0,0,0,0,0,0,0,-0.0766370622999616,0,0,0,0.0229469924422096,0,0,0,0,0,0,0,-0.0142338865093765,0,0,0,0,0,0,0,0,0.107974253045487,0,0,0,0,0,-0.0308758447147326,0.047988868079897,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0.178792923168014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24784850415421,0,-0.0141442611948253,0,0,0.0606080036638701,0.0205790403294864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102993210569839,0,0,0,0,0.143033439077057,0,0
