,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X002475.SZ,X600276.SH,X600104.SH,X300014.SZ,X000651.SZ,X300124.SZ,X000625.SZ,X600031.SH,X002129.SZ,X000725.SZ,X002371.SZ,X003816.SZ,X000596.SZ,X000063.SZ,X002241.SZ,X002049.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X000661.SZ,X601877.SH,X600741.SH,X002074.SZ,X300142.SZ,X600522.SH,X002180.SZ,X000733.SZ,X600460.SH,X600702.SH,X000100.SZ,X600884.SH,X000799.SZ,X000157.SZ,X601799.SH,X002236.SZ,X600584.SH,X000800.SZ,X002176.SZ,X002414.SZ,X600563.SH,X600779.SH,X002056.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0894522402057439,0.113550212662295,0.12092365270186,0,0.0331610611680249,0,0.0345960371603286,0,0,0,0,0,0,0,0,0,0.057626938336303,0,0,0,0,0,0,0,0,0,0,-0.0483055242435433,0,0,-0.0126885944493645,0,0.0599008059920715,0.0730203896759892,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,-2.16840434497101e-19,0.0116144577171619,0,0,0,0,0,0
X000858.SZ,0.035734643799475,0,0.00846167686031465,0.388815830624528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044751448254115,0,0,0,0,0,0,0,0,0,0,0,0,-0.0253227299963802,0,0,0,0.0301769912784827,0,0,0.122556449194408,0,0,0,0,-0.0137017721371552,0,0,0,0.186308782186143,0.0355356175829952,0,-0.00402037685704161,0,0,0,0,0,0,0
X600809.SH,0,0.345738167771148,0,0.0529110624359557,0.0429901472014932,0,0,0,0,-0.00209300751847175,0,0,0,-0.0526879374213235,0,0,0,0,0,0.146267507585377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614413043318409,0,0.358562722764467,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0145850579932157,0,0,-0.0650428425216587,0,-0.0163955864413363,0,0
X000568.SZ,0,0,0,0,-0.0307285865035552,0.152931056413347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101086100228882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253619911168407,0,0,0.333644009248833,0,0,0,0,-0.0394712772274348,0,0,0,0,0,0,0,0.0512569450058843,0.150632243347428,0,0,-0.000355124433405685,0,0
X002415.SZ,0,0,0,0,0,0.182656677697438,0,0,0,0,0,1.38777878078145e-17,0.312412225352586,-0.278643115992297,0,0,0,0,0,0,0,0,0,0,0,0.0456486299760489,0,0,0.125830507918368,0,0,0,0,0,-0.0626310480682736,0,0.0617273552714571,0,0,0,0,0,0.648932924589864,0,0,0,0,0,0,0.0559113037465866,0,0.0138892891242997,0.158866342110838,0,0,0,-0.0606742174921403,0,0
X002304.SZ,0,0,0.044304637721549,0.141166524787191,0.0165673827230639,0,0.150472522348318,0.0365561690845047,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218188530049357,0,0,0,0,0,0,0,0,0,0,0.0064092741016974,0,0.0771061932911436,0,0.218089685361191,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.0390858051997555,0,0,0.0044738930310692,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.0729836766726059,0,0,0,0,0,0.297708654094845,0.188913356094467,-0.0597949106119484,0,-0.138263479913258,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.00419091837523807,0,0,-0.0567927885448849,0,0.150799422131277,0,0,0,0,0,0,0.0537118816051451,0,0,0.186649159659759,0,-0.0808557920241097,0,0,-0.0177028373484507,-0.0349292252521393,0,0,0,-0.041942664082824,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0541968733134825,0,0.151686172123407,0.130732839791397,0.312266843180481,0,0,0,-0.0241448367108051,0,0,0,0,-0.0172967883727902,0,0,0,0,0,0,0,0,0,0,0,0.217155320046796,0,0,0,0,0.15091465293861,0,0,0,0.0205994712312883,0.00780447027935252,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.342767982401433,0,0,0,0,0,-0.122920488900912,0.116290605365055,0,0,0,0,0,0,0,0,0,0,0.0631123717498591,0,0,0,0.222637545605156,0,0.000416000548844921,0,0,0,0,0,0.0553140917660476,0,0,0,0,0,0,0,0.0688890846492358,0,0,0.00673103788089329,0.284019351370456,0.0284736356254444,0,0.0356791368970651,0,0,0,0,-2.16840434497101e-19,0,0
X600104.SH,0,0,0,0,-0.0320872527178895,0,0,0,0,0,0,0,0,0.105721840838961,0,0,0,0,0,-0.0199777592571389,0,0,0,0,0,0,0,0,0,0.179721263724649,0,0.00203394025785906,0,0,0,0,0,0,0,0.0673788162604463,0,0.062166962510948,0,0,0.11340005169694,0,0,0,0,2.16840434497101e-19,0.00380213627035673,-0.0106800865597948,-0.00913033612736204,0,0,0,0,0,0
