,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000651.SZ,X003816.SZ,X300124.SZ,X600104.SH,X002304.SZ,X000625.SZ,X000725.SZ,X000338.SZ,X002371.SZ,X000063.SZ,X600031.SH,X000596.SZ,X000100.SZ,X300014.SZ,X002179.SZ,X600089.SH,X002241.SZ,X600703.SH,X600372.SH,X002129.SZ,X000157.SZ,X000661.SZ,X002236.SZ,X600741.SH,X002049.SZ,X600584.SH,X601877.SH,X000977.SZ,X002028.SZ,X002463.SZ,X600183.SH,X600522.SH,X002007.SZ,X000800.SZ,X002074.SZ,X300142.SZ,X601799.SH,X002294.SZ,X600460.SH,X002223.SZ,X600066.SH,X002156.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.38231994357993,0,0,0.176155266087781,0,0,0.0986929335405829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0368659637074187,0,0,0,0.374038990295048,0,0,0,0,0,0.0366575481394759,0,0,0,0,0,0,0,0,-0.00576682343369761,0,0,0,0,0.115346827869932,0,0
X000858.SZ,0.122321765531352,0,0,0,0,0.395006983417462,0,0.0972707299152714,0,0,0,0,0,-0.026294972601476,0,0,0,0,0.0830478210615949,0,0,0.0113960619649782,0,0,0,0,0,0.0920624183564986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078364811519695,0,0,0,0,-0.0145105763466684,0,0,-0.00607708711746555,0.000466609774992401,0,0,0,0,0,0
X002415.SZ,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.242089968404124,0,0,-0.0283120782012307,0,0,0,0,0,0.200010089684216,0,0.0479100106708881,0.0552256563076229,0,0.0638426988476283,0,0,0,0,0,0,0,0,0,0,0,0.0600344126688838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00275920649116659,0,0,0,-0.0270295604246163,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966098129021693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279001959363485,0,0,0,0,0,-0.0675600704845211,0,0,0,0,0,0,0,0,0,0.137110312291491,0,0,0.139255594875195,0.0331476683774636,0,-0.0191637107324965,-0.013298496384975,0,0,0,-0.0795664626171439,0,0
X600809.SH,0,0,0,0,0,0.496214275887421,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.339425316148522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119823823849948,0,0.0695503263305279,0,-0.0233344303773881,0,-0.0708601534644521,0,0,0,0,0,0,0,0,0,-0.0293684264740135,0.0208224164976139,0,0,0,0,0,0
X000568.SZ,0,0.56652880402043,-0.0540492871241603,-0.0278165235089872,0.33704244314536,0,0,0,0,0,0,0,0.112649043426237,0.0294771907602897,0,0,0,0,0,0,0,0,-0.0985152467346921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0563023107856908,0,0,0,0,0.123881395727811,0,0,0,0,0.0199968918639601,0,0,0,0,0,0,0,-0.0737055970357546,0,0
X002475.SZ,0,0,0.0352663755025015,0,0,0,0,0,0,0,0,0,0,0.042281921019073,0,0,0,0,0,0.0145788183042225,0,0,0,0,0.30366257756754,0,0,0,0,0,0,0,0,0,0,-0.155244769048671,0,0,0.15281607125148,0.299182995680933,0,0,0,0,0,0,0,0,0,0.0144088107390755,0,-0.0287986459219426,0,0,0,0,-0.0121404142624731,0,0
X600690.SH,0,0.0524996099906949,0,0,0,0.274419294972191,0,0,0.0621546234926997,0,0,0,0,0,0,0.0610673093814295,0,0,0,0,0,0,0,0,-0.0200504727686396,0,0,0.0163604210844542,0,0.0336934575021879,-0.0387760889515201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.74309169193671e-05,0.0259815864886565,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027988500759482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106208394413947,0,0,0,0,0.241183420882174,0.38771065444247,0,0.153505705171204,0,0,0.239338776267206,0,0,0.122877463550485,0,0,0,0,0,0,0.0813076107582736,-0.063545124200907,0,0,0,0,0,0
X003816.SZ,0,0,-0.034179321116825,0,0,0,0,0,0,0,0,0,-0.0724041670029933,0,0,0.0649926515121802,0,0,0,0,0,0,-0.123299958003348,0,-0.0264134275713788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131968781560907,0.0413713312045495,-0.0242602060006002,0.0111193095027935,0,0,0,0.0278920315029965,0,0
