,X600519.SH,X002415.SZ,X600104.SH,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X002236.SZ,X002475.SZ,X600741.SH,X000338.SZ,X002241.SZ,X000625.SZ,X002456.SZ,X600031.SH,X000100.SZ,X002008.SZ,X600066.SH,X601877.SH,X600487.SH,X600809.SH,X300136.SZ,X300124.SZ,X002508.SZ,X300003.SZ,X600522.SH,X002294.SZ,X600867.SH,X600699.SH,X600089.SH,X600498.SH,X002085.SZ,X000596.SZ,X600271.SH,X000157.SZ,X600177.SH,X600566.SH,X000050.SZ,X600118.SH,X600584.SH,X000559.SZ,X300142.SZ,X000661.SZ,X002180.SZ,X002179.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.325019719603533,0,0,0.242949787477895,0.160504027479756,0,0.0264006477866031,0,0,-0.104455202092178,0,0,0,0,0,0,0,0,0,-0.0468436698094961,0,0,0,0,0,0,0,0.0328218446307146,0,0,0.0338113624175077,0,0,0,0,0.0528983480398334,0,0,0,0,0.000954762057770554,0,0.107020594259965,0,0,0,0,0,0.0142384285133999,0.0125335286887496,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,-4.33680868994202e-19,0,0,0,-0.00563338704843537,0,0,0.143430518022495,0,0,0,0.0356365623081685,0,0,0,0,0.102113895916507,0,0,0,0,0.101569136737888,0.105160704869229,0.0497963027338379,0.0289894030517795,0,0,0.0496811426960337,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.0710847627768857,0.019575499116775,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0.044098849333993,0,0,0,0.00118974107202794,0,0,0,0.0851029742773167,0.311914382197911,-0.186120796437032,0,0,0,0,0,4.33680868994202e-19,0,0,-0.00758869226776867,0,0,0,0,0,0,-0.118385932774361,0,0,0,0,0,0,0,0,0,0,0,0,-0.0264995890522502,0,0,0,0.0406631996163199,0,0,-0.0497275462630916,0.0566645373779515,0,0,0,0,0,0
X000858.SZ,0,-0.0151336475765102,0,0,0,0,0,0.126151200662778,0,0,0,0.315255972635317,0,0,0,0,0,0,0.010293135736905,0,0,0.0658904986421679,0,0,0,0.202099647942607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0483347492566267,0.102410235371194,0,0,0,0,0,-0.0284142384590992,0.00719638456631958,0,0,0,0,0,0
X000651.SZ,0,-0.108058920978001,0.0532226637027417,0.122594346521018,0,0,0,0,0,0,0,0,0.0767311035310986,0,0,-0.0540764126526361,0,0,0.00863803768205972,0.0637371386113338,0,0,0,0,0,0.0248813056289892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,3.46944695195361e-18,0.014511244286594,-0.000114165621997405,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0911085040535978,0,0,0,0,0.214385362306539,0,0.139499487362312,0,0,0,0.0200856778739617,0,-0.0793276086521008,-0.0184434563814468,0.251929492342412,0,0,0.0694331507478437,0,0,0,0,0,0.30006381108901,0,0,0,0,0,0,0,0,0,0.258328328067339,0.0338637494322024,0,0.113173141164284,0,0,-0.0821675279408924,0,0,0,0.0234030987707336,0,0,0,0,0,0
X600276.SH,0.0143315262526118,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0267433237757318,0,0,-0.0390751610389033,0,0.00720379948948563,0,0,0.037925414291746,0,0,0,-0.0479271432142302,0,0.142848964806617,0,0,0,0,0,0,0,0,-0.153602432248278,0,4.33680868994202e-19,0,0,0,0,0.00011512194462593,0,0,0,0,0,0,0
X002304.SZ,0.0454939531405999,-0.0316544963964161,0,0.441569823035625,0,0,0,0,0,0,0,0.0858718167527772,0,-0.153829251504444,0,0,0,0,0,0,0.0667746963565399,0,0,0,-0.0120519203855451,0,0,0,0,0,0,0,0,0,0,0,0.0793389194526414,0,0,0,0,0,0,0,-0.122728946443157,3.46944695195361e-18,0,0,-0.0854702358065366,0,0,-0.0459643877852031,0.0433887884784739,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.314010178204004,-0.0874092656628307,-0.139549253444813,0,0,0,0,0.183816236729983,0,-0.0643753114718258,0.0570483674368416,-0.073749206265429,0,0,0,0,0,0,0,0,0,0,0,0,-0.114535191150036,0,0,0,0,0,0,0,0,0,0,0,0,0.0978548809541328,0,0.280341355580275,0,0,0,0.0218691168284954,0,0,-0.0560578308103665,0.0639953398471563,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0.0427593588905686,0.229911260737373,-0.143802874348333,0,0,0.21438639339304,0,0,0,0,-0.0372915818412674,-0.0488359394812491,0,0,0,0,0,0,-0.392737494932482,0,0,0,0,0,0,0,0,0,0.168501883265127,0,0.0555545030724146,0,0,0,0,0,0,0,0,-0.00201405001884692,0,0,0,0,0,0,8.67361737988404e-19,-0.00708312684610915,0,0,0,0,0,0
