,X600519.SH,X000858.SZ,X002415.SZ,X600104.SH,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600031.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600741.SH,X600703.SH,X601877.SH,X000100.SZ,X600271.SH,X000596.SZ,X000661.SZ,X600809.SH,X002236.SZ,X300003.SZ,X002008.SZ,X300124.SZ,X300142.SZ,X002007.SZ,X600487.SH,X000625.SZ,X002456.SZ,X600776.SH,X600498.SH,X000157.SZ,X600867.SH,X002241.SZ,X002180.SZ,X300146.SZ,X000977.SZ,X600066.SH,X002371.SZ,X600177.SH,X002179.SZ,X000050.SZ,X000066.SZ,X002508.SZ,X600089.SH,X600522.SH,X600118.SH,X002506.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.31992241427797,0,0,0.156603814996,0,0,-0.0103370121456083,0.0433388453746059,0,-0.00948469340678034,0.0564043771910691,0,0,0,-0.0995289656863024,0,0,0,0,0.0510649476947815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0274930906505814,0.0384275446672789,0,0,0,-0.00202025113474726,0,0
X000858.SZ,0.0973576494128676,0,0,0,0,0,0.278648157471336,0,0,0,0,0,0.055893208791928,0.183430709233294,0,0.0234489613153355,0,-0.0267737021765103,0,0,0,0.151479844952664,0.0329845861247663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124940578769408,0,0,0,0,0,0,0,-0.0165575704119644,-0.0103187769733053,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0688460935500085,0,0,0,0.045044382735372,0.00112784030583151,0,0,0.0474246477979122,0,0,0,0,0,0,0.0107985530868194,0.196778900963708,8.67361737988404e-19,0.12103409732628,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0.00629975206544462,0.0626385840374149,0,0,0,0,0,0,0,0,0,0.0933866254797907,0,0,0,0,0,-0.0388046531062128,0.0641294972738195,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0203202109809911,0.232062935455823,0.22828493195165,0,0,0,0,0,0,0,0.0991729568759982,0.193904083713541,0,0,0,0,0,0,0,0,0,0,0,0,0.0242812640297644,0,0.0141630905380376,0,0,0,0,0.00052907929904197,0.0686825878786227,0,0,0,0,0,0,0.00465252453658898,-0.00586203330980351,0,0,0,0,0,0
X600276.SH,0.228794579752254,0,0,0,0,0,0,0,0,0,0,-0.394843106861861,0,0.142803673866853,0,0.295871860276026,0,-0.0676013465521295,0,0.00184564278433413,0,0,-0.0971201879166451,0.444539912821878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15199624250282,-0.0551540475265041,0,0,0.0459317525634499,0,0,0,0,-0.018302299099001,0,0
X000651.SZ,0,0.215059268855409,0,0.20710927418006,0.0362993005506809,0,0.0323078294487575,0,0,0,0,0,0.0331308005244037,0,0.025104070297819,0,0,0,0,0,0,0,0.0920318836561834,-0.0356275216058032,0,0.0183051848102465,0,0,0,0,0,0.0105025318454988,0,0,0,0,0,0,0,0,0,0,0,-0.042508373630247,-0.0263945288753797,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0.169666635022746,0,0,0.49820462377837,0,-0.00497367513437184,0,-0.0306262840586801,0,0.0756490963888863,0,0,0,0,0,0,0.00437212241407287,0,0,0,0,0,0,0,0.0229369718921891,0,0,0.0324896734717279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00871052745893097,0,0,0,-0.023051619231625,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0449618238779961,0,0.133844232352738,0,0,0,0,0.0590392804177967,0,0.213195093958658,0.0457683427958596,0,0,0,0.015221534344169,0.0445781292103193,0,0,0.0162281224160202,0.0664683906158218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211179561986805,0,0,0,0,0,0,0,-0.0537205867969695,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,-0.0207596259490846,0,0,0,0,0,0,0,0,0.0665521969691782,0,0,0,0,0,0,0,0,0,0.0468985489176339,0,0,0,0,0.133025820938287,0.00772436741539962,0.561588812705384,0,0,0.00404901525430787,0,0,0.155592752675185,0,0.0243414459671487,0,0,0,0,0,0,0,0,0,0,-0.00537555532021788,0,0,0,0,-0.0926785178154726,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.161438111424622,0,0.0293227328226078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090670402037371,0,0,0,0,0,0,0,0,0.0644710122315244,0,0,0,0,0,0,0.358124309749461,0,0,0,0,0,-0.00212274387572518,-0.0305409680479408,0,0,0,-0.0553711470940044,0,0
