,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X000651.SZ,X002304.SZ,X000568.SZ,X600104.SH,X600809.SH,X600031.SH,X000725.SZ,X000661.SZ,X600690.SH,X300124.SZ,X000063.SZ,X300014.SZ,X003816.SZ,X000625.SZ,X000596.SZ,X000338.SZ,X002241.SZ,X600703.SH,X000100.SZ,X600741.SH,X002371.SZ,X002007.SZ,X002129.SZ,X601877.SH,X000157.SZ,X002179.SZ,X002049.SZ,X600584.SH,X600183.SH,X002236.SZ,X002414.SZ,X300142.SZ,X000800.SZ,X601799.SH,X300003.SZ,X002074.SZ,X000066.SZ,X002008.SZ,X000799.SZ,X300146.SZ,X002508.SZ,X002456.SZ,X000977.SZ,X000547.SZ,X002185.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.482915182116929,0,-0.085065142680985,0,0,0,0,0,0.176406691367777,-0.0294577945994002,0,0,0,0,0,0,0,0,0,-0.0249398540070131,8.67361737988404e-19,0,0,0,0,0,-0.0275170268760526,0,0,0,0.0582395246077347,8.67361737988404e-19,0,0,0,0,0,0,0.119896840246049,0,0,-0.0419969893380585,0,0,0,0,0,0,0,0,0,0.0244847680266432,0,0,0,0.00448689306652226,0,0
X000858.SZ,0.170773318970748,0,0,0,0,0,0.0697307080206193,0.420520328056304,0,0,0,0,0,0,0.00482827141211976,0,0,0,0.0339009356142094,0,0,0,0,0,0,0,0,0,0,0,0,0.0392429197183929,0,0.0271969574512159,0,0.00389992529072444,-0.010488131930961,0,0,0,0,0.0497956661884885,0,0.0798223932833452,0,0,0,0,0,0,0,0,-0.00305781458375268,0,0,0,0.00603839565556326,0,0
X600276.SH,0,0,0,0,0,0,0.0710591421992897,0,0,0.0787675005304404,0,0,0,0,0,0,0,0,-0.0143073907432162,0,-0.0665059536148473,0,0.104459901942938,0,0,0,0.118852977289435,0,0,0,0,0,0,0,0,0,0.183668057136564,0,0.0204950560328108,0,0.0497361366507246,0,0,0.0462718769931388,0,0,0,0,0,0,0,0,0,0,0,0,0.0148962478906714,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0404868375418247,0,0,0,0.0432582650689808,0,0,0,0,0,0,-0.105124522245439,0,0,0,0,0.0356441678508672,0,0.0676873451204887,0,-0.144001630887288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177195812267109,0,0,0,0,0,0,0,0,-0.0176202480494001,0,0,0,-0.0141635288047661,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100988683650448,0,0,0,0,0,-0.0689661044745083,0.0606818900195128,0,0.402127753194541,0.0310219414653971,0,0,0,0,0,0,0,0,-0.0775372427854796,0,0,0,0.068273233266054,0,0,0,0,0.0312009192472217,0,0,0,0,0,0.386060809322004,0,0,0,0,0.000490075905980189,0.0161841912519778,0,0,0,-0.000424600641281687,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0797181290885197,0,0,0,0,0,0,0,-0.0698609969082754,0,0,0,0,0,0,0,0.189406456129447,0.141352379205392,0,0,0,0.0518842120742129,0,0.0700972647105857,0,0,0,0.0757734444674341,0,0,0,0,0,0,0,0,0,0,0,-0.000955054662661982,0,0,0,-0.0236016418804364,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.377950407638579,0,0,0,0,0,0,0,0,-0.0323325873220234,0,0,0,0.0306700076317122,0,0,0,0,0,0,0,0.114987331130813,0,0,0,0,0.113450556084316,0,0,0.0495287387736093,0.141224110794221,0,0,0,0.155592092113925,0,0,0,0,0,0,0,0.0206507424850634,0,0,0,0,0.00168609691066355,0,0
X000568.SZ,0,0.22336331939196,0,0,0,0,0,0,0,0.412074545006029,0.0653273167601087,0,0.0255048427589753,0,0,0,0,0,0,0.0183560657303223,0,0.0298064420537055,0,0,0,0,0,0.0796753885408313,0,0,0,0,0,0,0,0,0,0,0,0,0.0115892783274772,-0.0925085238802618,0,0,0,0,0,0,0,0,0,0.0163038743920294,0,0,0,0,0.000488006187515502,0,0
X600104.SH,0,0,0,0,0.0722203586749269,0,0,0,0,-0.0673591330558085,0,0,0,0,0.0566924177644275,0,0,0,0.177639192554667,0,0.0829666663841257,0,0,-0.00801263652553839,0.218802415858101,0,0,0,0,0,0,0.0710317787567619,0,0,0,0,0.00671541801822922,-3.46944695195361e-18,0,0,0,0,0.209519885631991,0,0,0,0,0,0,0.0269052149623632,0,0.0290027278184456,0,0,0,0,-0.0131845720352591,0,0
X600809.SH,0,0,0,0,0,0,0.237176716366401,0.159943856462733,0,0,0,0,0,0.218308987976468,0,0,0,0,-0.129998717338176,0,0,-0.15434658461317,0,0,0,0,0,0,0,0,0,0,0,-0.0322944237278154,0,-0.169395802853704,0,0,0,0,0,-0.10216452707922,0,0.247158396764814,0,0,0,0,0,0,0,0,0.0640754992451148,0,0,0,0.0158505940698214,0,0
