,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600741.SH,X600066.SH,X002241.SZ,X002236.SZ,X600031.SH,X000568.SZ,X000100.SZ,X600271.SH,X600118.SH,X600177.SH,X002475.SZ,X002292.SZ,X002456.SZ,X000338.SZ,X000559.SZ,X000157.SZ,X600372.SH,X002007.SZ,X300003.SZ,X002074.SZ,X002506.SZ,X002180.SZ,X600867.SH,X601877.SH,X600522.SH,X002294.SZ,X300124.SZ,X600498.SH,X600089.SH,X600487.SH,X002085.SZ,X002508.SZ,X002426.SZ,X002249.SZ,X000050.SZ,X600418.SH,X300115.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.251499750659982,0,0,0,0,0.190699637729767,0,0,0.0345002624869904,0,0,0.0339756600452358,0,0,0,0,0,0,0,0,0.0185651117841955,0,0,0,0,-8.67361737988404e-19,0,0,0.156697142949722,0,0.061133686126609,-0.0027217875956697,0,0,0,0,0,0,0,0,0,0,0,0,-0.00171984542698707,0,0.031784449845467,0,0,0.0982869182374676,0,0,0,0,0,0,0
X600104.SH,0.0608294692298855,0,0.113091433459427,0,0,0,0,0,0.367833199539896,0,0,0,0.246544069063336,0,0.0532342324995105,0,0,0,0,0,0,-8.67361737988404e-19,0,0,-0.113058551173023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00578777622892959,-0.101519533093875,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0682830930194311,0,0,0,0.158087493975734,0,0,0,0,0,0,-0.2064714215029,0.0728132006910603,0,0,0,0.10671060523441,0,1.0842021724855e-19,0,0.436874278861187,0,3.46944695195361e-18,0,0,0,0,0,-0.090661397637862,0,0,0.0770276742506982,0,0,0,0,0,0,-0.0546071590121772,0,0
X000651.SZ,0.0117841404074248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409533780466391,0,0,0,0,0.00910951823726117,0,0,0,0,0,-0.00704171525345265,0,0,0,0,0,-0.0749381760482366,0,0,0.059180493609178,0,0,-0.0920198993324949,0,0,-0.0280452089931964,0.0157272293400017,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.154403016745361,0,0,0.165776408978961,0,0,0.0270111955721219,0,-0.0283676317976597,0,0,0.535504266766279,0,0,0,0,0,0,0,0,0,0,0,0.0360923820674811,0,0,0,0.0440364239314423,0,0,0,0,0,0.0100112158451605,0,0,0,0,0,0,-0.0112870087131848,0.116736901673202,0,0,4.33680868994202e-19,0,0,0,0,0,0,0
X600276.SH,0.193624386149794,0,0.155924846482149,0,0,0,0,0,0,0,0,0,0.000442135042149647,0,0,0,0,0.00392486063369349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0885284330784365,0,0.105721627898318,0,0,0,0.0396734270862179,0,-0.109794186974405,0,0,0,0,-0.0434835322526893,0,0,0,0,-0.0503136002540581,0,0,0,0,0,0
X002304.SZ,0.0116946779531355,0,0,0,0.709034953248222,0,0,0,0,0,0,0,0,0,0.0083030365282274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101725461774825,0,0,0,0,0.0209876101501929,0,0.015592973781868,0,0,0,0,0,0.0429760352936104,0,0,-0.0482412087753411,0,0,0.022258539531385,0.0224238706886957,0,0,0,0,0,0,0.00730251074153896,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,-0.0415460103767643,0.0951200251180838,0,0,0,0,0.190431634064317,0.0719363628940283,0,0,0,0,-0.0281511440509322,0.0377902785390109,0,0.0826778843067528,0,0,0.0721631859285215,-0.0195897462879103,0,-0.00971966064170202,0,0,0.0127232873185418,0,0,0,0.0664314917305232,0,0,0.0306437813084273,0,0,-0.0344735000511528,0.0304935448836134,0,0,0.0202727066364061,0,-0.0655136232131755,0,-0.0272136418340792,0,0,0,0,0
X000625.SZ,0,0.0745883089877717,0,0,0,0,0,0,0,0,0,0,0.130960445845285,0.0158532120009355,0,0.075858499924608,0,0.04560806052143,0,0,0,0,0,0,0,0,0,0,0.092909442280335,0,0,0,0,0,0,0,0.0441587323422651,0,0,0,0,0.0392660470329212,0,0,0.0102739581671172,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0.0388318732104362,0.0593711584212258,0,0.0772767810236721,0,0,0,0,0,0.0505100110639491,0,0.0575941123950733,0.0993638327763494,0,0,0,0,0,0,0,0.0275191917426017,0,0,0,0,0,0,0,0.151158830621885,0,0,0,0,0,0,0,0.0373066198564556,0,0,0,0.0330117230911099,0,0.034477116369512,0,0,0,0,-0.0213634285308393,0,0,0.0463098212660313,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.120507833684568,0,0,0,0,0,0,0,0.0489841962386194,0,0,0,0,0,0,0,0,0,0.0879545785960562,0.0780762111798679,0.0545580614131149,0,0.0532516894174472,0,0,0,0,0,0,0.0381664598508062,0.0407125450783995,0,0,0.126398556426151,0,0,0.0655526044469541,0.0189195713508236,0,0,0.0139511437781467,0,0,0,0,0.0357682672903987,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0585683293040832,0,0.314780115886127,0.110195183263433,0,0,0,0,0,0,0,0,0,0.217614505081762,0.160079519276915,0,0,0,0.0758727453982006,0.0458123392637491,0,0,0,0,-0.109757864489175,0,0,-0.0081709249835937,0,0,-0.108308976253951,0.0205505619694383,0.0124062416361323,0,-0.0935154928683649,0,0,0,0.0464056755735227,0,0,0,0,0
