,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X002304.SZ,X000725.SZ,X600276.SH,X000858.SZ,X000625.SZ,X000063.SZ,X002292.SZ,X600690.SH,X600703.SH,X000100.SZ,X002241.SZ,X600741.SH,X600066.SH,X002506.SZ,X600031.SH,X002236.SZ,X600118.SH,X002475.SZ,X002049.SZ,X000559.SZ,X600372.SH,X000157.SZ,X000338.SZ,X002465.SZ,X000568.SZ,X300124.SZ,X600089.SH,X600867.SH,X002294.SZ,X002074.SZ,X600177.SH,X601877.SH,X300003.SZ,X002007.SZ,X002456.SZ,X002085.SZ,X002180.SZ,X000050.SZ,X600498.SH,X000550.SZ,X000869.SZ,X600582.SH,X300001.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.0851384906853665,0,0,0,0,0,0,0,0,0,0,0.560964003891027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468181109272275,0,0,0,0,0,0,0,0.0367569628714652,-0.0102273198032922,0,0,0,0,0,0,0,0,0.0176554472835757,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.149926267615434,0,0,0,0,0,0,0,0,0,0.0322702538462487,0,0.237108872764313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.0888887530446992,0,0,0,0,0,0,0,0.0628621754942377,0.0391992833043734,0,0,0.0576952510903246,0,0,-0.000428379172200552,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0905096779581344,0,-0.0347264221657513,0,0,0,0,0,0,0,0.0799798764044584,0,0,0,0,0,0,0,0,0,0,0,0,0.151910277558536,0,0,0.417445936129157,0.0390283659869944,0,0.147047869753582,0,0,0,0,-0.000692378026738725,0,0,0,0,0,0,0,0.0326442160487457,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408121676547924,0.0384129748994681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0757686536048379,0,0,0,0,0,0,0.0563384071653667,0.0911860596831821,-4.33680868994202e-19,0.00193018784078275,0.0878861586747102,0,0.148159929200817,0,-0.0495491043938562,0.148764473382191,0,0,-0.0128949805004451,0,-0.0742311344777636,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386744768221238,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14465458006952,0,0,0.286932027006509,0,0,0,0,0,0,0,0.0651248831114261,0.0876068714481197,0,0,0,0.082945609279432,0.058506982505728,0,0,0,0,-0.0192335749586345,0,0,0,0,0,0
X000725.SZ,0,0,0,0.204654467679561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112903745878972,0,0,0,0,0,0.108000778701723,0,0,0,0.063208438169576,0.17423236772527,0,0,0.0839143200508123,0.0466016898162387,0,0,0,0.0422012893219459,0,0,0,0,0,0,0,0,0,0,0,-0.00360394625334871,0,0,0,0,0,0
X600276.SH,0,0,0.0163933688657398,0,0,0,0,0,0.129540174937954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279803444416063,0,0,0,0,0,0,0,0,0,0.0536641432573228,0,0.0285686991075608,0,0,0.0134102696855631,0.0128895587424822,0,0,0.027547831861369,0,0,0.0551859527919673,0.0174679273987963,0,0,0.00731093954321943,0.0148500397682529,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.148943915000785,0,0.0695183189585293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328579102584001,0,0,0,0.00590263177932748,0,0.0036995081578496,0.142436398776243,0,0.268336912271279,0,0.0215003619368797,0,0,0.00938095974014648,-0.00877817831379677,0,0,0,0,0,0
X000625.SZ,0,0,0.222739774807315,0,0,0,0,0,0,0,0,0,0,0,0.0533288997867673,0,0,0.0408623562472754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451560407779939,0,0,0.0820901591354409,0.00472826751304015,0,0,0,0,0.105924119224191,0,0,0.0679382495099056,0.190710305647706,0,0,-0.0100829863371644,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.00769346779983236,0,0,0,0.00689070735617001,0,0,0,0,0,0,0,0,0.279839572725984,0,0,0,0,0,0.0245302548295154,0,0.0254306586195682,0,0.12638901574341,0.105347075148799,0,0,0,0,0.0443168406294124,0.0635406560052001,0.0322601540793864,0,0,0,0.0941367095399916,0,0,0,0,0,0,0,0,0,0,0
